"Status","Year","Function_of_post","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Cumbria","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Cumbria","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Heterosexual / straight","35","35","36450","33350"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Heterosexual / straight","50","45","33520","29750"
"In post","2021","Analysis","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","Unknown","60","55","32890","29270"
"In post","2021","Analysis","East Anglia","Heterosexual / straight","130","120","33340","30220"
"In post","2021","Analysis","East Anglia","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","East Anglia","Undeclared","20","20","[c]","[c]"
"In post","2021","Analysis","East Anglia","Unknown","200","190","35390","31070"
"In post","2021","Analysis","East Wales","Heterosexual / straight","630","605","37500","36030"
"In post","2021","Analysis","East Wales","LGBO","55","55","36870","37020"
"In post","2021","Analysis","East Wales","Undeclared","40","35","35980","31490"
"In post","2021","Analysis","East Wales","Unknown","325","310","34340","30130"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Essex","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Essex","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","235","220","39270","37320"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","25","25","[c]","[c]"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","30","30","38560","38460"
"In post","2021","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","30","30","38730","39020"
"In post","2021","Analysis","Greater Manchester","Heterosexual / straight","145","140","39020","38630"
"In post","2021","Analysis","Greater Manchester","LGBO","20","20","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Undeclared","20","20","[c]","[c]"
"In post","2021","Analysis","Greater Manchester","Unknown","45","45","34430","31810"
"In post","2021","Analysis","Hampshire and Isle of Wight","Heterosexual / straight","575","550","39210","37320"
"In post","2021","Analysis","Hampshire and Isle of Wight","LGBO","45","45","32590","29540"
"In post","2021","Analysis","Hampshire and Isle of Wight","Undeclared","45","45","39830","37340"
"In post","2021","Analysis","Hampshire and Isle of Wight","Unknown","150","145","38460","36570"
"In post","2021","Analysis","Herefordshire, Worcestershire and Warwickshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Herefordshire, Worcestershire and Warwickshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Herefordshire, Worcestershire and Warwickshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Highlands and Islands","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Highlands and Islands","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Highlands and Islands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Inner London - East","Heterosexual / straight","455","440","51160","46940"
"In post","2021","Analysis","Inner London - East","LGBO","45","45","51770","56360"
"In post","2021","Analysis","Inner London - East","Undeclared","65","60","51700","55430"
"In post","2021","Analysis","Inner London - East","Unknown","130","125","48510","41920"
"In post","2021","Analysis","Inner London - West","Heterosexual / straight","1810","1755","48820","44870"
"In post","2021","Analysis","Inner London - West","LGBO","180","175","44800","40890"
"In post","2021","Analysis","Inner London - West","Undeclared","200","190","50020","45780"
"In post","2021","Analysis","Inner London - West","Unknown","535","525","47830","44690"
"In post","2021","Analysis","Kent","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Kent","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lancashire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Leicestershire, Rutland and Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","Heterosexual / straight","85","80","41190","38630"
"In post","2021","Analysis","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Merseyside","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Merseyside","Unknown","20","15","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","Heterosexual / straight","50","50","36820","31550"
"In post","2021","Analysis","North Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","North Yorkshire","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Northumberland and Tyne and Wear","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outer London - South","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Outer London - South","LGBO","[c]","[c]","[c]","[c]"
