"Status","Year","Disability","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Human Resources","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Human Resources","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Human Resources","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Legal","EO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Legal","G6/G7","395","365","59230","55610"
"In post","2021","Declared disabled","Attorney General's Departments","Legal","SCS level","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Legal","SEO/HEO","45","40","38110","38000"
"In post","2021","Declared disabled","Attorney General's Departments","Operational Delivery","AA/AO","155","140","22470","21950"
"In post","2021","Declared disabled","Attorney General's Departments","Operational Delivery","EO","120","110","28310","28430"
"In post","2021","Declared disabled","Attorney General's Departments","Operational Delivery","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Operational Delivery","SEO/HEO","40","40","35360","33930"
"In post","2021","Declared disabled","Attorney General's Departments","Other","AA/AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Other","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Other","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Policy","G6/G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","AA/AO","75","70","22100","20920"
"In post","2021","Declared disabled","Cabinet Office","Unknown","EO","115","110","27220","27500"
"In post","2021","Declared disabled","Cabinet Office","Unknown","G6/G7","235","225","58150","56340"
"In post","2021","Declared disabled","Cabinet Office","Unknown","SCS level","45","45","90240","76790"
"In post","2021","Declared disabled","Cabinet Office","Unknown","SEO/HEO","230","225","36190","35590"
"In post","2021","Declared disabled","Chancellor's other departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Other","G6/G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","International Trade","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
