"Status","Year","Disability","Function_of_post","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Attorney General's Departments","York","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Cabinet Office","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Chancellor's other departments","Camden and City of London","15","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Chancellor's other departments","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Chancellor's other departments","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Charity Commission","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Competition and Markets Authority","Tower Hamlets","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Westminster","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Business, Energy and Industrial Strategy","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Digital, Culture, Media and Sport","Westminster","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","Manchester","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","Sheffield","15","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Education","Westminster","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Suffolk","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Environment, Food and Rural Affairs","York","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for International Trade","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for International Trade","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for International Trade","Westminster","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Leeds","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Nottingham","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Department for Transport","West Surrey","[c]","[c]","[c]","[c]"
