"Status","Year","Function_of_post","Region_ITL2","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bedfordshire and Hertfordshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","EO","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G7","10","10","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cheshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","EO","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cornwall and Isles of Scilly","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cumbria","EO","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cumbria","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Cumbria","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","EO","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","SEO/HEO","HEO","15","15","32790","32870"
"In post","2021","Analysis","Derbyshire and Nottinghamshire","SEO/HEO","SEO","15","15","42080","42550"
"In post","2021","Analysis","Devon","EO","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Devon","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Devon","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","AA/AO","AO","10","10","21040","21050"
"In post","2021","Analysis","Dorset and Somerset","EO","EO","30","25","25050","24920"
"In post","2021","Analysis","Dorset and Somerset","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Dorset and Somerset","G6/G7","G7","15","10","48590","48080"
"In post","2021","Analysis","Dorset and Somerset","SEO/HEO","HEO","40","35","29680","29270"
"In post","2021","Analysis","Dorset and Somerset","SEO/HEO","SEO","20","20","37590","36930"
"In post","2021","Analysis","East Anglia","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Anglia","AA/AO","AO","25","25","21210","21050"
"In post","2021","Analysis","East Anglia","EO","EO","55","50","25040","24920"
"In post","2021","Analysis","East Anglia","G6/G7","G6","15","15","60770","57390"
"In post","2021","Analysis","East Anglia","G6/G7","G7","55","55","49090","48080"
"In post","2021","Analysis","East Anglia","SEO/HEO","HEO","110","105","29790","29270"
"In post","2021","Analysis","East Anglia","SEO/HEO","SEO","90","85","37190","36580"
"In post","2021","Analysis","East Wales","AA/AO","AO","50","50","19210","19130"
"In post","2021","Analysis","East Wales","EO","EO","140","125","24150","23190"
"In post","2021","Analysis","East Wales","G6/G7","G6","35","35","60950","58880"
"In post","2021","Analysis","East Wales","G6/G7","G7","180","175","50640","49120"
"In post","2021","Analysis","East Wales","SCS level","SCS level","20","20","82180","72320"
"In post","2021","Analysis","East Wales","SEO/HEO","HEO","320","305","30110","29540"
"In post","2021","Analysis","East Wales","SEO/HEO","SEO","305","290","37250","37020"
"In post","2021","Analysis","East Yorkshire and Northern Lincolnshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Eastern Scotland","SEO/HEO","HEO","10","10","35720","36780"
