"Status","Year","Disability","Ethnicity","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Animal and Plant Health Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Animal and Plant Health Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office (excl. agencies)","London","50","45","42880","37430"
"In post","2021","Declared disabled","Asian","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office (excl. agencies)","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Centre for Environment, Fisheries and Aquaculture Science","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Charity Commission","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Charity Commission","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Companies House","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Companies House","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Competition and Markets Authority","London","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","Competition and Markets Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Criminal Injuries Compensation Authority","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Crown Commercial Service","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Crown Office and Procurator Fiscal Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Crown Prosecution Service","London","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Crown Prosecution Service","Outside London","30","30","34220","28430"
"In post","2021","Declared disabled","Asian","Crown Prosecution Service","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Crown Prosecution Service Inspectorate","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Debt Management Office","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Defence Electronics and Components Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Defence Equipment and Support","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Defence Equipment and Support","Outside London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","Defence Equipment and Support","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Defence Science and Technology Laboratory","London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Defence Science and Technology Laboratory","Outside London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","40","35","44790","35900"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
