"Status","Year","Age","Region_ITL2","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Outside London","AA/AO","10","10","22290","20910"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA/AO","20","20","23170","21870"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","15","15","20740","21370"
"In post","2021","16-19","Cheshire","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Cheshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Outside London","AA/AO","30","30","21060","20920"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Outside London","EO","10","10","[c]","[c]"
"In post","2021","16-19","Devon","Outside London","AA/AO","10","10","20060","20940"
"In post","2021","16-19","Devon","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Outside London","AA/AO","25","25","22250","21430"
"In post","2021","16-19","East Anglia","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","Outside London","AA/AO","60","55","19330","20140"
"In post","2021","16-19","East Wales","Outside London","EO","10","10","24280","23320"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Outside London","AA/AO","90","90","20890","20850"
"In post","2021","16-19","Eastern Scotland","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex","Outside London","AA/AO","15","15","22070","21430"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","AA/AO","45","40","19180","19630"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","EO","100","100","18650","17780"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Outside London","AA/AO","30","30","20290","20140"
"In post","2021","16-19","Greater Manchester","Outside London","EO","15","15","24850","25000"
"In post","2021","16-19","Hampshire and Isle of Wight","Outside London","AA/AO","20","20","19990","19720"
"In post","2021","16-19","Hampshire and Isle of Wight","Outside London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","Outside London","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Inner London - East","London","AA/AO","15","15","22830","22680"
"In post","2021","16-19","Inner London - East","London","EO","10","5","[c]","[c]"
"In post","2021","16-19","Inner London - East","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - West","London","AA/AO","30","30","23590","23500"
"In post","2021","16-19","Inner London - West","London","EO","65","65","25870","25170"
"In post","2021","16-19","Inner London - West","London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","16-19","Kent","Outside London","AA/AO","40","40","21940","21430"
"In post","2021","16-19","Lancashire","Outside London","AA/AO","40","35","20720","21010"
"In post","2021","16-19","Lancashire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Outside London","AA/AO","15","15","20280","20600"
"In post","2021","16-19","Lincolnshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","Outside London","AA/AO","50","45","20540","20140"
"In post","2021","16-19","Merseyside","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","North Yorkshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","Outside London","AA/AO","70","70","20480","20140"
"In post","2021","16-19","Northumberland and Tyne and Wear","Outside London","EO","10","10","[c]","[c]"
"In post","2021","16-19","Outer London - East and North East","London","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Outer London - East and North East","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - East and North East","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - South","London","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Outer London - South","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - West and North West","London","AA/AO","10","10","20980","21980"
"In post","2021","16-19","Outer London - West and North West","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Shropshire and Staffordshire","Outside London","AA/AO","15","15","21030","21590"
"In post","2021","16-19","Shropshire and Staffordshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Yorkshire","Outside London","AA/AO","20","20","20770","21010"
"In post","2021","16-19","South Yorkshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South Yorkshire","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Southern Scotland","Outside London","AA/AO","10","10","20910","20760"
"In post","2021","16-19","Southern Scotland","Outside London","EO","10","10","17080","16780"
"In post","2021","16-19","Surrey, East and West Sussex","Outside London","AA/AO","10","10","23560","23520"
"In post","2021","16-19","Surrey, East and West Sussex","Outside London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Surrey, East and West Sussex","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Tees Valley and Durham","Outside London","AA/AO","10","10","20870","21010"
"In post","2021","16-19","Tees Valley and Durham","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","35","35","18640","15940"
"In post","2021","16-19","West Central Scotland","Outside London","AA/AO","50","45","20500","20140"
"In post","2021","16-19","West Central Scotland","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands","Outside London","AA/AO","25","25","20320","20140"
"In post","2021","16-19","West Midlands","Outside London","EO","5","5","[c]","[c]"
"In post","2021","16-19","West Midlands","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Wales and The Valleys","Outside London","AA/AO","60","50","19920","21010"
"In post","2021","16-19","West Wales and The Valleys","Outside London","EO","5","5","[c]","[c]"
"In post","2021","16-19","West Yorkshire","Outside London","AA/AO","55","55","20350","20140"
"In post","2021","16-19","West Yorkshire","Outside London","EO","10","10","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Outside London","AA/AO","290","285","26030","27850"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Outside London","EO","220","215","28470","28000"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Outside London","SEO/HEO","105","105","36450","37000"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Outside London","Unknown","75","75","23530","22920"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Outside London","AA/AO","795","785","25940","26610"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","370","365","28040","27570"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6/G7","15","15","52180","51970"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO/HEO","165","165","34590","33390"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","135","135","24100","24020"
"In post","2021","20-29","Cheshire","Outside London","AA/AO","255","255","22700","21300"
"In post","2021","20-29","Cheshire","Outside London","EO","295","295","29270","28840"
"In post","2021","20-29","Cheshire","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Cheshire","Outside London","SEO/HEO","50","50","35150","36630"
"In post","2021","20-29","Cheshire","Outside London","Unknown","25","25","23630","22920"
"In post","2021","20-29","Cornwall and Isles of Scilly","Outside London","AA/AO","75","70","20830","21010"
"In post","2021","20-29","Cornwall and Isles of Scilly","Outside London","EO","45","40","27410","27570"
"In post","2021","20-29","Cornwall and Isles of Scilly","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Cumbria","Outside London","AA/AO","145","145","21700","21050"
"In post","2021","20-29","Cumbria","Outside London","EO","35","35","25630","25100"
"In post","2021","20-29","Cumbria","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","20-29","Cumbria","Outside London","Unknown","30","30","29000","30810"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Outside London","AA/AO","810","785","22100","21010"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Outside London","EO","575","570","25880","25560"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Outside London","G6/G7","45","45","52260","52580"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Outside London","SEO/HEO","340","340","32060","31810"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Outside London","Unknown","90","90","24960","22920"
"In post","2021","20-29","Devon","Outside London","AA/AO","530","520","22280","21080"
"In post","2021","20-29","Devon","Outside London","EO","290","290","26420","27130"
"In post","2021","20-29","Devon","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Devon","Outside London","SEO/HEO","170","170","34930","33840"
"In post","2021","20-29","Devon","Outside London","Unknown","35","35","27750","29750"
"In post","2021","20-29","Dorset and Somerset","Outside London","AA/AO","290","285","22640","21490"
"In post","2021","20-29","Dorset and Somerset","Outside London","EO","145","140","26270","26740"
"In post","2021","20-29","Dorset and Somerset","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Dorset and Somerset","Outside London","SEO/HEO","70","70","33260","33290"
"In post","2021","20-29","Dorset and Somerset","Outside London","Unknown","40","40","23870","22920"
"In post","2021","20-29","East Anglia","Outside London","AA/AO","855","825","23790","21950"
"In post","2021","20-29","East Anglia","Outside London","EO","360","360","26300","26670"
"In post","2021","20-29","East Anglia","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","East Anglia","Outside London","SEO/HEO","195","195","32010","31100"
"In post","2021","20-29","East Anglia","Outside London","Unknown","85","85","25440","24020"
"In post","2021","20-29","East Wales","Outside London","AA/AO","1375","1345","21250","20500"
"In post","2021","20-29","East Wales","Outside London","EO","1085","1075","25930","25560"
"In post","2021","20-29","East Wales","Outside London","G6/G7","90","90","51740","49600"
"In post","2021","20-29","East Wales","Outside London","SEO/HEO","845","840","32970","31810"
"In post","2021","20-29","East Wales","Outside London","Unknown","70","70","24670","22920"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","Outside London","AA/AO","465","460","23180","22350"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","Outside London","EO","120","115","26960","27380"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","Outside London","SEO/HEO","15","15","29450","29750"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","Outside London","Unknown","35","35","23250","22920"
"In post","2021","20-29","Eastern Scotland","Outside London","AA/AO","1410","1370","21730","21010"
"In post","2021","20-29","Eastern Scotland","Outside London","EO","815","810","27680","27570"
"In post","2021","20-29","Eastern Scotland","Outside London","G6/G7","65","65","52570","52480"
"In post","2021","20-29","Eastern Scotland","Outside London","SEO/HEO","665","660","34220","32140"
"In post","2021","20-29","Eastern Scotland","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Essex","Outside London","AA/AO","270","265","23950","24180"
"In post","2021","20-29","Essex","Outside London","EO","270","265","28030","29290"
"In post","2021","20-29","Essex","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","20-29","Essex","Outside London","SEO/HEO","60","60","34200","31810"
"In post","2021","20-29","Essex","Outside London","Unknown","60","60","22840","22920"
"In post","2021","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","AA/AO","910","885","21380","20920"
"In post","2021","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","EO","1760","1735","24470","25550"
"In post","2021","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","G6/G7","100","100","50800","52260"
"In post","2021","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","SEO/HEO","2140","2125","31950","31600"
"In post","2021","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Unknown","430","430","28050","27540"
"In post","2021","20-29","Greater Manchester","Outside London","AA/AO","1165","1135","21040","20600"
"In post","2021","20-29","Greater Manchester","Outside London","EO","1055","1045","25980","25560"
"In post","2021","20-29","Greater Manchester","Outside London","G6/G7","110","110","51650","52580"
"In post","2021","20-29","Greater Manchester","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Greater Manchester","Outside London","SEO/HEO","825","820","32770","31810"
"In post","2021","20-29","Greater Manchester","Outside London","Unknown","120","115","25570","23840"
