"Status","Year","Ethnicity","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","G6/G7","Heterosexual / straight","35","35","59810","58030"
"In post","2021","Asian","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Overseas","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","SEO/HEO","Heterosexual / straight","40","40","39260","34770"
"In post","2021","Asian","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","Heterosexual / straight","30","30","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","AA/AO","Heterosexual / straight","35","30","23520","25110"
"In post","2021","Asian","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","AA/AO","Undeclared","10","5","[c]","[c]"
"In post","2021","Asian","Unknown","AA/AO","Unknown","15","10","[c]","[c]"
"In post","2021","Asian","Unknown","EO","Heterosexual / straight","60","55","29000","27570"
"In post","2021","Asian","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Unknown","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SEO/HEO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Asian","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","AA/AO","Heterosexual / straight","1800","1705","25630","25110"
"In post","2021","Black","London","AA/AO","LGBO","40","35","24940","24120"
"In post","2021","Black","London","AA/AO","Undeclared","145","130","25180","24920"
"In post","2021","Black","London","AA/AO","Unknown","310","280","26530","25110"
"In post","2021","Black","London","EO","Heterosexual / straight","2830","2735","30070","30720"
"In post","2021","Black","London","EO","LGBO","70","70","29890","31060"
"In post","2021","Black","London","EO","Undeclared","195","185","30250","30530"
"In post","2021","Black","London","EO","Unknown","440","405","30850","31060"
"In post","2021","Black","London","G6/G7","Heterosexual / straight","815","805","58560","57460"
"In post","2021","Black","London","G6/G7","LGBO","30","30","60140","58500"
"In post","2021","Black","London","G6/G7","Undeclared","40","40","59210","58460"
"In post","2021","Black","London","G6/G7","Unknown","80","80","61300","60550"
"In post","2021","Black","London","SCS level","Heterosexual / straight","50","50","88660","79670"
"In post","2021","Black","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2021","Black","London","SCS level","Unknown","5","5","[c]","[c]"
"In post","2021","Black","London","SEO/HEO","Heterosexual / straight","2285","2260","38110","36670"
"In post","2021","Black","London","SEO/HEO","LGBO","50","45","38910","37300"
"In post","2021","Black","London","SEO/HEO","Undeclared","125","125","38260","37080"
"In post","2021","Black","London","SEO/HEO","Unknown","195","185","37860","36910"
"In post","2021","Black","London","Unknown","Heterosexual / straight","415","410","32380","30200"
"In post","2021","Black","London","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","Black","London","Unknown","Undeclared","20","20","[c]","[c]"
"In post","2021","Black","London","Unknown","Unknown","10","5","[c]","[c]"
"In post","2021","Black","Outside London","AA/AO","Heterosexual / straight","1450","1345","22150","21010"
"In post","2021","Black","Outside London","AA/AO","LGBO","40","40","21840","21010"
"In post","2021","Black","Outside London","AA/AO","Undeclared","90","80","22250","21010"
"In post","2021","Black","Outside London","AA/AO","Unknown","200","175","22440","21010"
"In post","2021","Black","Outside London","EO","Heterosexual / straight","1530","1465","27230","27570"
"In post","2021","Black","Outside London","EO","LGBO","55","55","27880","27570"
"In post","2021","Black","Outside London","EO","Undeclared","85","80","27340","27570"
"In post","2021","Black","Outside London","EO","Unknown","175","160","27680","27570"
"In post","2021","Black","Outside London","G6/G7","Heterosexual / straight","240","240","55470","52580"
"In post","2021","Black","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Outside London","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Black","Outside London","G6/G7","Unknown","25","25","[c]","[c]"
"In post","2021","Black","Outside London","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Black","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Outside London","SCS level","Unknown","5","5","[c]","[c]"
"In post","2021","Black","Outside London","SEO/HEO","Heterosexual / straight","1060","1030","35600","33620"
"In post","2021","Black","Outside London","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2021","Black","Outside London","SEO/HEO","Undeclared","45","45","35940","35290"
"In post","2021","Black","Outside London","SEO/HEO","Unknown","85","80","35920","34290"
"In post","2021","Black","Outside London","Unknown","Heterosexual / straight","340","320","29100","28200"
"In post","2021","Black","Outside London","Unknown","LGBO","5","5","[c]","[c]"
"In post","2021","Black","Outside London","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2021","Black","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Black","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Black","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Black","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Black","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","AA/AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Black","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Black","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Black","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Black","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","London","AA/AO","Heterosexual / straight","35","30","25550","25110"
"In post","2021","Chinese","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","London","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2021","Chinese","London","AA/AO","Unknown","5","5","[c]","[c]"
"In post","2021","Chinese","London","EO","Heterosexual / straight","100","95","29530","29450"
"In post","2021","Chinese","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","London","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","Chinese","London","EO","Unknown","10","10","[c]","[c]"
"In post","2021","Chinese","London","G6/G7","Heterosexual / straight","145","145","59390","57870"
"In post","2021","Chinese","London","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2021","Chinese","London","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Chinese","London","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2021","Chinese","London","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Chinese","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","London","SCS level","Unknown","5","5","[c]","[c]"
"In post","2021","Chinese","London","SEO/HEO","Heterosexual / straight","150","145","38830","38160"
"In post","2021","Chinese","London","SEO/HEO","LGBO","15","15","[c]","[c]"
"In post","2021","Chinese","London","SEO/HEO","Undeclared","35","35","38190","37770"
"In post","2021","Chinese","London","SEO/HEO","Unknown","20","20","[c]","[c]"
"In post","2021","Chinese","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Outside London","AA/AO","Heterosexual / straight","165","150","21350","21010"
"In post","2021","Chinese","Outside London","AA/AO","LGBO","10","10","[c]","[c]"
"In post","2021","Chinese","Outside London","AA/AO","Undeclared","15","10","[c]","[c]"
"In post","2021","Chinese","Outside London","AA/AO","Unknown","25","20","[c]","[c]"
"In post","2021","Chinese","Outside London","EO","Heterosexual / straight","135","125","26520","25560"
"In post","2021","Chinese","Outside London","EO","LGBO","15","15","[c]","[c]"
"In post","2021","Chinese","Outside London","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","Chinese","Outside London","EO","Unknown","20","15","[c]","[c]"
"In post","2021","Chinese","Outside London","G6/G7","Heterosexual / straight","45","40","55640","52580"
"In post","2021","Chinese","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Outside London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Outside London","G6/G7","Unknown","15","15","[c]","[c]"
"In post","2021","Chinese","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Outside London","SEO/HEO","Heterosexual / straight","130","125","36210","35670"
"In post","2021","Chinese","Outside London","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2021","Chinese","Outside London","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Chinese","Outside London","SEO/HEO","Unknown","20","20","[c]","[c]"
"In post","2021","Chinese","Outside London","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Chinese","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Outside London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Chinese","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chinese","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","London","AA/AO","Heterosexual / straight","340","325","25650","25110"
"In post","2021","Mixed","London","AA/AO","LGBO","25","25","[c]","[c]"
"In post","2021","Mixed","London","AA/AO","Undeclared","25","25","[c]","[c]"
"In post","2021","Mixed","London","AA/AO","Unknown","35","35","26280","25110"
"In post","2021","Mixed","London","EO","Heterosexual / straight","615","590","29680","29610"
"In post","2021","Mixed","London","EO","LGBO","60","55","29530","30610"
"In post","2021","Mixed","London","EO","Undeclared","65","65","29850","30130"
"In post","2021","Mixed","London","EO","Unknown","45","40","29800","30330"
"In post","2021","Mixed","London","G6/G7","Heterosexual / straight","650","630","58740","57430"
"In post","2021","Mixed","London","G6/G7","LGBO","90","90","57310","56360"
"In post","2021","Mixed","London","G6/G7","Undeclared","45","45","58720","55490"
"In post","2021","Mixed","London","G6/G7","Unknown","55","50","61270","60720"
"In post","2021","Mixed","London","SCS level","Heterosexual / straight","80","75","81880","76960"
"In post","2021","Mixed","London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2021","Mixed","London","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2021","Mixed","London","SCS level","Unknown","10","10","[c]","[c]"
"In post","2021","Mixed","London","SEO/HEO","Heterosexual / straight","890","870","37890","36800"
"In post","2021","Mixed","London","SEO/HEO","LGBO","110","105","37510","36700"
"In post","2021","Mixed","London","SEO/HEO","Undeclared","85","85","36650","35700"
"In post","2021","Mixed","London","SEO/HEO","Unknown","70","70","38550","37390"
"In post","2021","Mixed","London","Unknown","Heterosexual / straight","80","75","32680","32090"
"In post","2021","Mixed","London","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","Mixed","London","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2021","Mixed","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Outside London","AA/AO","Heterosexual / straight","1115","1025","22330","21010"
"In post","2021","Mixed","Outside London","AA/AO","LGBO","115","115","22270","21010"
"In post","2021","Mixed","Outside London","AA/AO","Undeclared","110","100","22450","21010"
"In post","2021","Mixed","Outside London","AA/AO","Unknown","145","120","22220","21010"
"In post","2021","Mixed","Outside London","EO","Heterosexual / straight","1075","1015","27220","27570"
"In post","2021","Mixed","Outside London","EO","LGBO","125","120","27220","27570"
"In post","2021","Mixed","Outside London","EO","Undeclared","110","100","26980","27570"
"In post","2021","Mixed","Outside London","EO","Unknown","95","85","27790","27570"
"In post","2021","Mixed","Outside London","G6/G7","Heterosexual / straight","315","300","57130","54460"
"In post","2021","Mixed","Outside London","G6/G7","LGBO","30","30","[c]","[c]"
"In post","2021","Mixed","Outside London","G6/G7","Undeclared","30","30","[c]","[c]"
"In post","2021","Mixed","Outside London","G6/G7","Unknown","40","40","56170","53860"
"In post","2021","Mixed","Outside London","SCS level","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Mixed","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Mixed","Outside London","SEO/HEO","Heterosexual / straight","860","835","35720","34290"
"In post","2021","Mixed","Outside London","SEO/HEO","LGBO","90","85","35650","35000"
"In post","2021","Mixed","Outside London","SEO/HEO","Undeclared","55","55","36610","33620"
"In post","2021","Mixed","Outside London","SEO/HEO","Unknown","100","95","35750","35000"
"In post","2021","Mixed","Outside London","Unknown","Heterosexual / straight","245","230","29930","30210"
