"Status","Year","Organisation","Parent_department","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","Female","1505","1460","59400","55950"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","G6/G7","Male","1525","1510","59800","56440"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","Female","420","405","87650","75930"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","Male","550","550","95640","81170"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","Female","2270","2235","33600","33300"
"In post","2021","Cabinet Office (excl. agencies)","Cabinet Office","SEO/HEO","Male","1750","1740","33720","33300"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","Female","35","30","20570","21050"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AA/AO","Male","20","20","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","Female","70","65","25050","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","Male","50","50","25120","24920"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","Female","30","30","51400","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","G6/G7","Male","80","80","52510","48080"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","Female","150","140","32920","30660"
"In post","2021","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO/HEO","Male","170","165","32770","30220"
"In post","2021","Charity Commission","Charity Commission","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","EO","Female","65","60","24740","24440"
"In post","2021","Charity Commission","Charity Commission","EO","Male","45","40","24800","24440"
"In post","2021","Charity Commission","Charity Commission","G6/G7","Female","40","40","54640","51920"
"In post","2021","Charity Commission","Charity Commission","G6/G7","Male","25","25","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Charity Commission","SEO/HEO","Female","130","125","32740","29550"
"In post","2021","Charity Commission","Charity Commission","SEO/HEO","Male","105","105","33390","31350"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","AA/AO","Female","290","235","21870","22490"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","AA/AO","Male","145","140","21420","22490"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","EO","Female","140","125","26910","27460"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","EO","Male","145","145","28760","27460"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","Female","35","35","58470","57800"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","G6/G7","Male","40","40","56640","54870"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","SEO/HEO","Female","140","130","37720","38000"
"In post","2021","Companies House","Department for Business, Energy and Industrial Strategy","SEO/HEO","Male","165","160","39660","39820"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","AA/AO","Female","15","15","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","EO","Female","40","40","28640","28040"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","EO","Male","35","35","28440","28070"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","G6/G7","Female","220","205","65750","62890"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","G6/G7","Male","210","205","66870","65340"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","SCS level","Female","50","45","107270","99920"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","SCS level","Male","65","65","111010","102520"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","Female","110","110","37760","35680"
"In post","2021","Competition and Markets Authority","Competition and Markets Authority","SEO/HEO","Male","85","85","37910","35000"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","AA/AO","Female","65","55","20380","20650"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","AA/AO","Male","50","50","20120","20480"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","EO","Female","45","45","23080","22570"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","EO","Male","35","35","23700","22720"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","G6/G7","Female","10","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","SEO/HEO","Female","40","35","29130","27620"
"In post","2021","Criminal Injuries Compensation Authority","Ministry of Justice","SEO/HEO","Male","50","50","29510","28420"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","EO","Female","65","60","23380","22230"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","EO","Male","50","50","23750","22590"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","G6/G7","Female","105","105","51650","49300"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","G6/G7","Male","85","85","53970","55020"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","SCS level","Male","20","20","[c]","[c]"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","SEO/HEO","Female","220","210","32800","34800"
"In post","2021","Crown Commercial Service","Other Cabinet Office Agencies","SEO/HEO","Male","210","210","33500","34800"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","AA/AO","Female","535","470","21900","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","AA/AO","Male","170","165","22050","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","EO","Female","235","225","27320","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","EO","Male","85","80","27340","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","G6/G7","Female","145","135","66610","68470"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","G6/G7","Male","55","55","66500","68470"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","SEO/HEO","Female","530","490","41680","37940"
"In post","2021","Crown Office and Procurator Fiscal Service","Scottish Government","SEO/HEO","Male","235","230","42700","38150"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","AA/AO","Female","1065","955","22250","21950"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","AA/AO","Male","385","375","22200","21950"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","EO","Female","980","880","27970","28430"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","EO","Male","375","370","27910","28430"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","G6/G7","Female","1735","1560","56880","55610"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","G6/G7","Male","1135","1100","58780","55610"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","SCS level","Female","50","50","92580","85850"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","SCS level","Male","35","35","97450","92430"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","Female","655","620","36210","36240"
"In post","2021","Crown Prosecution Service","Attorney General's Departments","SEO/HEO","Male","330","325","35970","36240"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Attorney General's Departments","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","EO","Female","5","5","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","G6/G7","Male","50","50","73110","68960"
"In post","2021","Debt Management Office","HM Treasury","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","SEO/HEO","Female","20","20","[c]","[c]"
"In post","2021","Debt Management Office","HM Treasury","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","AA/AO","Female","30","25","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","AA/AO","Male","65","60","19510","19810"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","EO","Female","20","20","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","EO","Male","240","230","28100","28750"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Ministry of Defence","SEO/HEO","Male","55","55","36560","32850"
"In post","2021","Defence Equipment and Support","Ministry of Defence","EO","Female","1015","935","22180","21470"
"In post","2021","Defence Equipment and Support","Ministry of Defence","EO","Male","1595","1570","22290","21120"
"In post","2021","Defence Equipment and Support","Ministry of Defence","G6/G7","Female","480","455","55700","54530"
"In post","2021","Defence Equipment and Support","Ministry of Defence","G6/G7","Male","1185","1165","57330","55480"
"In post","2021","Defence Equipment and Support","Ministry of Defence","SCS level","Female","25","25","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","SCS level","Male","85","85","105710","96140"
"In post","2021","Defence Equipment and Support","Ministry of Defence","SEO/HEO","Female","2130","2000","34130","33450"
"In post","2021","Defence Equipment and Support","Ministry of Defence","SEO/HEO","Male","4180","4100","36390","36550"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Ministry of Defence","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","Female","45","40","18080","17710"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","AA/AO","Male","85","85","19130","17710"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","EO","Female","150","135","22850","22780"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","EO","Male","95","95","23380","22780"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","Female","580","540","49470","46090"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","G6/G7","Male","1390","1350","51840","47140"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","Female","770","720","32830","30350"
"In post","2021","Defence Science and Technology Laboratory","Ministry of Defence","SEO/HEO","Male","1260","1245","33480","36900"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AA/AO","Female","45","40","24040","24900"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AA/AO","Male","35","35","25340","24900"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","Female","255","245","27870","27680"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","Male","155","155","28510","27690"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","Female","1080","1035","58280","56220"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6/G7","Male","1255","1240","59050","57380"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SCS level","Female","150","140","81660","74880"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SCS level","Male","175","175","84420","75540"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","Female","1075","1055","37680","36740"
"In post","2021","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO/HEO","Male","1100","1095","38390","38620"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","EO","Female","125","120","27470","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","EO","Male","55","55","27240","26180"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6/G7","Female","415","400","58320","55220"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6/G7","Male","390","385","59020","58600"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SCS level","Female","65","60","85910","75500"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SCS level","Male","55","55","87040","78180"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SEO/HEO","Female","350","345","36730","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SEO/HEO","Male","310","305","37360","34240"
"In post","2021","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Department for Education","AA/AO","Female","55","50","22180","21000"
"In post","2021","Department for Education (excl. agencies)","Department for Education","AA/AO","Male","20","20","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Department for Education","EO","Female","450","430","26960","26000"
"In post","2021","Department for Education (excl. agencies)","Department for Education","EO","Male","285","285","26740","26000"
"In post","2021","Department for Education (excl. agencies)","Department for Education","G6/G7","Female","1210","1140","56410","54160"
"In post","2021","Department for Education (excl. agencies)","Department for Education","G6/G7","Male","925","910","57430","54400"
"In post","2021","Department for Education (excl. agencies)","Department for Education","SCS level","Female","135","130","82660","74100"
"In post","2021","Department for Education (excl. agencies)","Department for Education","SCS level","Male","100","95","84470","76110"
"In post","2021","Department for Education (excl. agencies)","Department for Education","SEO/HEO","Female","1510","1435","35870","36500"
"In post","2021","Department for Education (excl. agencies)","Department for Education","SEO/HEO","Male","1000","990","36060","36500"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Education (excl. agencies)","Department for Education","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AA/AO","Female","115","95","22490","21050"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AA/AO","Male","60","60","22940","24370"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","EO","Female","295","280","26720","25910"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","EO","Male","215","215","26790","26300"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6/G7","Female","940","885","54280","53200"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6/G7","Male","910","900","54860","53420"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SCS level","Female","110","105","83650","76070"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SCS level","Male","105","105","83500","77390"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SEO/HEO","Female","1505","1420","35030","35900"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SEO/HEO","Male","1155","1145","35120","35890"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","AA/AO","Female","20","20","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","AA/AO","Male","15","15","[c]","[c]"
"In post","2021","Department for International Trade","Department for International Trade","EO","Female","140","140","27400","26510"
"In post","2021","Department for International Trade","Department for International Trade","EO","Male","115","115","27300","26510"
"In post","2021","Department for International Trade","Department for International Trade","G6/G7","Female","490","480","54780","51970"
"In post","2021","Department for International Trade","Department for International Trade","G6/G7","Male","585","585","55980","53750"
"In post","2021","Department for International Trade","Department for International Trade","SCS level","Female","80","80","80110","74600"
"In post","2021","Department for International Trade","Department for International Trade","SCS level","Male","95","95","91420","82780"
"In post","2021","Department for International Trade","Department for International Trade","SEO/HEO","Female","540","530","35310","34750"
"In post","2021","Department for International Trade","Department for International Trade","SEO/HEO","Male","610","605","35390","34950"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","AA/AO","Female","55","50","24440","25730"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","AA/AO","Male","95","80","30340","32740"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","EO","Female","230","225","28640","30270"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","EO","Male","165","160","28900","30270"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","G6/G7","Female","530","505","58350","54760"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","G6/G7","Male","770","760","60990","57600"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","SCS level","Female","90","85","84230","78580"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","SCS level","Male","120","115","91110","82900"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","SEO/HEO","Female","635","615","38060","35980"
"In post","2021","Department for Transport (excl. agencies)","Department for Transport","SEO/HEO","Male","830","820","38650","37660"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AA/AO","Female","19625","15905","21160","21010"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AA/AO","Male","9690","9200","21190","21010"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","EO","Female","32260","28275","28110","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","EO","Male","16315","15680","28140","27570"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G6/G7","Female","1355","1285","55520","54000"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G6/G7","Male","1405","1370","57850","56230"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SCS level","Female","120","115","85880","78110"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SCS level","Male","120","120","93600","85500"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SEO/HEO","Female","6170","5710","34580","34290"
"In post","2021","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SEO/HEO","Male","3885","3760","35170","34290"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","AA/AO","Female","20","20","[c]","[c]"
"In post","2021","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","AA/AO","Male","15","15","[c]","[c]"
