"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","South East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","EO","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","G6","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","G7","15","15","56480","54160"
"In post","2021","Analysis","Digital, Data and Technology","London","HEO","20","20","36750","36980"
"In post","2021","Analysis","Digital, Data and Technology","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","SEO","25","25","43840","45250"
"In post","2021","Analysis","Digital, Data and Technology","North East (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North East (England)","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North East (England)","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North East (England)","SEO","10","10","41860","42320"
"In post","2021","Analysis","Digital, Data and Technology","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","North West (England)","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Wales","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Wales","EO","15","15","26550","26620"
"In post","2021","Analysis","Digital, Data and Technology","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Wales","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Wales","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","West Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Yorkshire and The Humber","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Yorkshire and The Humber","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Yorkshire and The Humber","G7","20","15","52290","51060"
"In post","2021","Analysis","Digital, Data and Technology","Yorkshire and The Humber","HEO","15","10","32020","32870"
"In post","2021","Analysis","Digital, Data and Technology","Yorkshire and The Humber","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Yorkshire and The Humber","SEO","25","20","42110","42220"
"In post","2021","Analysis","Economics","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","London","AO","20","20","24910","25140"
"In post","2021","Analysis","Economics","London","EO","70","70","28000","27680"
"In post","2021","Analysis","Economics","London","G6","115","110","72090","71290"
"In post","2021","Analysis","Economics","London","G7","325","315","56640","55840"
"In post","2021","Analysis","Economics","London","HEO","450","450","34430","33930"
"In post","2021","Analysis","Economics","London","SCS level","55","50","92340","83430"
"In post","2021","Analysis","Economics","London","SEO","40","40","44660","43220"
"In post","2021","Analysis","Economics","North West (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","North West (England)","G7","10","10","[c]","[c]"
"In post","2021","Analysis","Economics","North West (England)","HEO","10","10","32090","31810"
"In post","2021","Analysis","Economics","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","South East (England)","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Economics","South East (England)","G7","10","10","51420","51970"
"In post","2021","Analysis","Economics","South East (England)","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Economics","South East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","South East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","South West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Wales","AO","25","25","19130","19130"
"In post","2021","Analysis","Economics","Wales","EO","10","10","23560","23050"
"In post","2021","Analysis","Economics","Wales","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Wales","G7","30","30","51210","49120"
"In post","2021","Analysis","Economics","Wales","HEO","35","35","30190","29540"
"In post","2021","Analysis","Economics","Wales","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","Economics","Wales","SEO","15","10","37720","37020"
"In post","2021","Analysis","Economics","West Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Midlands (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","West Midlands (England)","HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Economics","West Midlands (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Yorkshire and The Humber","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","East Midlands (England)","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","East Midlands (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","East of England","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","London","G7","10","10","59920","53200"
"In post","2021","Analysis","Finance","London","HEO","10","10","35870","35900"
"In post","2021","Analysis","Finance","London","SCS level","[c]","[c]","[c]","[c]"
