"Status","Year","Organisation","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Scotland","AA/AO","35","30","22070","22230"
"In post","2021","Accountant in Bankruptcy","Scotland","EO","45","40","28890","29190"
"In post","2021","Accountant in Bankruptcy","Scotland","G6/G7","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Scotland","SEO/HEO","35","30","38800","35110"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","AA/AO","15","10","19970","19790"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","EO","30","30","24460","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Midlands (England)","SEO/HEO","45","45","34050","31220"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","EO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East of England","SEO/HEO","25","25","34910","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","EO","35","35","28570","28750"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","G6/G7","25","25","61340","59470"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SCS level","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","125","125","41470","39120"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","EO","65","60","24580","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","North East (England)","SEO/HEO","70","60","33810","31130"
