"Status","Year","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","505","485","39730","37930"
"In post","2021","Declared disabled","Communications","260","250","37360","34250"
"In post","2021","Declared disabled","Corporate Finance","15","15","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","70","65","34320","31810"
"In post","2021","Declared disabled","Digital, Data and Technology","1040","1005","39250","36030"
"In post","2021","Declared disabled","Economics","100","100","47130","47660"
"In post","2021","Declared disabled","Finance","770","720","37880","33780"
"In post","2021","Declared disabled","Human Resources","980","930","39950","35560"
"In post","2021","Declared disabled","Inspector of Education and Training","65","60","62000","64500"
"In post","2021","Declared disabled","Intelligence Analysis","305","290","33460","30830"
"In post","2021","Declared disabled","Internal Audit","90","90","43680","39980"
"In post","2021","Declared disabled","International Trade","105","105","46130","40840"
"In post","2021","Declared disabled","Knowledge and Information Management","265","260","34620","33000"
"In post","2021","Declared disabled","Legal","970","895","48520","50520"
"In post","2021","Declared disabled","Medicine","115","105","56050","41640"
"In post","2021","Declared disabled","Operational Delivery","17340","15735","28020","25620"
"In post","2021","Declared disabled","Operational Research","135","130","42190","38630"
"In post","2021","Declared disabled","Other","1900","1795","28430","25560"
"In post","2021","Declared disabled","Planning","15","15","[c]","[c]"
"In post","2021","Declared disabled","Planning Inspectors","15","10","[c]","[c]"
"In post","2021","Declared disabled","Policy","2460","2390","44940","40050"
"In post","2021","Declared disabled","Project Delivery","1475","1420","40430","38290"
"In post","2021","Declared disabled","Property","570","540","35270","33300"
"In post","2021","Declared disabled","Psychology","115","115","33040","29930"
"In post","2021","Declared disabled","Science and Engineering","1125","1080","36770","35080"
"In post","2021","Declared disabled","Security","595","580","31900","28750"
"In post","2021","Declared disabled","Social Research","110","100","41770","38900"
"In post","2021","Declared disabled","Statistics","175","165","43030","38750"
"In post","2021","Declared disabled","Tax","1360","1260","35230","31810"
"In post","2021","Declared disabled","Unknown","17490","15535","28590","27570"
"In post","2021","Declared disabled","Veterinarian","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Commercial","3520","3400","40820","37540"
"In post","2021","Declared non-disabled","Communications","2550","2460","41850","38630"
"In post","2021","Declared non-disabled","Corporate Finance","130","125","47170","46080"
"In post","2021","Declared non-disabled","Counter Fraud","610","580","37990","36060"
"In post","2021","Declared non-disabled","Digital, Data and Technology","8375","8145","42480","38750"
"In post","2021","Declared non-disabled","Economics","1400","1370","49030","50430"
"In post","2021","Declared non-disabled","Finance","6455","6150","41170","37320"
"In post","2021","Declared non-disabled","Human Resources","5310","5030","39240","35000"
"In post","2021","Declared non-disabled","Inspector of Education and Training","720","705","67650","74730"
"In post","2021","Declared non-disabled","Intelligence Analysis","2400","2295","33950","30830"
"In post","2021","Declared non-disabled","Internal Audit","580","555","46070","43230"
"In post","2021","Declared non-disabled","International Trade","780","765","47810","44030"
"In post","2021","Declared non-disabled","Knowledge and Information Management","1605","1535","36560","33300"
"In post","2021","Declared non-disabled","Legal","8150","7600","49510","51250"
"In post","2021","Declared non-disabled","Medicine","1555","1395","54190","40850"
"In post","2021","Declared non-disabled","Operational Delivery","113085","104010","29010","26200"
"In post","2021","Declared non-disabled","Operational Research","790","755","44790","45130"
"In post","2021","Declared non-disabled","Other","14080","13500","31520","26670"
"In post","2021","Declared non-disabled","Planning","160","150","47210","41000"
"In post","2021","Declared non-disabled","Planning Inspectors","250","220","58270","58810"
"In post","2021","Declared non-disabled","Policy","19705","19125","48170","45250"
