"Status","Year","Function_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA/AO","Female","105","100","21380","21050"
"In post","2021","Analysis","AA/AO","Male","100","95","21750","21260"
"In post","2021","Analysis","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Female","370","340","26260","25880"
"In post","2021","Analysis","EO","Male","360","355","26720","26410"
"In post","2021","Analysis","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","G6/G7","Female","1015","935","57880","55970"
"In post","2021","Analysis","G6/G7","Male","1395","1370","58800","56520"
"In post","2021","Analysis","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS level","Female","65","60","88120","79520"
"In post","2021","Analysis","SCS level","Male","95","90","89390","79930"
"In post","2021","Analysis","SEO/HEO","Female","1705","1615","35740","36030"
"In post","2021","Analysis","SEO/HEO","Male","1975","1945","35970","36030"
"In post","2021","Analysis","SEO/HEO","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Female","305","280","22080","21440"
"In post","2021","Commercial","AA/AO","Male","220","210","22150","21160"
"In post","2021","Commercial","EO","Female","510","475","26710","26670"
"In post","2021","Commercial","EO","Male","350","350","26980","26670"
"In post","2021","Commercial","G6/G7","Female","805","780","60520","56040"
"In post","2021","Commercial","G6/G7","Male","935","925","62230","59110"
"In post","2021","Commercial","SCS level","Female","230","220","88300","73000"
"In post","2021","Commercial","SCS level","Male","355","350","96120","77920"
"In post","2021","Commercial","SEO/HEO","Female","1575","1505","37360","36910"
"In post","2021","Commercial","SEO/HEO","Male","1460","1445","39140","38630"
"In post","2021","Commercial","Unknown","Female","110","110","37840","34500"
"In post","2021","Commercial","Unknown","Male","125","125","44000","40590"
"In post","2021","Communications","AA/AO","Female","300","255","21410","21400"
"In post","2021","Communications","AA/AO","Male","205","195","21490","21130"
"In post","2021","Communications","EO","Female","1505","1415","26040","25560"
"In post","2021","Communications","EO","Male","1700","1670","25560","25560"
"In post","2021","Communications","G6/G7","Female","635","605","57850","56130"
"In post","2021","Communications","G6/G7","Male","430","430","58350","55630"
"In post","2021","Communications","SCS level","Female","70","70","85110","80370"
"In post","2021","Communications","SCS level","Male","65","65","92600","84020"
"In post","2021","Communications","SEO/HEO","Female","1780","1710","36010","34770"
"In post","2021","Communications","SEO/HEO","Male","1520","1510","35470","33300"
"In post","2021","Counter Fraud","AA/AO","Female","520","425","21520","21440"
"In post","2021","Counter Fraud","AA/AO","Male","335","315","21400","20650"
"In post","2021","Counter Fraud","EO","Female","1720","1560","26980","25560"
"In post","2021","Counter Fraud","EO","Male","1695","1650","26990","25560"
"In post","2021","Counter Fraud","G6/G7","Female","395","375","56230","52770"
"In post","2021","Counter Fraud","G6/G7","Male","710","680","58120","57890"
"In post","2021","Counter Fraud","SCS level","Female","20","20","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Male","20","20","[c]","[c]"
"In post","2021","Counter Fraud","SEO/HEO","Female","1870","1745","34780","32520"
"In post","2021","Counter Fraud","SEO/HEO","Male","2340","2265","35540","35000"
"In post","2021","Debt","AA/AO","Female","1945","1660","21110","20140"
"In post","2021","Debt","AA/AO","Male","1470","1410","20730","20140"
"In post","2021","Debt","EO","Female","530","465","26920","25560"
"In post","2021","Debt","EO","Male","425","405","26720","25560"
"In post","2021","Debt","G6/G7","Female","25","25","[c]","[c]"
"In post","2021","Debt","G6/G7","Male","20","20","[c]","[c]"
"In post","2021","Debt","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO/HEO","Female","145","130","33980","31810"
"In post","2021","Debt","SEO/HEO","Male","105","100","35320","35000"
"In post","2021","Digital, Data & Technology","AA/AO","Female","210","195","21650","21230"
"In post","2021","Digital, Data & Technology","AA/AO","Male","240","240","22000","21580"
"In post","2021","Digital, Data & Technology","EO","Female","880","820","27180","26670"
"In post","2021","Digital, Data & Technology","EO","Male","1400","1375","27610","26740"
"In post","2021","Digital, Data & Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","G6/G7","Female","1305","1260","56510","54700"
"In post","2021","Digital, Data & Technology","G6/G7","Male","2370","2335","57870","55830"
"In post","2021","Digital, Data & Technology","SCS level","Female","90","85","88680","79360"
"In post","2021","Digital, Data & Technology","SCS level","Male","165","165","92780","89800"
"In post","2021","Digital, Data & Technology","SEO/HEO","Female","2485","2365","36400","36160"
"In post","2021","Digital, Data & Technology","SEO/HEO","Male","4340","4270","37720","37910"
"In post","2021","Digital, Data & Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Female","25","20","[c]","[c]"
"In post","2021","Digital, Data & Technology","Unknown","Male","80","75","37430","37200"
"In post","2021","Finance","AA/AO","Female","990","800","21180","21130"
"In post","2021","Finance","AA/AO","Male","500","465","20980","20670"
"In post","2021","Finance","EO","Female","1080","1000","26570","26670"
"In post","2021","Finance","EO","Male","610","600","26230","26350"
"In post","2021","Finance","G6/G7","Female","995","955","57840","56860"
"In post","2021","Finance","G6/G7","Male","1075","1070","59370","58130"
"In post","2021","Finance","SCS level","Female","100","100","88170","82720"
"In post","2021","Finance","SCS level","Male","175","175","92900","85800"
"In post","2021","Finance","SEO/HEO","Female","2085","1985","36950","36520"
"In post","2021","Finance","SEO/HEO","Male","1735","1705","37790","37600"
"In post","2021","Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Finance","Unknown","Female","25","25","[c]","[c]"
"In post","2021","Finance","Unknown","Male","25","25","[c]","[c]"
"In post","2021","Grants Management","AA/AO","Female","565","480","21000","21050"
"In post","2021","Grants Management","AA/AO","Male","390","380","21020","21050"
"In post","2021","Grants Management","EO","Female","315","280","25510","25190"
"In post","2021","Grants Management","EO","Male","225","220","25530","25190"
"In post","2021","Grants Management","G6/G7","Female","30","25","[c]","[c]"
"In post","2021","Grants Management","G6/G7","Male","30","30","52510","50000"
"In post","2021","Grants Management","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Grants Management","SEO/HEO","Female","180","165","32440","30780"
"In post","2021","Grants Management","SEO/HEO","Male","150","145","33080","31640"
"In post","2021","Human Resources","AA/AO","Female","1145","1005","21420","21130"
"In post","2021","Human Resources","AA/AO","Male","465","450","21170","20920"
"In post","2021","Human Resources","EO","Female","1240","1150","26540","26670"
"In post","2021","Human Resources","EO","Male","525","515","27010","26670"
"In post","2021","Human Resources","G6/G7","Female","1320","1270","57480","55550"
"In post","2021","Human Resources","G6/G7","Male","575","570","58520","57670"
"In post","2021","Human Resources","SCS level","Female","150","145","88780","81870"
"In post","2021","Human Resources","SCS level","Male","75","70","90030","83350"
"In post","2021","Human Resources","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Human Resources","SEO/HEO","Female","2655","2515","36160","35290"
"In post","2021","Human Resources","SEO/HEO","Male","1195","1175","36900","36320"
"In post","2021","Human Resources","Unknown","Female","165","155","35190","32580"
"In post","2021","Human Resources","Unknown","Male","65","65","43930","34850"
"In post","2021","Internal Audit","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Internal Audit","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Internal Audit","EO","Female","35","30","27920","26780"
"In post","2021","Internal Audit","EO","Male","15","15","[c]","[c]"
"In post","2021","Internal Audit","G6/G7","Female","85","80","59040","56400"
"In post","2021","Internal Audit","G6/G7","Male","115","115","58870","57490"
"In post","2021","Internal Audit","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Internal Audit","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Internal Audit","SEO/HEO","Female","245","230","39940","39980"
"In post","2021","Internal Audit","SEO/HEO","Male","215","205","41260","40660"
"In post","2021","Internal Audit","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Legal","AA/AO","Female","1820","1600","22140","21950"
"In post","2021","Legal","AA/AO","Male","765","730","21950","21950"
"In post","2021","Legal","EO","Female","1715","1555","28080","28430"
"In post","2021","Legal","EO","Male","730","715","27990","28430"
"In post","2021","Legal","G6/G7","Female","3720","3345","58930","57340"
"In post","2021","Legal","G6/G7","Male","2310","2225","60340","59160"
"In post","2021","Legal","SCS level","Female","245","230","87610","82500"
"In post","2021","Legal","SCS level","Male","215","215","90250","83830"
"In post","2021","Legal","SEO/HEO","Female","2200","2025","38570","38000"
"In post","2021","Legal","SEO/HEO","Male","1120","1090","38440","37940"
"In post","2021","Legal","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","No function","AA/AO","Female","37975","32835","22040","21400"
"In post","2021","No function","AA/AO","Male","32535","30960","24330","22430"
"In post","2021","No function","EO","Female","17080","15685","27360","26860"
"In post","2021","No function","EO","Male","16040","15405","29110","28080"
"In post","2021","No function","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","G6/G7","Female","10035","9570","57840","54700"
"In post","2021","No function","G6/G7","Male","11040","10820","58740","56350"
"In post","2021","No function","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","SCS level","Female","1445","1350","88830","79790"
"In post","2021","No function","SCS level","Male","1510","1470","92070","83110"
"In post","2021","No function","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","SEO/HEO","Female","23530","22305","35970","34690"
"In post","2021","No function","SEO/HEO","Male","21720","21095","37390","36360"
"In post","2021","No function","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","No function","Unknown","Female","9290","8485","29630","28200"
"In post","2021","No function","Unknown","Male","2720","2615","30740","30210"
"In post","2021","Project Delivery","AA/AO","Female","400","365","21800","21440"
"In post","2021","Project Delivery","AA/AO","Male","220","210","21380","21440"
"In post","2021","Project Delivery","EO","Female","2295","2125","25230","26120"
"In post","2021","Project Delivery","EO","Male","2310","2260","24490","25560"
"In post","2021","Project Delivery","G6/G7","Female","3235","3115","56750","55060"
"In post","2021","Project Delivery","G6/G7","Male","4135","4065","57870","55990"
"In post","2021","Project Delivery","SCS level","Female","305","295","87850","79720"
"In post","2021","Project Delivery","SCS level","Male","390","385","94440","85610"
"In post","2021","Project Delivery","SEO/HEO","Female","6080","5760","35640","35100"
"In post","2021","Project Delivery","SEO/HEO","Male","7665","7520","36910","37370"
"In post","2021","Project Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Female","300","290","39210","37210"
"In post","2021","Project Delivery","Unknown","Male","1055","1045","43190","41270"
"In post","2021","Property","AA/AO","Female","1050","930","21040","21100"
