"Status","Year","Age","Function_of_post","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Inner London - East","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Inner London - West","EO","15","15","26930","27680"
"In post","2021","16-19","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Surrey, East and West Sussex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Northumberland and Tyne and Wear","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","West Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Eastern Scotland","AA/AO","15","15","20140","20140"
"In post","2021","16-19","Debt","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Merseyside","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Northumberland and Tyne and Wear","AA/AO","15","15","20140","20140"
"In post","2021","16-19","Debt","Southern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Central Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Midlands","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Debt","West Yorkshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Devon","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","West Midlands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","West Wales and The Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Essex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","EO","20","20","19540","19040"
"In post","2021","16-19","Finance","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Inner London - West","EO","5","5","[c]","[c]"
"In post","2021","16-19","Finance","West Central Scotland","AA/AO","10","5","20140","20140"
"In post","2021","16-19","Finance","West Wales and The Valleys","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
