"Status","Year","Function_of_post","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Operational Research","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","25","25","41800","35070"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","480","455","33720","29750"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Operational Delivery","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","95","90","62530","59510"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","35","35","53090","46940"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","5","5","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Digital, Data and Technology","15","15","38790","38180"
"In post","2021","Analysis","Debt Management Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Operational Delivery","10","10","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","Policy","15","10","78480","61540"
"In post","2021","Analysis","Defence Electronics and Components Agency","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Delivery","20","20","39640","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Operational Research","255","245","41950","46080"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Project Delivery","5","5","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Science and Engineering","155","150","37330","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Statistics","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","195","195","40840","34400"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","20","20","50010","46050"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Research","15","15","51810","57620"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","20","20","49380","53380"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Statistics","30","30","46940","46630"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Economics","75","75","53810","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Operational Research","20","20","41850","42020"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Social Research","25","25","56490","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","Statistics","20","20","49200","43280"
"In post","2021","Analysis","Department for Education (excl. agencies)","Digital, Data and Technology","150","140","44150","42420"
"In post","2021","Analysis","Department for Education (excl. agencies)","Policy","260","245","44510","45250"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Statistics","75","70","38190","32840"
"In post","2021","Analysis","Department for International Trade","Economics","145","145","43340","32330"
"In post","2021","Analysis","Department for International Trade","Operational Research","5","5","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Other","15","15","36910","30100"
"In post","2021","Analysis","Department for International Trade","Policy","10","10","47180","39780"
"In post","2021","Analysis","Department for International Trade","Social Research","20","20","44560","46050"
"In post","2021","Analysis","Department for International Trade","Statistics","50","50","43710","40270"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Commercial","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Digital, Data and Technology","10","10","45020","43530"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Economics","170","165","47750","54110"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Operational Research","20","20","45160","42680"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Other","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Science and Engineering","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Social Research","45","40","48070","43580"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Statistics","120","115","45060","42890"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Intelligence Analysis","235","225","53190","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Statistics","50","45","49070","52080"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Digital, Data and Technology","25","25","27000","26780"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Knowledge and Information Management","20","20","33840","32320"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Operational Research","35","35","29780","31860"
"In post","2021","Analysis","Education and Skills Funding Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Economics","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Intelligence Analysis","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Social Research","10","10","43990","40660"
"In post","2021","Analysis","Food Standards Agency","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Research","70","65","58060","58370"
"In post","2021","Analysis","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Actuary's Department","Other","170","160","69960","65470"
"In post","2021","Analysis","Government Internal Audit Agency","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Internal Audit Agency","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Government Legal Department","Other","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Operational Delivery","15","10","34050","29750"
"In post","2021","Analysis","Health and Safety Executive","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Health and Safety Executive","Statistics","15","15","50150","57510"
"In post","2021","Analysis","HM Courts and Tribunals Service","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Social Research","5","5","[c]","[c]"
"In post","2021","Analysis","HM Courts and Tribunals Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Land Registry","Finance","20","15","45890","36200"
"In post","2021","Analysis","HM Prison and Probation Service","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Economics","100","100","45640","36160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Delivery","30","30","38730","35000"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Operational Research","100","95","43790","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Social Research","80","75","45420","41760"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Statistics","275","265","43530","38630"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Tax","15","15","38140","36160"
"In post","2021","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","40","35","48130","41850"
"In post","2021","Analysis","HM Treasury (excl. agencies)","Economics","85","85","48050","52530"
