"Status","Year","Function_of_post","Organisation","Region_ITL1","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","South West (England)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","G6/G7","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","AA/AO","30","30","20750","21050"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","EO","55","50","25050","24920"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","G6/G7","70","65","51310","48080"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","East of England","SEO/HEO","200","185","33050","30660"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","AA/AO","10","10","20740","21050"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","EO","35","35","25080","24920"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","G6/G7","20","20","53690","49030"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","South West (England)","SEO/HEO","60","55","32230","30220"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Yorkshire and The Humber","SEO/HEO","[c]","[c]","[c]","[c]"
