"Status","Year","Function_of_post","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA","Female","5","5","[c]","[c]"
"In post","2021","Analysis","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AO","Female","100","95","21460","21050"
"In post","2021","Analysis","AO","Male","95","90","21810","21260"
"In post","2021","Analysis","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Female","370","340","26260","25880"
"In post","2021","Analysis","EO","Male","360","355","26720","26410"
"In post","2021","Analysis","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","G6","Female","235","215","69800","66230"
"In post","2021","Analysis","G6","Male","335","330","73270","69240"
"In post","2021","Analysis","G7","Female","780","720","54280","53420"
"In post","2021","Analysis","G7","Male","1060","1040","54240","54110"
"In post","2021","Analysis","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HEO","Female","940","905","32430","32010"
"In post","2021","Analysis","HEO","Male","1195","1180","33070","32540"
"In post","2021","Analysis","HEO","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","SCS level","Female","65","60","88120","79520"
"In post","2021","Analysis","SCS level","Male","95","90","89390","79930"
"In post","2021","Analysis","SEO","Female","765","710","39830","38630"
"In post","2021","Analysis","SEO","Male","775","760","40440","39390"
"In post","2021","Analysis","SEO","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA","Female","15","15","[c]","[c]"
"In post","2021","Commercial","AA","Male","20","20","[c]","[c]"
"In post","2021","Commercial","AO","Female","290","265","22160","21580"
"In post","2021","Commercial","AO","Male","195","190","22100","21580"
"In post","2021","Commercial","EO","Female","510","475","26710","26670"
"In post","2021","Commercial","EO","Male","350","350","26980","26670"
"In post","2021","Commercial","G6","Female","275","270","73470","70880"
"In post","2021","Commercial","G6","Male","315","315","74870","71710"
"In post","2021","Commercial","G7","Female","525","510","53710","53360"
"In post","2021","Commercial","G7","Male","620","610","55740","54630"
"In post","2021","Commercial","HEO","Female","680","650","32580","33300"
"In post","2021","Commercial","HEO","Male","560","555","33120","33280"
"In post","2021","Commercial","SCS level","Female","230","220","88300","73000"
"In post","2021","Commercial","SCS level","Male","355","350","96120","77920"
"In post","2021","Commercial","SEO","Female","890","860","41010","40580"
"In post","2021","Commercial","SEO","Male","900","890","42880","41500"
"In post","2021","Commercial","Unknown","Female","110","110","37840","34500"
"In post","2021","Commercial","Unknown","Male","125","125","44000","40590"
"In post","2021","Communications","AA","Female","15","15","[c]","[c]"
"In post","2021","Communications","AA","Male","15","10","[c]","[c]"
"In post","2021","Communications","AO","Female","285","240","21490","21440"
"In post","2021","Communications","AO","Male","190","180","21610","21140"
"In post","2021","Communications","EO","Female","1505","1415","26040","25560"
"In post","2021","Communications","EO","Male","1700","1670","25560","25560"
"In post","2021","Communications","G6","Female","165","160","66660","66230"
"In post","2021","Communications","G6","Male","120","120","68400","68540"
"In post","2021","Communications","G7","Female","470","445","54730","54650"
"In post","2021","Communications","G7","Male","310","310","54450","53860"
"In post","2021","Communications","HEO","Female","1060","1020","32810","31810"
"In post","2021","Communications","HEO","Male","990","980","32720","31810"
"In post","2021","Communications","SCS level","Female","70","70","85110","80370"
"In post","2021","Communications","SCS level","Male","65","65","92600","84020"
"In post","2021","Communications","SEO","Female","720","690","40730","39910"
"In post","2021","Communications","SEO","Male","530","530","40600","39910"
"In post","2021","Counter Fraud","AA","Female","5","5","[c]","[c]"
"In post","2021","Counter Fraud","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","AO","Female","515","420","21530","21440"
"In post","2021","Counter Fraud","AO","Male","335","315","21400","20650"
"In post","2021","Counter Fraud","EO","Female","1720","1560","26980","25560"
"In post","2021","Counter Fraud","EO","Male","1695","1650","26990","25560"
"In post","2021","Counter Fraud","G6","Female","85","80","65280","64670"
"In post","2021","Counter Fraud","G6","Male","195","190","67170","64770"
"In post","2021","Counter Fraud","G7","Female","310","290","53700","52580"
"In post","2021","Counter Fraud","G7","Male","510","490","54660","52580"
"In post","2021","Counter Fraud","HEO","Female","1380","1275","33080","31810"
"In post","2021","Counter Fraud","HEO","Male","1610","1560","33410","31810"
"In post","2021","Counter Fraud","SCS level","Female","20","20","[c]","[c]"
"In post","2021","Counter Fraud","SCS level","Male","20","20","[c]","[c]"
"In post","2021","Counter Fraud","SEO","Female","490","465","39550","38630"
"In post","2021","Counter Fraud","SEO","Male","730","705","40240","38900"
"In post","2021","Debt","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt","AO","Female","1945","1660","21110","20140"
"In post","2021","Debt","AO","Male","1470","1410","20730","20140"
"In post","2021","Debt","EO","Female","530","465","26920","25560"
"In post","2021","Debt","EO","Male","425","405","26720","25560"
"In post","2021","Debt","G6","Female","10","5","[c]","[c]"
"In post","2021","Debt","G6","Male","5","5","[c]","[c]"
"In post","2021","Debt","G7","Female","20","20","[c]","[c]"
"In post","2021","Debt","G7","Male","15","15","[c]","[c]"
"In post","2021","Debt","HEO","Female","110","100","32460","31810"
"In post","2021","Debt","HEO","Male","75","70","33160","31810"
"In post","2021","Debt","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Debt","SEO","Female","35","30","39030","38630"
"In post","2021","Debt","SEO","Male","30","30","40240","38670"
"In post","2021","Digital, Data & Technology","AA","Female","15","15","[c]","[c]"
"In post","2021","Digital, Data & Technology","AA","Male","40","40","20170","20070"
