"Status","Year","Function_of_post","Region_ITL3","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedford","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bedford","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Berkshire","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","SEO/HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Berkshire","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Analysis","Birmingham","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","SEO/HEO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","Analysis","Birmingham","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Bradford","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bradford","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","G6/G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","SEO/HEO","Heterosexual / straight","70","65","35710","33190"
"In post","2021","Analysis","Bristol, City of","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","SEO/HEO","Unknown","10","5","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","G6/G7","LGBO","[c]","[c]","[c]","[c]"
