"Status","Year","Organisation","Region_ITL2","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","Outside London","AA/AO","35","30","22070","22230"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","Outside London","EO","45","40","28950","29190"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","Outside London","SEO/HEO","30","30","38770","35110"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","AA/AO","15","10","19970","19790"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","EO","30","30","24460","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","SEO/HEO","45","45","34050","31220"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","EO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","SEO/HEO","25","25","34910","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Outside London","EO","35","35","24630","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Outside London","SEO/HEO","50","50","34220","32260"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","EO","15","10","26000","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","SEO/HEO","35","35","34630","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Outside London","EO","65","60","24600","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Outside London","SEO/HEO","75","65","34230","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Outside London","SEO/HEO","20","20","37090","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","London","AA/AO","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","London","EO","35","35","28570","28750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","London","G6/G7","25","25","61340","59470"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","London","SCS level","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","London","SEO/HEO","125","125","41470","39120"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Outside London","EO","65","60","24580","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Outside London","SEO/HEO","70","60","33810","31130"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","Outside London","AA/AO","5","5","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","Outside London","EO","45","40","24610","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","Outside London","SEO/HEO","50","45","34050","31640"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","Outside London","EO","35","30","24700","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","Outside London","SEO/HEO","50","45","34480","34500"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","Outside London","EO","20","20","24710","24250"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","Outside London","SEO/HEO","40","40","34430","32260"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Outside London","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Outside London","SEO/HEO","10","10","38970","37720"
"In post","2021","Animal and Plant Health Agency","Cheshire","Outside London","EO","15","15","25340","25100"
"In post","2021","Animal and Plant Health Agency","Cheshire","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire","Outside London","SEO/HEO","15","15","36810","36520"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Outside London","AA/AO","15","10","21070","21050"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Outside London","EO","15","15","25090","25320"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Outside London","SEO/HEO","20","20","39070","37800"
"In post","2021","Animal and Plant Health Agency","Cumbria","Outside London","AA/AO","100","95","21080","21050"
"In post","2021","Animal and Plant Health Agency","Cumbria","Outside London","EO","25","25","25330","25100"
"In post","2021","Animal and Plant Health Agency","Cumbria","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cumbria","Outside London","SEO/HEO","25","20","38660","37240"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Outside London","AA/AO","10","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Outside London","EO","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Outside London","G6/G7","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Outside London","SEO/HEO","15","15","34190","32160"
"In post","2021","Animal and Plant Health Agency","Devon","Outside London","AA/AO","110","105","21100","21050"
"In post","2021","Animal and Plant Health Agency","Devon","Outside London","EO","45","40","25460","25190"
"In post","2021","Animal and Plant Health Agency","Devon","Outside London","G6/G7","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","Outside London","SEO/HEO","40","40","37630","37360"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","Outside London","EO","15","10","25220","25100"
