"Status","Year","Age","Function_of_post","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Department for Business, Energy and Industrial Strategy","London","10","10","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Education","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Department for International Trade","London","5","5","[c]","[c]"
"In post","2021","16-19","Analysis","Department for Transport","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","HM Revenue and Customs","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Defence","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Ministry of Justice","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","United Kingdom Statistics Authority","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","United Kingdom Statistics Authority","Wales","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Education","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs","East of England","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Environment, Food and Rural Affairs","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department for Transport","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Department of Health and Social Care","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Foreign, Commonwealth and Development Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Ministry of Defence","South West (England)","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","Other Cabinet Office Agencies","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Cabinet Office","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Education","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Department for Environment, Food and Rural Affairs","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","HM Revenue and Customs","North West (England)","[c]","[c]","[c]","[c]"
