"Status","Year","Function_of_post","Region_ITL1","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","EO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","G6/G7","Male","5","5","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Analysis","East of England","AA/AO","Female","20","20","[c]","[c]"
"In post","2021","Analysis","East of England","AA/AO","Male","10","10","[c]","[c]"
"In post","2021","Analysis","East of England","EO","Female","30","30","25110","24920"
"In post","2021","Analysis","East of England","EO","Male","25","25","[c]","[c]"
"In post","2021","Analysis","East of England","G6/G7","Female","20","15","[c]","[c]"
"In post","2021","Analysis","East of England","G6/G7","Male","60","60","52680","48080"
"In post","2021","Analysis","East of England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","SEO/HEO","Female","95","90","33440","32770"
"In post","2021","Analysis","East of England","SEO/HEO","Male","120","115","33030","30660"
"In post","2021","Analysis","London","AA/AO","Female","25","25","[c]","[c]"
"In post","2021","Analysis","London","AA/AO","Male","35","35","24490","24120"
"In post","2021","Analysis","London","EO","Female","120","115","28680","28330"
"In post","2021","Analysis","London","EO","Male","140","140","28900","28950"
"In post","2021","Analysis","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","G6/G7","Female","615","570","61430","59160"
"In post","2021","Analysis","London","G6/G7","Male","820","805","62750","59160"
"In post","2021","Analysis","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","SCS level","Female","50","45","91060","81560"
"In post","2021","Analysis","London","SCS level","Male","65","65","92020","82530"
"In post","2021","Analysis","London","SEO/HEO","Female","670","650","37810","36160"
"In post","2021","Analysis","London","SEO/HEO","Male","890","885","37980","36160"
"In post","2021","Analysis","London","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Analysis","North East (England)","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Analysis","North East (England)","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","North East (England)","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","North West (England)","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","North West (England)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","EO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","North West (England)","EO","Male","20","20","[c]","[c]"
"In post","2021","Analysis","North West (England)","G6/G7","Female","45","40","52890","52580"
"In post","2021","Analysis","North West (England)","G6/G7","Male","50","50","51500","52580"
"In post","2021","Analysis","North West (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North West (England)","SEO/HEO","Female","105","100","34930","32010"
"In post","2021","Analysis","North West (England)","SEO/HEO","Male","125","120","35230","33380"
"In post","2021","Analysis","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","G6/G7","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Scotland","G6/G7","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Scotland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Scotland","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Analysis","South East (England)","AA/AO","Female","10","5","[c]","[c]"
"In post","2021","Analysis","South East (England)","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","South East (England)","EO","Female","35","35","24790","23280"
"In post","2021","Analysis","South East (England)","EO","Male","35","30","25780","26350"
"In post","2021","Analysis","South East (England)","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","G6/G7","Female","105","95","50640","49100"
"In post","2021","Analysis","South East (England)","G6/G7","Male","185","180","51120","49100"
"In post","2021","Analysis","South East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South East (England)","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Analysis","South East (England)","SEO/HEO","Female","220","205","33550","33660"
"In post","2021","Analysis","South East (England)","SEO/HEO","Male","265","260","33750","34490"
"In post","2021","Analysis","South East (England)","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","AA/AO","Female","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","South West (England)","EO","Female","35","30","25840","24960"
"In post","2021","Analysis","South West (England)","EO","Male","40","40","25930","25620"
"In post","2021","Analysis","South West (England)","G6/G7","Female","35","35","55770","56350"
"In post","2021","Analysis","South West (England)","G6/G7","Male","60","55","53730","50860"
"In post","2021","Analysis","South West (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","South West (England)","SEO/HEO","Female","140","130","35080","35900"
"In post","2021","Analysis","South West (England)","SEO/HEO","Male","140","135","34680","35280"
"In post","2021","Analysis","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","AA/AO","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Wales","AA/AO","Male","30","30","[c]","[c]"
"In post","2021","Analysis","Wales","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","EO","Female","90","75","24320","23520"
"In post","2021","Analysis","Wales","EO","Male","65","65","24590","24240"
"In post","2021","Analysis","Wales","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","G6/G7","Female","105","100","51020","49120"
"In post","2021","Analysis","Wales","G6/G7","Male","115","115","53890","51640"
"In post","2021","Analysis","Wales","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Wales","SCS level","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Wales","SEO/HEO","Female","330","310","33610","33020"
"In post","2021","Analysis","Wales","SEO/HEO","Male","290","285","33530","33020"
"In post","2021","Analysis","Wales","SEO/HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","G6/G7","Female","5","5","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","G6/G7","Male","10","10","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","SEO/HEO","Female","20","15","[c]","[c]"
"In post","2021","Analysis","West Midlands (England)","SEO/HEO","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","AA/AO","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","EO","Female","30","25","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","EO","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","G6/G7","Female","65","60","53120","51420"
"In post","2021","Analysis","Yorkshire and The Humber","G6/G7","Male","70","65","54900","52080"
"In post","2021","Analysis","Yorkshire and The Humber","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Yorkshire and The Humber","SEO/HEO","Female","75","70","35970","34420"
"In post","2021","Analysis","Yorkshire and The Humber","SEO/HEO","Male","75","70","35840","33640"
"In post","2021","Commercial","East Midlands (England)","AA/AO","Female","20","15","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","EO","Female","15","15","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","EO","Male","15","15","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","G6/G7","Female","15","15","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","G6/G7","Male","20","20","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
