"Status","Year","Ethnicity","Organisation","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Accountant in Bankruptcy","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Female","25","25","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Male","15","15","[c]","[c]"
"In post","2021","Asian","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Female","35","35","27700","24920"
"In post","2021","Asian","Animal and Plant Health Agency","Male","20","20","[c]","[c]"
"In post","2021","Asian","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Female","280","270","44200","38560"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Male","190","190","48330","42040"
"In post","2021","Asian","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Centre for Environment, Fisheries and Aquaculture Science","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Female","5","5","[c]","[c]"
"In post","2021","Asian","Charity Commission","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Companies House","Female","10","10","[c]","[c]"
"In post","2021","Asian","Companies House","Male","10","10","[c]","[c]"
"In post","2021","Asian","Companies House","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Female","60","55","42590","35270"
"In post","2021","Asian","Competition and Markets Authority","Male","45","45","50620","47040"
"In post","2021","Asian","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Criminal Injuries Compensation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Female","10","10","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Male","20","20","[c]","[c]"
"In post","2021","Asian","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Female","25","20","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Male","15","15","[c]","[c]"
"In post","2021","Asian","Crown Office and Procurator Fiscal Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service","Female","425","380","38990","31820"
"In post","2021","Asian","Crown Prosecution Service","Male","175","170","40460","38760"
"In post","2021","Asian","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Crown Prosecution Service Inspectorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Female","10","10","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Male","10","10","[c]","[c]"
"In post","2021","Asian","Debt Management Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Equipment and Support","Female","110","105","32420","29230"
"In post","2021","Asian","Defence Equipment and Support","Male","220","215","34540","32620"
"In post","2021","Asian","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Female","15","15","[c]","[c]"
"In post","2021","Asian","Defence Science and Technology Laboratory","Male","45","45","41980","38500"
"In post","2021","Asian","Defence Science and Technology Laboratory","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Female","260","255","44690","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Male","190","190","42980","40050"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Female","70","65","46090","50860"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Male","55","55","47270","42020"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Education (excl. agencies)","Female","260","255","40380","36660"
"In post","2021","Asian","Department for Education (excl. agencies)","Male","195","195","39940","36500"
"In post","2021","Asian","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Female","140","135","38860","33620"
