"Status","Year","Age","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Outside London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","15","15","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","25","25","[c]","[c]"
"In post","2021","16-19","Cheshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Outside London","Female","25","25","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","Outside London","Male","15","15","[c]","[c]"
"In post","2021","16-19","Devon","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Devon","Outside London","Male","20","20","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","Outside London","Female","15","15","[c]","[c]"
"In post","2021","16-19","East Anglia","Outside London","Male","15","10","[c]","[c]"
"In post","2021","16-19","East Wales","Outside London","Female","25","25","[c]","[c]"
"In post","2021","16-19","East Wales","Outside London","Male","45","45","19790","20140"
"In post","2021","16-19","East Wales","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","Outside London","Female","55","50","21200","21010"
"In post","2021","16-19","Eastern Scotland","Outside London","Male","40","40","20990","20850"
"In post","2021","16-19","Essex","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Essex","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","50","50","19710","19040"
"In post","2021","16-19","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","100","100","18230","17780"
"In post","2021","16-19","Greater Manchester","Outside London","Female","25","20","[c]","[c]"
"In post","2021","16-19","Greater Manchester","Outside London","Male","20","20","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Outside London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Hampshire and Isle of Wight","Outside London","Male","15","15","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Highlands and Islands","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Inner London - East","London","Female","15","15","[c]","[c]"
"In post","2021","16-19","Inner London - East","London","Male","10","10","[c]","[c]"
"In post","2021","16-19","Inner London - West","London","Female","55","55","25660","24780"
"In post","2021","16-19","Inner London - West","London","Male","50","50","25690","25170"
"In post","2021","16-19","Kent","Outside London","Female","20","20","[c]","[c]"
"In post","2021","16-19","Kent","Outside London","Male","20","20","[c]","[c]"
"In post","2021","16-19","Lancashire","Outside London","Female","25","25","[c]","[c]"
"In post","2021","16-19","Lancashire","Outside London","Male","10","10","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Outside London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Leicestershire, Rutland and Northamptonshire","Outside London","Male","10","10","[c]","[c]"
"In post","2021","16-19","Lincolnshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Lincolnshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Merseyside","Outside London","Female","30","30","20740","20140"
"In post","2021","16-19","Merseyside","Outside London","Male","20","20","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Eastern Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North Yorkshire","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","North Yorkshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northumberland and Tyne and Wear","Outside London","Female","40","35","20700","20140"
"In post","2021","16-19","Northumberland and Tyne and Wear","Outside London","Male","40","40","21260","21010"
"In post","2021","16-19","Outer London - East and North East","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Outer London - East and North East","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - South","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Outer London - South","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outer London - West and North West","London","Female","10","5","[c]","[c]"
"In post","2021","16-19","Outer London - West and North West","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Shropshire and Staffordshire","Outside London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Shropshire and Staffordshire","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","South Yorkshire","Outside London","Female","15","15","[c]","[c]"
"In post","2021","16-19","South Yorkshire","Outside London","Male","10","10","[c]","[c]"
"In post","2021","16-19","Southern Scotland","Outside London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Southern Scotland","Outside London","Male","15","15","[c]","[c]"
"In post","2021","16-19","Surrey, East and West Sussex","Outside London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Surrey, East and West Sussex","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Tees Valley and Durham","Outside London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Tees Valley and Durham","Outside London","Male","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Male","35","35","19210","16470"
"In post","2021","16-19","West Central Scotland","Outside London","Female","30","30","20830","20840"
"In post","2021","16-19","West Central Scotland","Outside London","Male","20","20","[c]","[c]"
"In post","2021","16-19","West Midlands","Outside London","Female","20","20","[c]","[c]"
"In post","2021","16-19","West Midlands","Outside London","Male","10","10","[c]","[c]"
"In post","2021","16-19","West Wales and The Valleys","Outside London","Female","40","35","20630","21010"
"In post","2021","16-19","West Wales and The Valleys","Outside London","Male","20","20","[c]","[c]"
"In post","2021","16-19","West Yorkshire","Outside London","Female","30","30","21080","20600"
"In post","2021","16-19","West Yorkshire","Outside London","Male","35","35","20870","20140"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Outside London","Female","400","390","27570","27570"
"In post","2021","20-29","Bedfordshire and Hertfordshire","Outside London","Male","300","295","29420","29290"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","760","750","27130","26970"
"In post","2021","20-29","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","720","715","28010","27570"
"In post","2021","20-29","Cheshire","Outside London","Female","380","375","27120","27570"
"In post","2021","20-29","Cheshire","Outside London","Male","250","250","26780","26810"
"In post","2021","20-29","Cornwall and Isles of Scilly","Outside London","Female","70","70","23400","21010"
"In post","2021","20-29","Cornwall and Isles of Scilly","Outside London","Male","50","50","23670","21010"
"In post","2021","20-29","Cumbria","Outside London","Female","120","120","23020","21050"
"In post","2021","20-29","Cumbria","Outside London","Male","100","100","24690","23540"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Outside London","Female","990","960","25450","25480"
"In post","2021","20-29","Derbyshire and Nottinghamshire","Outside London","Male","870","860","26500","25560"
"In post","2021","20-29","Devon","Outside London","Female","505","490","25380","24470"
"In post","2021","20-29","Devon","Outside London","Male","530","525","26340","25380"
"In post","2021","20-29","Dorset and Somerset","Outside London","Female","275","265","24780","23840"
"In post","2021","20-29","Dorset and Somerset","Outside London","Male","275","275","25820","25850"
"In post","2021","20-29","East Anglia","Outside London","Female","805","780","25290","24920"
"In post","2021","20-29","East Anglia","Outside London","Male","700","690","26110","25850"
"In post","2021","20-29","East Wales","Outside London","Female","1815","1780","26480","24920"
"In post","2021","20-29","East Wales","Outside London","Male","1640","1630","26400","25560"
"In post","2021","20-29","East Wales","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","Outside London","Female","300","295","23880","22920"
"In post","2021","20-29","East Yorkshire and Northern Lincolnshire","Outside London","Male","335","335","24300","24440"
"In post","2021","20-29","Eastern Scotland","Outside London","Female","1760","1720","26950","25960"
"In post","2021","20-29","Eastern Scotland","Outside London","Male","1200","1190","26740","25560"
"In post","2021","20-29","Essex","Outside London","Female","400","390","26420","25170"
"In post","2021","20-29","Essex","Outside London","Male","270","270","26940","25850"
"In post","2021","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","2565","2505","27320","26590"
"In post","2021","20-29","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","2780","2765","28110","27540"
"In post","2021","20-29","Greater Manchester","Outside London","Female","1665","1635","26340","25560"
"In post","2021","20-29","Greater Manchester","Outside London","Male","1610","1595","27310","25560"
"In post","2021","20-29","Hampshire and Isle of Wight","Outside London","Female","985","965","27300","26670"
"In post","2021","20-29","Hampshire and Isle of Wight","Outside London","Male","935","920","27620","27570"
"In post","2021","20-29","Hampshire and Isle of Wight","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","295","285","23560","22920"
"In post","2021","20-29","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","245","245","23790","23970"
"In post","2021","20-29","Highlands and Islands","Outside London","Female","110","105","25010","22920"
"In post","2021","20-29","Highlands and Islands","Outside London","Male","85","80","24340","24450"
"In post","2021","20-29","Inner London - East","London","Female","1835","1810","32790","31060"
"In post","2021","20-29","Inner London - East","London","Male","1210","1195","34390","32000"
"In post","2021","20-29","Inner London - West","London","Female","9165","9115","36970","34000"
"In post","2021","20-29","Inner London - West","London","Male","7315","7295","37890","34640"
"In post","2021","20-29","Inner London - West","London","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Kent","Outside London","Female","605","595","26460","25560"
"In post","2021","20-29","Kent","Outside London","Male","605","605","27110","27150"
"In post","2021","20-29","Lancashire","Outside London","Female","825","795","24250","22850"
"In post","2021","20-29","Lancashire","Outside London","Male","735","725","23910","21630"
"In post","2021","20-29","Leicestershire, Rutland and Northamptonshire","Outside London","Female","465","450","23790","22920"
"In post","2021","20-29","Leicestershire, Rutland and Northamptonshire","Outside London","Male","405","400","24090","22890"
"In post","2021","20-29","Lincolnshire","Outside London","Female","165","160","25240","25980"
"In post","2021","20-29","Lincolnshire","Outside London","Male","115","115","26030","26300"
"In post","2021","20-29","Merseyside","Outside London","Female","1530","1475","24800","24880"
"In post","2021","20-29","Merseyside","Outside London","Male","1130","1105","24540","24880"
"In post","2021","20-29","North Eastern Scotland","Outside London","Female","140","135","26920","26160"
"In post","2021","20-29","North Eastern Scotland","Outside London","Male","90","90","27540","27150"
"In post","2021","20-29","North Yorkshire","Outside London","Female","310","305","25880","25100"
"In post","2021","20-29","North Yorkshire","Outside London","Male","225","220","26440","26370"
"In post","2021","20-29","Northern Ireland","Outside London","Female","205","195","23570","20310"
"In post","2021","20-29","Northern Ireland","Outside London","Male","220","215","23130","20310"
"In post","2021","20-29","Northumberland and Tyne and Wear","Outside London","Female","1435","1385","25330","25560"
"In post","2021","20-29","Northumberland and Tyne and Wear","Outside London","Male","1255","1245","25260","24890"
"In post","2021","20-29","Outer London - East and North East","London","Female","420","415","28980","31060"
"In post","2021","20-29","Outer London - East and North East","London","Male","265","260","29760","31060"
"In post","2021","20-29","Outer London - South","London","Female","740","735","31450","29570"
"In post","2021","20-29","Outer London - South","London","Male","660","660","32890","29850"
"In post","2021","20-29","Outer London - West and North West","London","Female","865","850","29630","29250"
"In post","2021","20-29","Outer London - West and North West","London","Male","530","525","29730","29250"
"In post","2021","20-29","Overseas","Overseas","Female","160","160","37200","34220"
"In post","2021","20-29","Overseas","Overseas","Male","150","150","37520","34500"
"In post","2021","20-29","Shropshire and Staffordshire","Outside London","Female","630","615","24500","23970"
"In post","2021","20-29","Shropshire and Staffordshire","Outside London","Male","485","480","25600","25560"
"In post","2021","20-29","South Yorkshire","Outside London","Female","800","780","26680","25000"
"In post","2021","20-29","South Yorkshire","Outside London","Male","610","605","27060","25000"
"In post","2021","20-29","Southern Scotland","Outside London","Female","370","360","26160","25560"
"In post","2021","20-29","Southern Scotland","Outside London","Male","335","335","25020","23230"
"In post","2021","20-29","Surrey, East and West Sussex","Outside London","Female","640","625","26810","27010"
"In post","2021","20-29","Surrey, East and West Sussex","Outside London","Male","470","470","27160","27570"
"In post","2021","20-29","Tees Valley and Durham","Outside London","Female","700","675","24250","22350"
"In post","2021","20-29","Tees Valley and Durham","Outside London","Male","540","530","24030","22850"
"In post","2021","20-29","Unknown","Unknown","Female","345","345","30300","29250"
"In post","2021","20-29","Unknown","Unknown","Male","545","545","29630","28980"
"In post","2021","20-29","West Central Scotland","Outside London","Female","1260","1220","25630","24770"
"In post","2021","20-29","West Central Scotland","Outside London","Male","1175","1155","25700","24450"
"In post","2021","20-29","West Midlands","Outside London","Female","1465","1430","25640","24890"
"In post","2021","20-29","West Midlands","Outside London","Male","1165","1155","26300","25080"
"In post","2021","20-29","West Wales and The Valleys","Outside London","Female","1055","995","23400","21590"
"In post","2021","20-29","West Wales and The Valleys","Outside London","Male","730","715","24330","21880"
"In post","2021","20-29","West Yorkshire","Outside London","Female","1665","1630","26600","25560"
"In post","2021","20-29","West Yorkshire","Outside London","Male","1550","1540","26080","25560"
"In post","2021","30-39","Bedfordshire and Hertfordshire","Outside London","Female","525","480","31850","29290"
"In post","2021","30-39","Bedfordshire and Hertfordshire","Outside London","Male","380","380","33560","31300"
