"Status","Year","Parent_department","Profession_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","London","London","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Yorkshire and The Humber","Outside London","10","10","41500","38180"
"In post","2021","Attorney General's Departments","Communications","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","London","London","60","60","43790","39750"
"In post","2021","Attorney General's Departments","Communications","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Yorkshire and The Humber","Outside London","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","London","London","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","London","London","280","275","45240","40080"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","London","London","80","80","43070","39800"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","North East (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","South East (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Wales","Outside London","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Yorkshire and The Humber","Outside London","60","55","37770","32680"
"In post","2021","Attorney General's Departments","Finance","East Midlands (England)","Outside London","30","25","24800","21950"
"In post","2021","Attorney General's Departments","Finance","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","London","London","65","60","42800","32570"
