"Status","Year","Parent_department","Region_ITL2","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","Heterosexual / straight","130","120","41700","40000"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bedfordshire and Hertfordshire","Outside London","Unknown","35","30","45530","45260"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Heterosexual / straight","90","85","42390","38120"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","35","30","47410","52330"
"In post","2021","Attorney General's Departments","Cheshire","Outside London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cheshire","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","Outside London","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cumbria","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Outside London","Heterosexual / straight","190","180","36960","30130"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Derbyshire and Nottinghamshire","Outside London","Unknown","70","65","39150","34480"
"In post","2021","Attorney General's Departments","Devon","Outside London","Heterosexual / straight","80","75","39080","34480"
"In post","2021","Attorney General's Departments","Devon","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Outside London","Heterosexual / straight","85","75","35280","28430"
"In post","2021","Attorney General's Departments","East Anglia","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Anglia","Outside London","Unknown","30","25","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Outside London","Heterosexual / straight","205","190","40840","38180"
"In post","2021","Attorney General's Departments","East Wales","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","East Wales","Outside London","Unknown","65","55","43580","52410"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Outside London","Heterosexual / straight","50","45","38910","31720"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Yorkshire and Northern Lincolnshire","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","Outside London","Heterosexual / straight","135","125","40910","35630"
"In post","2021","Attorney General's Departments","Essex","Outside London","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Essex","Outside London","Unknown","40","35","42490","31690"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Heterosexual / straight","130","120","41030","38180"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Unknown","50","45","49070","53850"
"In post","2021","Attorney General's Departments","Greater Manchester","Outside London","Heterosexual / straight","285","265","40710","38000"
"In post","2021","Attorney General's Departments","Greater Manchester","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Greater Manchester","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Greater Manchester","Outside London","Unknown","55","45","41980","34480"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Outside London","Heterosexual / straight","195","180","42150","39750"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Outside London","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Hampshire and Isle of Wight","Outside London","Unknown","55","50","45570","50520"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Outside London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Herefordshire, Worcestershire and Warwickshire","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - East","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Inner London - West","London","Heterosexual / straight","3000","2840","49600","51250"
"In post","2021","Attorney General's Departments","Inner London - West","London","LGBO","255","245","50230","51250"
"In post","2021","Attorney General's Departments","Inner London - West","London","Undeclared","240","230","52270","52040"
"In post","2021","Attorney General's Departments","Inner London - West","London","Unknown","1010","930","52830","55490"
"In post","2021","Attorney General's Departments","Kent","Outside London","Heterosexual / straight","80","80","37640","30110"
"In post","2021","Attorney General's Departments","Kent","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kent","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Kent","Outside London","Unknown","40","35","43370","35020"
