"Status","Year","Disability","Region_ITL1","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","East Midlands (England)","AA/AO","Heterosexual / straight","715","640","21530","21010"
"In post","2021","Declared disabled","East Midlands (England)","AA/AO","LGBO","60","55","22890","21010"
"In post","2021","Declared disabled","East Midlands (England)","AA/AO","Undeclared","110","95","21290","21010"
"In post","2021","Declared disabled","East Midlands (England)","AA/AO","Unknown","75","65","21370","21010"
"In post","2021","Declared disabled","East Midlands (England)","EO","Heterosexual / straight","650","590","26960","27570"
"In post","2021","Declared disabled","East Midlands (England)","EO","LGBO","75","70","26590","27570"
"In post","2021","Declared disabled","East Midlands (England)","EO","Undeclared","110","100","27210","27570"
"In post","2021","Declared disabled","East Midlands (England)","EO","Unknown","60","55","27610","27570"
"In post","2021","Declared disabled","East Midlands (England)","G6/G7","Heterosexual / straight","95","85","57350","52600"
"In post","2021","Declared disabled","East Midlands (England)","G6/G7","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","G6/G7","Undeclared","15","10","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","SEO/HEO","Heterosexual / straight","365","350","35610","34290"
"In post","2021","Declared disabled","East Midlands (England)","SEO/HEO","LGBO","35","35","34340","31990"
"In post","2021","Declared disabled","East Midlands (England)","SEO/HEO","Undeclared","60","60","37180","35340"
"In post","2021","Declared disabled","East Midlands (England)","SEO/HEO","Unknown","30","30","34160","32280"
"In post","2021","Declared disabled","East Midlands (England)","Unknown","Heterosexual / straight","160","145","30070","28200"
"In post","2021","Declared disabled","East Midlands (England)","Unknown","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Unknown","Undeclared","25","25","[c]","[c]"
"In post","2021","Declared disabled","East Midlands (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","AA/AO","Heterosexual / straight","615","550","23100","21430"
"In post","2021","Declared disabled","East of England","AA/AO","LGBO","65","60","23500","21560"
"In post","2021","Declared disabled","East of England","AA/AO","Undeclared","80","70","23330","21440"
"In post","2021","Declared disabled","East of England","AA/AO","Unknown","65","55","22700","21440"
"In post","2021","Declared disabled","East of England","EO","Heterosexual / straight","725","660","28400","27570"
"In post","2021","Declared disabled","East of England","EO","LGBO","60","60","28450","27570"
"In post","2021","Declared disabled","East of England","EO","Undeclared","90","80","28600","27570"
"In post","2021","Declared disabled","East of England","EO","Unknown","70","65","28990","27790"
"In post","2021","Declared disabled","East of England","G6/G7","Heterosexual / straight","90","85","60310","59500"
"In post","2021","Declared disabled","East of England","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","G6/G7","Undeclared","15","10","[c]","[c]"
"In post","2021","Declared disabled","East of England","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","East of England","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","East of England","SEO/HEO","Heterosexual / straight","395","375","37090","35310"
"In post","2021","Declared disabled","East of England","SEO/HEO","LGBO","25","25","[c]","[c]"
"In post","2021","Declared disabled","East of England","SEO/HEO","Undeclared","65","60","37960","35560"
"In post","2021","Declared disabled","East of England","SEO/HEO","Unknown","30","25","[c]","[c]"
"In post","2021","Declared disabled","East of England","Unknown","Heterosexual / straight","150","135","28770","28200"
"In post","2021","Declared disabled","East of England","Unknown","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","East of England","Unknown","Undeclared","15","10","[c]","[c]"
"In post","2021","Declared disabled","East of England","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","AA/AO","Heterosexual / straight","1010","920","25090","24670"
"In post","2021","Declared disabled","London","AA/AO","LGBO","85","80","26460","25110"
"In post","2021","Declared disabled","London","AA/AO","Undeclared","155","140","24570","25080"
"In post","2021","Declared disabled","London","AA/AO","Unknown","125","110","25000","25110"
"In post","2021","Declared disabled","London","EO","Heterosexual / straight","1720","1605","30160","30510"
"In post","2021","Declared disabled","London","EO","LGBO","225","215","29930","30320"
"In post","2021","Declared disabled","London","EO","Undeclared","295","270","30080","30330"
"In post","2021","Declared disabled","London","EO","Unknown","200","185","30800","31060"
"In post","2021","Declared disabled","London","G6/G7","Heterosexual / straight","1425","1370","60540","59160"
"In post","2021","Declared disabled","London","G6/G7","LGBO","270","265","58910","57430"
"In post","2021","Declared disabled","London","G6/G7","Undeclared","210","205","60510","59160"
"In post","2021","Declared disabled","London","G6/G7","Unknown","115","105","61360","60780"
"In post","2021","Declared disabled","London","SCS level","Heterosexual / straight","210","205","91090","82430"
"In post","2021","Declared disabled","London","SCS level","LGBO","40","40","84900","77450"
"In post","2021","Declared disabled","London","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","London","SCS level","Unknown","15","10","[c]","[c]"
"In post","2021","Declared disabled","London","SEO/HEO","Heterosexual / straight","2030","1965","38820","37910"
"In post","2021","Declared disabled","London","SEO/HEO","LGBO","330","325","37580","36650"
"In post","2021","Declared disabled","London","SEO/HEO","Undeclared","280","275","38600","37920"
"In post","2021","Declared disabled","London","SEO/HEO","Unknown","155","150","38450","38890"
"In post","2021","Declared disabled","London","Unknown","Heterosexual / straight","240","230","34000","34100"
"In post","2021","Declared disabled","London","Unknown","LGBO","30","25","[c]","[c]"
"In post","2021","Declared disabled","London","Unknown","Undeclared","30","25","[c]","[c]"
"In post","2021","Declared disabled","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","AA/AO","Heterosexual / straight","1145","965","21200","21010"
"In post","2021","Declared disabled","North East (England)","AA/AO","LGBO","80","75","20770","21010"
"In post","2021","Declared disabled","North East (England)","AA/AO","Undeclared","145","125","21320","21010"
"In post","2021","Declared disabled","North East (England)","AA/AO","Unknown","185","150","21360","21010"
"In post","2021","Declared disabled","North East (England)","EO","Heterosexual / straight","785","690","27130","27570"
"In post","2021","Declared disabled","North East (England)","EO","LGBO","55","55","26690","27570"
"In post","2021","Declared disabled","North East (England)","EO","Undeclared","65","60","27100","27570"
"In post","2021","Declared disabled","North East (England)","EO","Unknown","95","75","27130","27570"
"In post","2021","Declared disabled","North East (England)","G6/G7","Heterosexual / straight","105","105","53970","52580"
"In post","2021","Declared disabled","North East (England)","G6/G7","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","SEO/HEO","Heterosexual / straight","460","430","34380","32540"
"In post","2021","Declared disabled","North East (England)","SEO/HEO","LGBO","35","35","33520","31990"
"In post","2021","Declared disabled","North East (England)","SEO/HEO","Undeclared","45","40","34940","33910"
"In post","2021","Declared disabled","North East (England)","SEO/HEO","Unknown","35","30","34130","32050"
"In post","2021","Declared disabled","North East (England)","Unknown","Heterosexual / straight","120","115","29440","28200"
"In post","2021","Declared disabled","North East (England)","Unknown","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Unknown","Undeclared","15","10","[c]","[c]"
"In post","2021","Declared disabled","North East (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
