"Status","Year","Disability","Ethnicity","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","East Midlands (England)","AA","10","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Midlands (England)","AO","90","75","20850","21010"
"In post","2021","Declared disabled","Asian","East Midlands (England)","EO","50","45","26860","27570"
"In post","2021","Declared disabled","Asian","East Midlands (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Midlands (England)","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Midlands (England)","HEO","30","30","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Midlands (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Midlands (England)","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","East Midlands (England)","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","East of England","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East of England","AO","40","30","22940","21890"
"In post","2021","Declared disabled","Asian","East of England","EO","50","45","28440","28240"
"In post","2021","Declared disabled","Asian","East of England","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East of England","G7","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","East of England","HEO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","East of England","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","East of England","SEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","East of England","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","London","AA","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","London","AO","215","190","25130","25110"
"In post","2021","Declared disabled","Asian","London","EO","475","435","30200","31060"
"In post","2021","Declared disabled","Asian","London","G6","35","35","67680","66930"
"In post","2021","Declared disabled","Asian","London","G7","120","115","57180","56140"
"In post","2021","Declared disabled","Asian","London","HEO","230","220","35860","35700"
"In post","2021","Declared disabled","Asian","London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","London","SEO","140","135","42620","41970"
"In post","2021","Declared disabled","Asian","London","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","North East (England)","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North East (England)","AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","North East (England)","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","North East (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North East (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North East (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North East (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North West (England)","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Asian","North West (England)","AO","100","85","20880","21010"
"In post","2021","Declared disabled","Asian","North West (England)","EO","95","85","26750","27570"
"In post","2021","Declared disabled","Asian","North West (England)","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North West (England)","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","North West (England)","HEO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","North West (England)","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","North West (England)","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","North West (England)","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","HEO","[c]","[c]","[c]","[c]"
