"Status","Year","Function_of_post","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","EO","10","10","27880","27850"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","G6/G7","10","10","60780","58650"
"In post","2021","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","SEO/HEO","35","30","39400","40290"
"In post","2021","Analysis","Bedford","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Outside London","G6/G7","10","10","55890","51970"
"In post","2021","Analysis","Berkshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Berkshire","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Birmingham","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Birmingham","Outside London","G6/G7","10","5","[c]","[c]"
"In post","2021","Analysis","Birmingham","Outside London","SEO/HEO","25","25","41200","39100"
"In post","2021","Analysis","Bradford","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Outside London","EO","25","25","26090","25880"
"In post","2021","Analysis","Bristol, City of","Outside London","G6/G7","30","30","59220","59810"
"In post","2021","Analysis","Bristol, City of","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Bristol, City of","Outside London","SEO/HEO","95","90","35970","33250"
"In post","2021","Analysis","Buckinghamshire CC","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Buckinghamshire CC","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cambridgeshire CC","Outside London","EO","[c]","[c]","[c]","[c]"
