"Status","Year","Age","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","London","Female","85","85","25170","24490"
"In post","2021","16-19","London","Male","70","65","25200","25170"
"In post","2021","16-19","Outside London","Female","580","560","21110","20950"
"In post","2021","16-19","Outside London","Male","550","535","20470","20140"
"In post","2021","16-19","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Male","35","35","19210","16470"
"In post","2021","20-29","London","Female","13020","12920","35320","32790"
"In post","2021","20-29","London","Male","9975","9935","36490","33570"
"In post","2021","20-29","London","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Outside London","Female","28465","27700","25890","25000"
"In post","2021","20-29","Outside London","Male","24735","24510","26280","25560"
"In post","2021","20-29","Outside London","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","Overseas","Female","160","160","37200","34220"
"In post","2021","20-29","Overseas","Male","150","150","37520","34500"
"In post","2021","20-29","Unknown","Female","345","345","30300","29250"
"In post","2021","20-29","Unknown","Male","545","545","29630","28980"
"In post","2021","30-39","London","Female","13130","12465","45120","41760"
"In post","2021","30-39","London","Male","11180","11095","46390","42470"
"In post","2021","30-39","London","Unknown","10","10","[c]","[c]"
"In post","2021","30-39","Outside London","Female","41700","37485","30010","27570"
"In post","2021","30-39","Outside London","Male","35535","35170","31240","27680"
"In post","2021","30-39","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","30-39","Overseas","Female","450","450","47480","51500"
"In post","2021","30-39","Overseas","Male","615","610","46880","50580"
"In post","2021","30-39","Unknown","Female","230","215","35420","30940"
"In post","2021","30-39","Unknown","Male","550","550","37140","32700"
"In post","2021","40-49","London","Female","12280","11250","47140","41950"
"In post","2021","40-49","London","Male","10020","9925","49860","44510"
"In post","2021","40-49","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Outside London","Female","49690","44190","31900","27570"
"In post","2021","40-49","Outside London","Male","38400","37835","34430","31040"
"In post","2021","40-49","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Overseas","Female","500","495","51950","54390"
"In post","2021","40-49","Overseas","Male","675","675","52300","53760"
"In post","2021","40-49","Unknown","Female","230","215","34550","30780"
"In post","2021","40-49","Unknown","Male","495","495","39250","34160"
"In post","2021","50-59","London","Female","12745","12050","42170","35390"
"In post","2021","50-59","London","Male","11475","11295","47550","40960"
