"Status","Year","Age","Region_ITL1","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","Derby","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Leicester","AA/AO","10","10","19810","20140"
"In post","2021","16-19","East Midlands (England)","Leicestershire CC and Rutland","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","North Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","North Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Nottingham","AA/AO","20","20","20960","20880"
"In post","2021","16-19","East Midlands (England)","Nottingham","EO","5","5","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","South and West Derbyshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","South Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","West Northamptonshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Bedford","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Breckland and South Norfolk","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Cambridgeshire CC","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","East of England","Central Bedfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Essex Haven Gateway","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Essex Thames Gateway","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Heart of Essex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Hertfordshire","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","East of England","Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Norwich and East Norfolk","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Norwich and East Norfolk","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Peterborough","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","East of England","Peterborough","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Southend-on-Sea","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Suffolk","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","East of England","Suffolk","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Thurrock","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","London","Barking & Dagenham and Havering","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Barnet","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Bexley and Greenwich","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Bexley and Greenwich","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Brent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Brent","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Camden and City of London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Croydon","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","London","Croydon","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Ealing","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Enfield","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Hackney and Newham","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Haringey and Islington","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Haringey and Islington","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Harrow and Hillingdon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Hounslow and Richmond upon Thames","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","London","Kensington & Chelsea and Hammersmith & Fulham","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Lambeth","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","London","Lambeth","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Lewisham and Southwark","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Redbridge and Waltham Forest","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Tower Hamlets","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","London","Tower Hamlets","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Westminster","AA/AO","25","25","23730","23500"
"In post","2021","16-19","London","Westminster","EO","65","65","25790","25170"
"In post","2021","16-19","London","Westminster","SEO/HEO","5","5","[c]","[c]"
"In post","2021","16-19","North East (England)","Durham CC","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","North East (England)","Durham CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","South Teesside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Sunderland","AA/AO","15","15","20190","20140"
"In post","2021","16-19","North East (England)","Tyneside","AA/AO","55","55","20570","20140"
"In post","2021","16-19","North East (England)","Tyneside","EO","10","10","[c]","[c]"
"In post","2021","16-19","North West (England)","Blackburn with Darwen","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Blackpool","AA/AO","15","15","21010","21010"
"In post","2021","16-19","North West (England)","Cheshire East","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Cheshire East","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Cheshire West and Chester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Chorley and West Lancashire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","East Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Greater Manchester North West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Greater Manchester South East","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","North West (England)","Greater Manchester South West","AA/AO","10","10","20120","20140"
"In post","2021","16-19","North West (England)","Greater Manchester South West","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Lancaster and Wyre","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Liverpool","AA/AO","20","15","20470","20140"
"In post","2021","16-19","North West (England)","Liverpool","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Manchester","AA/AO","10","10","20250","20740"
"In post","2021","16-19","North West (England)","Manchester","EO","10","10","25060","25000"
"In post","2021","16-19","North West (England)","Mid Lancashire","AA/AO","15","10","20260","20140"
"In post","2021","16-19","North West (England)","Mid Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Sefton","AA/AO","25","25","20330","20140"
"In post","2021","16-19","North West (England)","West Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Wirral","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Belfast","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Aberdeen City and Aberdeenshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Angus and Dundee City","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","City of Edinburgh","AA/AO","75","75","20940","20850"
"In post","2021","16-19","Scotland","City of Edinburgh","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Clackmannanshire and Fife","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Dumfries and Galloway","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","East Ayrshire and North Ayrshire mainland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","East Ayrshire and North Ayrshire mainland","EO","10","10","17080","16780"
"In post","2021","16-19","Scotland","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Falkirk","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Scotland","Glasgow City","AA/AO","30","30","20780","21010"
"In post","2021","16-19","Scotland","Glasgow City","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Inverclyde, East Renfrewshire and Renfrewshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Inverness and Nairn and Moray, Badenoch and Strathspey","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Na h-Eileanan Siar","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","North Lanarkshire","AA/AO","15","10","20180","20140"
"In post","2021","16-19","Scotland","Orkney Islands","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Perth and Kinross and Stirling","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Scottish Borders","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","South Lanarkshire","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Scotland","West Lothian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Berkshire","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","South East (England)","Berkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Berkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Brighton and Hove","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Buckinghamshire CC","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","South East (England)","Central Hampshire","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","South East (England)","East Kent","AA/AO","30","30","21530","21430"
"In post","2021","16-19","South East (England)","East Surrey","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","East Sussex CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","East Sussex CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Kent Thames Gateway","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","South East (England)","Medway","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Mid Kent","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Milton Keynes","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","South East (England)","Milton Keynes","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Milton Keynes","Unknown","15","15","20920","21600"
"In post","2021","16-19","South East (England)","North Hampshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Oxfordshire","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","South East (England)","Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Portsmouth","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","South East (England)","South Hampshire","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","South East (England)","South Hampshire","EO","5","5","[c]","[c]"
"In post","2021","16-19","South East (England)","Southampton","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Southampton","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","West Surrey","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","West Surrey","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","West Sussex (South West)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","West Sussex (South West)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","West Sussex (South West)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","95","95","18130","17780"
"In post","2021","16-19","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","South West (England)","Bristol, City of","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","South West (England)","Bristol, City of","EO","5","5","[c]","[c]"
"In post","2021","16-19","South West (England)","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Devon CC","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","South West (England)","Devon CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Gloucestershire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Plymouth","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","South West (England)","Plymouth","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Plymouth","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","South West (England)","Somerset","AA/AO","[c]","[c]","[c]","[c]"
