"Status","Year","Disability","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","London","Heterosexual / straight","6635","6305","40630","35070"
"In post","2021","Declared disabled","London","LGBO","975","950","42440","36650"
"In post","2021","Declared disabled","London","Undeclared","985","935","39220","33950"
"In post","2021","Declared disabled","London","Unknown","610","560","38460","31970"
"In post","2021","Declared disabled","Outside London","Heterosexual / straight","30390","27585","29600","27570"
"In post","2021","Declared disabled","Outside London","LGBO","3000","2860","29420","27570"
"In post","2021","Declared disabled","Outside London","Undeclared","4290","3825","29260","27570"
"In post","2021","Declared disabled","Outside London","Unknown","3255","2825","28280","27570"
"In post","2021","Declared disabled","Overseas","Heterosexual / straight","160","160","48570","45490"
"In post","2021","Declared disabled","Overseas","LGBO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Undeclared","30","30","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Heterosexual / straight","145","135","30980","27570"
"In post","2021","Declared disabled","Unknown","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Undeclared","20","15","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","15","10","[c]","[c]"
"In post","2021","Declared non-disabled","London","Heterosexual / straight","53280","51235","43940","37900"
"In post","2021","Declared non-disabled","London","LGBO","3540","3475","45780","40600"
"In post","2021","Declared non-disabled","London","Undeclared","5135","4880","42780","36800"
"In post","2021","Declared non-disabled","London","Unknown","5330","4925","41500","34770"
"In post","2021","Declared non-disabled","Outside London","Heterosexual / straight","192585","179295","31500","27570"
"In post","2021","Declared non-disabled","Outside London","LGBO","8915","8640","30470","27570"
"In post","2021","Declared non-disabled","Outside London","Undeclared","17785","16135","30850","27570"
"In post","2021","Declared non-disabled","Outside London","Unknown","30745","26975","30030","27570"
"In post","2021","Declared non-disabled","Overseas","Heterosexual / straight","2100","2090","49620","49810"
"In post","2021","Declared non-disabled","Overseas","LGBO","125","125","52300","52630"
"In post","2021","Declared non-disabled","Overseas","Undeclared","225","225","47310","40580"
"In post","2021","Declared non-disabled","Overseas","Unknown","115","115","47060","43630"
"In post","2021","Declared non-disabled","Unknown","Heterosexual / straight","780","740","33340","27570"
"In post","2021","Declared non-disabled","Unknown","LGBO","45","45","31150","27570"
"In post","2021","Declared non-disabled","Unknown","Undeclared","70","65","31810","27570"
"In post","2021","Declared non-disabled","Unknown","Unknown","120","105","31830","27570"
"In post","2021","Undeclared","London","Heterosexual / straight","2285","2200","41190","35770"
"In post","2021","Undeclared","London","LGBO","245","240","42910","36160"
"In post","2021","Undeclared","London","Undeclared","2270","2180","44020","38860"
"In post","2021","Undeclared","London","Unknown","1295","1235","40630","35870"
"In post","2021","Undeclared","Outside London","Heterosexual / straight","9550","8885","30240","27570"
"In post","2021","Undeclared","Outside London","LGBO","770","750","29960","27570"
"In post","2021","Undeclared","Outside London","Undeclared","8510","7965","32430","29650"
"In post","2021","Undeclared","Outside London","Unknown","3595","3220","30660","31650"
"In post","2021","Undeclared","Overseas","Heterosexual / straight","50","50","45740","40000"
"In post","2021","Undeclared","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Overseas","Undeclared","105","105","47430","41960"
"In post","2021","Undeclared","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Unknown","Undeclared","25","25","[c]","[c]"
"In post","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","London","Heterosexual / straight","4110","4005","43970","40000"
"In post","2021","Unknown","London","LGBO","345","345","43440","39920"
"In post","2021","Unknown","London","Undeclared","640","620","45740","41760"
"In post","2021","Unknown","London","Unknown","14250","13915","43480","36240"
"In post","2021","Unknown","Outside London","Heterosexual / straight","14655","13825","33720","30990"
"In post","2021","Unknown","Outside London","LGBO","800","785","31480","28840"
"In post","2021","Unknown","Outside London","Undeclared","3560","3285","31570","29350"
"In post","2021","Unknown","Outside London","Unknown","43055","40595","29490","25560"
"In post","2021","Unknown","Overseas","Heterosexual / straight","185","185","55300","54540"
"In post","2021","Unknown","Overseas","LGBO","15","15","[c]","[c]"
"In post","2021","Unknown","Overseas","Undeclared","15","15","[c]","[c]"
"In post","2021","Unknown","Overseas","Unknown","580","580","51670","51500"
"In post","2021","Unknown","Unknown","Heterosexual / straight","50","50","42680","42080"
"In post","2021","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Unknown","Undeclared","5","5","[c]","[c]"
"In post","2021","Unknown","Unknown","Unknown","2410","2400","37080","32700"
"Leaver CS","2021","Declared disabled","London","Heterosexual / straight","250","[c]","38320","31880"
"Leaver CS","2021","Declared disabled","London","LGBO","40","[c]","39860","34080"
"Leaver CS","2021","Declared disabled","London","Undeclared","45","[c]","41520","30460"
"Leaver CS","2021","Declared disabled","London","Unknown","115","[c]","37640","32120"
"Leaver CS","2021","Declared disabled","Outside London","Heterosexual / straight","1400","[c]","27980","25970"
"Leaver CS","2021","Declared disabled","Outside London","LGBO","145","[c]","27370","24500"
"Leaver CS","2021","Declared disabled","Outside London","Undeclared","240","[c]","27670","26500"
"Leaver CS","2021","Declared disabled","Outside London","Unknown","715","[c]","26900","26450"
"Leaver CS","2021","Declared disabled","Overseas","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Overseas","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Heterosexual / straight","5","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","London","Heterosexual / straight","1965","[c]","42380","34710"
"Leaver CS","2021","Declared non-disabled","London","LGBO","145","[c]","44960","36800"
"Leaver CS","2021","Declared non-disabled","London","Undeclared","240","[c]","45520","39960"
"Leaver CS","2021","Declared non-disabled","London","Unknown","605","[c]","43580","31880"
"Leaver CS","2021","Declared non-disabled","Outside London","Heterosexual / straight","7415","[c]","30370","26380"
"Leaver CS","2021","Declared non-disabled","Outside London","LGBO","350","[c]","27290","23560"
"Leaver CS","2021","Declared non-disabled","Outside London","Undeclared","810","[c]","30490","26700"
"Leaver CS","2021","Declared non-disabled","Outside London","Unknown","3885","[c]","29230","26890"
"Leaver CS","2021","Declared non-disabled","Overseas","Heterosexual / straight","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Overseas","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Overseas","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Heterosexual / straight","45","[c]","42650","33880"
"Leaver CS","2021","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Heterosexual / straight","80","[c]","41230","35430"
"Leaver CS","2021","Undeclared","London","LGBO","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Undeclared","80","[c]","42830","38410"
"Leaver CS","2021","Undeclared","London","Unknown","135","[c]","40230","34510"
"Leaver CS","2021","Undeclared","Outside London","Heterosexual / straight","450","[c]","29680","26720"
"Leaver CS","2021","Undeclared","Outside London","LGBO","20","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Outside London","Undeclared","350","[c]","31450","27570"
"Leaver CS","2021","Undeclared","Outside London","Unknown","605","[c]","32980","31280"
"Leaver CS","2021","Undeclared","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Overseas","LGBO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
