"Status","Year","Function_of_post","Parent_department","Region_ITL1","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North East (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","North West (England)","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Yorkshire and The Humber","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Yorkshire and The Humber","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Yorkshire and The Humber","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Yorkshire and The Humber","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Yorkshire and The Humber","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","G7","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","AO","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","EO","10","10","28660","28230"
"In post","2021","Analysis","Chancellor's other departments","London","G6","85","75","92120","89720"
"In post","2021","Analysis","Chancellor's other departments","London","G7","15","15","58210","57250"
"In post","2021","Analysis","Chancellor's other departments","London","HEO","30","30","35840","36120"
"In post","2021","Analysis","Chancellor's other departments","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","London","SEO","25","25","47770","48610"
"In post","2021","Analysis","Chancellor's other departments","Scotland","G6","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","North West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","North West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","South West (England)","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","South West (England)","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","G6","30","30","77070","76440"
