"Status","Year","Parent_department","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","35","30","52750","50600"
"In post","2021","Attorney General's Departments","Berkshire","135","125","43310","40000"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","15","10","32030","24590"
"In post","2021","Attorney General's Departments","Birmingham","485","455","39820","38000"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","110","100","42660","36240"
"In post","2021","Attorney General's Departments","Bristol, City of","155","145","41650","38180"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","215","200","41090","38760"
"In post","2021","Attorney General's Departments","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","25","25","36240","28430"
"In post","2021","Attorney General's Departments","Croydon","90","80","39280","31670"
"In post","2021","Attorney General's Departments","Derby","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","100","95","39950","36240"
"In post","2021","Attorney General's Departments","East Cumbria","30","25","35030","28430"
"In post","2021","Attorney General's Departments","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Kent","125","115","39460","30110"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","75","65","41500","38000"
"In post","2021","Attorney General's Departments","Haringey and Islington","10","10","40050","24590"
"In post","2021","Attorney General's Departments","Harrow and Hillingdon","15","15","37100","28580"
"In post","2021","Attorney General's Departments","Heart of Essex","185","170","41150","35020"
"In post","2021","Attorney General's Departments","Hertfordshire","175","155","42490","40000"
"In post","2021","Attorney General's Departments","Hounslow and Richmond upon Thames","10","10","32250","24590"
"In post","2021","Attorney General's Departments","Kingston upon Hull, City of","75","65","38580","28430"
"In post","2021","Attorney General's Departments","Leeds","380","350","41940","38760"
"In post","2021","Attorney General's Departments","Leicester","140","130","39010","38180"
"In post","2021","Attorney General's Departments","Lewisham and Southwark","15","15","30600","24590"
"In post","2021","Attorney General's Departments","Lincolnshire","10","10","41360","41280"
"In post","2021","Attorney General's Departments","Liverpool","365","345","37570","30930"
"In post","2021","Attorney General's Departments","Manchester","365","335","41260","38000"
"In post","2021","Attorney General's Departments","Merton, Kingston upon Thames and Sutton","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Mid Lancashire","175","165","40040","38000"
"In post","2021","Attorney General's Departments","Northumberland","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Norwich and East Norfolk","75","65","35640","28430"
