"Status","Year","Parent_department","Profession_of_post","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","Derbyshire and Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Inner London - West","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Inner London - West","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Inner London - West","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","North Yorkshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","North Yorkshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","North Yorkshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","North Yorkshire","SEO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Northumberland and Tyne and Wear","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Shropshire and Staffordshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Bedfordshire and Hertfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Berkshire, Buckinghamshire and Oxfordshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Derbyshire and Nottinghamshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","East Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Essex","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Hampshire and Isle of Wight","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Inner London - West","EO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Inner London - West","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Inner London - West","G7","10","10","53730","54760"
"In post","2021","Attorney General's Departments","Communications","Inner London - West","HEO","10","10","32050","31560"
"In post","2021","Attorney General's Departments","Communications","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Inner London - West","SEO","20","20","39580","39750"
"In post","2021","Attorney General's Departments","Communications","Kent","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Lancashire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Leicestershire, Rutland and Northamptonshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Merseyside","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","North Yorkshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","North Yorkshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Northumberland and Tyne and Wear","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","West Midlands","SEO","[c]","[c]","[c]","[c]"
