"Status","Year","Region_london","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","London","SCS level","Female","LGBO","80","80","85120","76400"
"In post","2021","London","SCS level","Female","Undeclared","125","115","86350","80570"
"In post","2021","London","SCS level","Female","Unknown","500","470","92030","81930"
"In post","2021","London","SCS level","Male","Heterosexual / straight","1565","1535","93120","83940"
"In post","2021","London","SCS level","Male","LGBO","170","165","89250","80420"
"In post","2021","London","SCS level","Male","Undeclared","185","180","90300","82370"
"In post","2021","London","SCS level","Male","Unknown","515","510","96070","85900"
"In post","2021","London","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","London","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","London","SCS level","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","SEO","Female","Heterosexual / straight","4960","4765","42590","41970"
"In post","2021","London","SEO","Female","LGBO","300","295","42250","41070"
"In post","2021","London","SEO","Female","Undeclared","610","585","42930","42100"
"In post","2021","London","SEO","Female","Unknown","1315","1270","42110","41620"
"In post","2021","London","SEO","Male","Heterosexual / straight","4205","4150","43490","42410"
"In post","2021","London","SEO","Male","LGBO","430","425","42370","41850"
"In post","2021","London","SEO","Male","Undeclared","690","675","43660","42890"
"In post","2021","London","SEO","Male","Unknown","1285","1270","42700","41760"
"In post","2021","London","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","London","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","London","SEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","London","SEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Female","Heterosexual / straight","960","920","33570","32970"
"In post","2021","London","Unknown","Female","LGBO","45","45","32110","27730"
"In post","2021","London","Unknown","Female","Undeclared","85","80","37600","35310"
"In post","2021","London","Unknown","Female","Unknown","105","95","31070","26810"
"In post","2021","London","Unknown","Male","Heterosexual / straight","325","320","34770","33950"
"In post","2021","London","Unknown","Male","LGBO","35","35","35680","36580"
"In post","2021","London","Unknown","Male","Undeclared","45","45","35210","34100"
"In post","2021","London","Unknown","Male","Unknown","45","45","31330","27730"
"In post","2021","London","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","London","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","AA","Female","Heterosexual / straight","5000","4315","19440","19560"
"In post","2021","Outside London","AA","Female","LGBO","355","340","20130","20600"
"In post","2021","Outside London","AA","Female","Undeclared","970","760","19070","18720"
"In post","2021","Outside London","AA","Female","Unknown","2055","1725","20080","20070"
"In post","2021","Outside London","AA","Male","Heterosexual / straight","5780","5520","19790","19560"
"In post","2021","Outside London","AA","Male","LGBO","225","215","19610","19850"
"In post","2021","Outside London","AA","Male","Undeclared","860","795","19670","19560"
"In post","2021","Outside London","AA","Male","Unknown","2070","1940","20320","20600"
"In post","2021","Outside London","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","AO","Female","Heterosexual / straight","39165","33540","21640","21010"
"In post","2021","Outside London","AO","Female","LGBO","2085","1980","23180","21430"
"In post","2021","Outside London","AO","Female","Undeclared","5805","4870","21790","21130"
"In post","2021","Outside London","AO","Female","Unknown","16535","13805","21560","21010"
"In post","2021","Outside London","AO","Male","Heterosexual / straight","28050","26925","23840","21430"
"In post","2021","Outside London","AO","Male","LGBO","1825","1760","22410","21010"
"In post","2021","Outside London","AO","Male","Undeclared","3890","3690","24090","21440"
"In post","2021","Outside London","AO","Male","Unknown","12985","12330","23440","21100"
"In post","2021","Outside London","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","EO","Female","Heterosexual / straight","40850","36565","26980","27570"
"In post","2021","Outside London","EO","Female","LGBO","1950","1870","27160","27570"
"In post","2021","Outside London","EO","Female","Undeclared","5205","4575","27240","27570"
"In post","2021","Outside London","EO","Female","Unknown","12295","10750","27170","27570"
"In post","2021","Outside London","EO","Male","Heterosexual / straight","29575","28560","27570","27570"
"In post","2021","Outside London","EO","Male","LGBO","2090","2035","27170","27570"
"In post","2021","Outside London","EO","Male","Undeclared","4615","4365","27870","27570"
"In post","2021","Outside London","EO","Male","Unknown","10130","9695","27800","27570"
"In post","2021","Outside London","EO","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Outside London","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","G6","Female","Heterosexual / straight","2480","2375","67280","64920"
"In post","2021","Outside London","G6","Female","LGBO","95","95","67630","64670"
"In post","2021","Outside London","G6","Female","Undeclared","255","240","67730","65390"
"In post","2021","Outside London","G6","Female","Unknown","630","600","67250","64670"
"In post","2021","Outside London","G6","Male","Heterosexual / straight","2945","2870","68260","66290"
"In post","2021","Outside London","G6","Male","LGBO","160","160","68040","65830"
"In post","2021","Outside London","G6","Male","Undeclared","400","385","69400","67410"
"In post","2021","Outside London","G6","Male","Unknown","870","840","68480","66180"
"In post","2021","Outside London","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","G7","Female","Heterosexual / straight","8605","8105","53800","52580"
"In post","2021","Outside London","G7","Female","LGBO","330","320","53450","52580"
"In post","2021","Outside London","G7","Female","Undeclared","885","835","54480","52630"
"In post","2021","Outside London","G7","Female","Unknown","2255","2090","53380","52580"
"In post","2021","Outside London","G7","Male","Heterosexual / straight","8905","8720","54560","52580"
"In post","2021","Outside London","G7","Male","LGBO","455","445","54220","52580"
"In post","2021","Outside London","G7","Male","Undeclared","1225","1195","54720","53430"
"In post","2021","Outside London","G7","Male","Unknown","2750","2675","53520","52580"
"In post","2021","Outside London","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","HEO","Female","Heterosexual / straight","20290","18915","32440","31990"
"In post","2021","Outside London","HEO","Female","LGBO","1055","1020","32300","31810"
"In post","2021","Outside London","HEO","Female","Undeclared","2410","2225","32850","32550"
"In post","2021","Outside London","HEO","Female","Unknown","4930","4605","32390","31810"
"In post","2021","Outside London","HEO","Male","Heterosexual / straight","17580","17090","33260","32380"
"In post","2021","Outside London","HEO","Male","LGBO","1025","1005","32160","31810"
"In post","2021","Outside London","HEO","Male","Undeclared","2740","2650","33770","33300"
"In post","2021","Outside London","HEO","Male","Unknown","5320","5160","33130","31990"
"In post","2021","Outside London","HEO","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Outside London","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","SCS level","Female","Heterosexual / straight","705","675","87940","83070"
"In post","2021","Outside London","SCS level","Female","LGBO","25","25","[c]","[c]"
"In post","2021","Outside London","SCS level","Female","Undeclared","75","70","90010","82140"
"In post","2021","Outside London","SCS level","Female","Unknown","220","215","89390","82140"
"In post","2021","Outside London","SCS level","Male","Heterosexual / straight","860","845","92600","84780"
"In post","2021","Outside London","SCS level","Male","LGBO","45","45","86320","81000"
"In post","2021","Outside London","SCS level","Male","Undeclared","70","65","94210","90420"
"In post","2021","Outside London","SCS level","Male","Unknown","280","275","89560","82780"
"In post","2021","Outside London","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","SEO","Female","Heterosexual / straight","13345","12545","40660","39330"
"In post","2021","Outside London","SEO","Female","LGBO","540","530","40840","39100"
"In post","2021","Outside London","SEO","Female","Undeclared","1670","1555","41260","40560"
"In post","2021","Outside London","SEO","Female","Unknown","2775","2590","40110","38640"
"In post","2021","Outside London","SEO","Male","Heterosexual / straight","12935","12630","41860","40580"
"In post","2021","Outside London","SEO","Male","LGBO","650","640","40080","38630"
"In post","2021","Outside London","SEO","Male","Undeclared","2020","1955","42480","40980"
"In post","2021","Outside London","SEO","Male","Unknown","3485","3370","41050","39650"
"In post","2021","Outside London","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","SEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","Unknown","Female","Heterosexual / straight","7160","6530","29950","30000"
"In post","2021","Outside London","Unknown","Female","LGBO","380","365","28700","26120"
"In post","2021","Outside London","Unknown","Female","Undeclared","630","570","31690","31420"
"In post","2021","Outside London","Unknown","Female","Unknown","695","610","27560","23840"
"In post","2021","Outside London","Unknown","Male","Heterosexual / straight","2930","2850","35520","33710"
"In post","2021","Outside London","Unknown","Male","LGBO","180","180","30020","28190"
"In post","2021","Outside London","Unknown","Male","Undeclared","420","410","38660","37170"
"In post","2021","Outside London","Unknown","Male","Unknown","355","335","30920","28200"
"In post","2021","Outside London","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Outside London","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AO","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Overseas","AO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AO","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Overseas","AO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","EO","Female","Heterosexual / straight","90","85","27850","26920"
"In post","2021","Overseas","EO","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Overseas","EO","Female","Undeclared","20","20","[c]","[c]"
"In post","2021","Overseas","EO","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Overseas","EO","Male","Heterosexual / straight","110","110","27870","27280"
"In post","2021","Overseas","EO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","EO","Male","Undeclared","20","20","[c]","[c]"
"In post","2021","Overseas","EO","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Overseas","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","G6","Female","Heterosexual / straight","130","130","65870","65070"
"In post","2021","Overseas","G6","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Overseas","G6","Female","Undeclared","15","15","[c]","[c]"
"In post","2021","Overseas","G6","Female","Unknown","35","35","66720","65500"
"In post","2021","Overseas","G6","Male","Heterosexual / straight","175","175","67210","65570"
"In post","2021","Overseas","G6","Male","LGBO","20","20","[c]","[c]"
"In post","2021","Overseas","G6","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Overseas","G6","Male","Unknown","50","50","66600","64840"
"In post","2021","Overseas","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","G7","Female","Heterosexual / straight","225","225","56320","55620"
"In post","2021","Overseas","G7","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Overseas","G7","Female","Undeclared","30","30","56830","54510"
"In post","2021","Overseas","G7","Female","Unknown","95","95","56180","55620"
"In post","2021","Overseas","G7","Male","Heterosexual / straight","325","325","56800","55620"
"In post","2021","Overseas","G7","Male","LGBO","40","40","55090","54470"
"In post","2021","Overseas","G7","Male","Undeclared","40","40","58690","56040"
"In post","2021","Overseas","G7","Male","Unknown","110","110","56030","55040"
"In post","2021","Overseas","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","HEO","Female","Heterosexual / straight","240","240","34360","33860"
"In post","2021","Overseas","HEO","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Overseas","HEO","Female","Undeclared","30","30","34550","34210"
"In post","2021","Overseas","HEO","Female","Unknown","165","165","41810","41600"
"In post","2021","Overseas","HEO","Male","Heterosexual / straight","415","415","35480","34220"
"In post","2021","Overseas","HEO","Male","LGBO","30","30","[c]","[c]"
"In post","2021","Overseas","HEO","Male","Undeclared","70","70","35120","34220"
"In post","2021","Overseas","HEO","Male","Unknown","105","105","40330","38690"
"In post","2021","Overseas","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","SCS level","Female","Heterosexual / straight","85","85","85030","75630"
"In post","2021","Overseas","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","SCS level","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Overseas","SCS level","Female","Unknown","20","20","[c]","[c]"
"In post","2021","Overseas","SCS level","Male","Heterosexual / straight","125","125","86800","78410"
"In post","2021","Overseas","SCS level","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Overseas","SCS level","Male","Undeclared","20","20","[c]","[c]"
"In post","2021","Overseas","SCS level","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Overseas","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","SEO","Female","Heterosexual / straight","85","85","44570","41650"
"In post","2021","Overseas","SEO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","SEO","Female","Undeclared","20","20","[c]","[c]"
"In post","2021","Overseas","SEO","Female","Unknown","20","20","[c]","[c]"
"In post","2021","Overseas","SEO","Male","Heterosexual / straight","255","255","48990","42910"
"In post","2021","Overseas","SEO","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Overseas","SEO","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Overseas","SEO","Male","Unknown","50","50","49920","45650"
"In post","2021","Overseas","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","Female","Heterosexual / straight","75","75","[c]","[c]"
"In post","2021","Overseas","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","Female","Undeclared","15","15","[c]","[c]"
"In post","2021","Overseas","Unknown","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Overseas","Unknown","Male","Heterosexual / straight","115","115","[c]","[c]"
"In post","2021","Overseas","Unknown","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Overseas","Unknown","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Overseas","Unknown","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Overseas","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Overseas","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Unknown","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AO","Female","Heterosexual / straight","95","85","22480","21010"
"In post","2021","Unknown","AO","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Unknown","AO","Female","Undeclared","15","10","[c]","[c]"
"In post","2021","Unknown","AO","Female","Unknown","35","30","22470","21580"
"In post","2021","Unknown","AO","Male","Heterosexual / straight","50","45","22020","21010"
"In post","2021","Unknown","AO","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Unknown","AO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AO","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Unknown","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Female","Heterosexual / straight","250","235","28130","27570"
"In post","2021","Unknown","EO","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Unknown","EO","Female","Undeclared","30","30","28180","27570"
"In post","2021","Unknown","EO","Female","Unknown","65","60","27910","27570"
"In post","2021","Unknown","EO","Male","Heterosexual / straight","140","135","27810","27570"
"In post","2021","Unknown","EO","Male","LGBO","20","15","[c]","[c]"
"In post","2021","Unknown","EO","Male","Undeclared","20","20","[c]","[c]"
"In post","2021","Unknown","EO","Male","Unknown","55","55","28150","27570"
"In post","2021","Unknown","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Unknown","G6","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6","Female","Unknown","15","15","[c]","[c]"
"In post","2021","Unknown","G6","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Unknown","G6","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Unknown","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G7","Female","Heterosexual / straight","55","50","52450","51580"
"In post","2021","Unknown","G7","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G7","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Unknown","G7","Female","Unknown","15","10","[c]","[c]"
"In post","2021","Unknown","G7","Male","Heterosexual / straight","35","35","55160","54700"
"In post","2021","Unknown","G7","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G7","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Unknown","G7","Male","Unknown","20","20","[c]","[c]"
"In post","2021","Unknown","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HEO","Female","Heterosexual / straight","90","85","33810","33250"
"In post","2021","Unknown","HEO","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Unknown","HEO","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Unknown","HEO","Female","Unknown","220","215","31130","31990"
"In post","2021","Unknown","HEO","Male","Heterosexual / straight","90","90","36160","33630"
"In post","2021","Unknown","HEO","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Unknown","HEO","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Unknown","HEO","Male","Unknown","185","185","31540","31990"
"In post","2021","Unknown","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS level","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS level","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Unknown","SCS level","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Unknown","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS level","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Unknown","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO","Female","Heterosexual / straight","50","50","39810","38350"
"In post","2021","Unknown","SEO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO","Female","Unknown","20","20","[c]","[c]"
"In post","2021","Unknown","SEO","Male","Heterosexual / straight","40","40","42660","41080"
"In post","2021","Unknown","SEO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","SEO","Male","Unknown","20","20","[c]","[c]"
"In post","2021","Unknown","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
