"Status","Year","Age","Disability","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Bedfordshire and Hertfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cheshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Derbyshire and Nottinghamshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Derbyshire and Nottinghamshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Devon","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Devon","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Anglia","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Wales","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Yorkshire and Northern Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Essex","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Greater Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Greater Manchester","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Hampshire and Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
