"Status","Year","Parent_department","Region_ITL1","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","Heterosexual / straight","190","180","36960","30130"
"In post","2021","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","Undeclared","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","70","65","39150","34480"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","115","100","40230","43420"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Undeclared","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","30","25","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Lincolnshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","Heterosexual / straight","130","120","41700","40000"
"In post","2021","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","Unknown","35","30","45530","45260"
"In post","2021","Attorney General's Departments","East of England","East Anglia","Heterosexual / straight","85","75","35280","28430"
"In post","2021","Attorney General's Departments","East of England","East Anglia","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","East Anglia","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","East Anglia","Unknown","30","25","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Essex","Heterosexual / straight","135","125","40910","35630"
"In post","2021","Attorney General's Departments","East of England","Essex","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Essex","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Essex","Unknown","40","35","42490","31690"
"In post","2021","Attorney General's Departments","London","Inner London - East","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Inner London - East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Inner London - West","Heterosexual / straight","3000","2840","49600","51250"
"In post","2021","Attorney General's Departments","London","Inner London - West","LGBO","255","245","50230","51250"
"In post","2021","Attorney General's Departments","London","Inner London - West","Undeclared","240","230","52270","52040"
"In post","2021","Attorney General's Departments","London","Inner London - West","Unknown","1010","930","52830","55490"
"In post","2021","Attorney General's Departments","London","Outer London - East and North East","Heterosexual / straight","20","15","[c]","[c]"
