"Status","Year","Age","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Work and Pensions","15","15","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Defence","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","Ministry of Justice","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Attorney General's Departments","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Education","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs","20","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Transport","25","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Department for Work and Pensions","170","165","22610","21010"
"In post","2021","16-19","Declared non-disabled","Department of Health and Social Care","20","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HM Revenue and Customs","80","75","20800","20140"
"In post","2021","16-19","Declared non-disabled","HM Treasury","20","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Home Office","35","30","22720","21430"
"In post","2021","16-19","Declared non-disabled","Ministry of Defence","125","125","19240","19040"
"In post","2021","16-19","Declared non-disabled","Ministry of Justice","75","75","22060","22110"
"In post","2021","16-19","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
