"Status","Year","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA/AO","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","AO","Heterosexual / straight","105","100","21840","21050"
"In post","2021","Analysis","AA/AO","AO","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","AA/AO","AO","Undeclared","20","20","[c]","[c]"
"In post","2021","Analysis","AA/AO","AO","Unknown","65","65","20880","21050"
"In post","2021","Analysis","EO","EO","Heterosexual / straight","420","400","26640","26410"
"In post","2021","Analysis","EO","EO","LGBO","55","55","26200","26050"
"In post","2021","Analysis","EO","EO","Undeclared","40","40","27280","26720"
"In post","2021","Analysis","EO","EO","Unknown","220","205","26050","25010"
"In post","2021","Analysis","G6/G7","G6","Heterosexual / straight","380","365","72510","68660"
"In post","2021","Analysis","G6/G7","G6","LGBO","30","30","[c]","[c]"
"In post","2021","Analysis","G6/G7","G6","Undeclared","40","35","76690","72590"
"In post","2021","Analysis","G6/G7","G6","Unknown","120","115","68590","66230"
"In post","2021","Analysis","G6/G7","G7","Heterosexual / straight","1240","1185","54230","53870"
"In post","2021","Analysis","G6/G7","G7","LGBO","85","85","55200","55530"
"In post","2021","Analysis","G6/G7","G7","Undeclared","135","130","55500","56030"
"In post","2021","Analysis","G6/G7","G7","Unknown","380","365","53660","53360"
"In post","2021","Analysis","SCS level","SCS level","Heterosexual / straight","115","110","86210","78490"
"In post","2021","Analysis","SCS level","SCS level","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","SCS level","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","SCS level","SCS level","Unknown","25","25","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","HEO","Heterosexual / straight","1355","1320","32970","32540"
"In post","2021","Analysis","SEO/HEO","HEO","LGBO","155","155","32640","32540"
"In post","2021","Analysis","SEO/HEO","HEO","Undeclared","145","140","33550","32650"
"In post","2021","Analysis","SEO/HEO","HEO","Unknown","500","485","32060","30310"
"In post","2021","Analysis","SEO/HEO","SEO","Heterosexual / straight","1030","985","40260","39530"
"In post","2021","Analysis","SEO/HEO","SEO","LGBO","85","85","40650","39390"
"In post","2021","Analysis","SEO/HEO","SEO","Undeclared","105","100","40720","40020"
"In post","2021","Analysis","SEO/HEO","SEO","Unknown","330","315","39380","37960"
"In post","2021","Analysis","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","AA/AO","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","AA","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","AA/AO","AA","Unknown","20","20","[c]","[c]"
"In post","2021","Commercial","AA/AO","AO","Heterosexual / straight","320","305","22050","21130"
"In post","2021","Commercial","AA/AO","AO","LGBO","15","15","[c]","[c]"
"In post","2021","Commercial","AA/AO","AO","Undeclared","55","50","22240","21590"
"In post","2021","Commercial","AA/AO","AO","Unknown","90","80","22520","21980"
"In post","2021","Commercial","EO","EO","Heterosexual / straight","625","595","26880","26670"
"In post","2021","Commercial","EO","EO","LGBO","35","35","26780","26670"
"In post","2021","Commercial","EO","EO","Undeclared","90","85","27400","26780"
"In post","2021","Commercial","EO","EO","Unknown","115","110","26060","26270"
"In post","2021","Commercial","G6/G7","G6","Heterosexual / straight","270","265","72150","70120"
