"Status","Year","Ethnicity","Parent_department","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","AO","90","80","23610","23520"
"In post","2021","Asian","Attorney General's Departments","London","EO","115","105","28440","27750"
"In post","2021","Asian","Attorney General's Departments","London","G6","70","65","67530","65680"
"In post","2021","Asian","Attorney General's Departments","London","G7","215","195","55430","51830"
"In post","2021","Asian","Attorney General's Departments","London","HEO","70","70","36040","33930"
"In post","2021","Asian","Attorney General's Departments","London","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","SEO","20","20","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Outside London","AO","80","70","21970","21950"
"In post","2021","Asian","Attorney General's Departments","Outside London","EO","55","55","27000","26600"
"In post","2021","Asian","Attorney General's Departments","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Outside London","G7","130","115","53240","51470"
"In post","2021","Asian","Attorney General's Departments","Outside London","HEO","35","35","36830","38000"
"In post","2021","Asian","Attorney General's Departments","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","London","AO","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","London","EO","70","70","28100","27500"
"In post","2021","Asian","Cabinet Office","London","G6","35","35","67740","66440"
"In post","2021","Asian","Cabinet Office","London","G7","130","130","56180","54700"
"In post","2021","Asian","Cabinet Office","London","HEO","95","95","35010","34550"
"In post","2021","Asian","Cabinet Office","London","SCS level","25","25","[c]","[c]"
"In post","2021","Asian","Cabinet Office","London","SEO","50","50","41430","40600"
"In post","2021","Asian","Cabinet Office","Outside London","AO","10","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Outside London","EO","5","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Outside London","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Outside London","SEO","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","HEO","10","10","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","SCS level","[c]","[c]","[c]","[c]"
