"Status","Year","Parent_department","Region_ITL1","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","Female","Heterosexual / straight","220","195","37360","30610"
"In post","2021","Attorney General's Departments","East Midlands (England)","Female","LGBO","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Female","Unknown","65","60","36520","28430"
"In post","2021","Attorney General's Departments","East Midlands (England)","Male","Heterosexual / straight","95","95","40480","48080"
"In post","2021","Attorney General's Departments","East Midlands (England)","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Male","Unknown","30","30","42490","42210"
"In post","2021","Attorney General's Departments","East Midlands (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Female","Heterosexual / straight","240","210","37330","30110"
"In post","2021","Attorney General's Departments","East of England","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Female","Undeclared","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Female","Unknown","75","60","40470","33260"
"In post","2021","Attorney General's Departments","East of England","Male","Heterosexual / straight","110","110","45400","50520"
"In post","2021","Attorney General's Departments","East of England","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Male","Unknown","30","30","50690","59930"
"In post","2021","Attorney General's Departments","East of England","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Female","Heterosexual / straight","2010","1865","48720","51250"
"In post","2021","Attorney General's Departments","London","Female","LGBO","105","100","48290","51120"
"In post","2021","Attorney General's Departments","London","Female","Undeclared","150","140","51080","51250"
"In post","2021","Attorney General's Departments","London","Female","Unknown","670","595","51680","52950"
"In post","2021","Attorney General's Departments","London","Male","Heterosexual / straight","1115","1095","49840","51250"
"In post","2021","Attorney General's Departments","London","Male","LGBO","155","155","50430","51250"
"In post","2021","Attorney General's Departments","London","Male","Undeclared","100","100","52240","52730"
"In post","2021","Attorney General's Departments","London","Male","Unknown","375","365","53520","57780"
"In post","2021","Attorney General's Departments","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Female","Heterosexual / straight","165","150","36790","30130"
"In post","2021","Attorney General's Departments","North East (England)","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Female","Unknown","55","45","35350","28430"
"In post","2021","Attorney General's Departments","North East (England)","Male","Heterosexual / straight","75","75","40970","42090"
"In post","2021","Attorney General's Departments","North East (England)","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Male","Unknown","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North East (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Female","Heterosexual / straight","495","455","37540","30820"
"In post","2021","Attorney General's Departments","North West (England)","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Female","Undeclared","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Female","Unknown","135","115","39880","31270"
"In post","2021","Attorney General's Departments","North West (England)","Male","Heterosexual / straight","220","215","42240","38730"
"In post","2021","Attorney General's Departments","North West (England)","Male","LGBO","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Male","Unknown","70","65","45110","51720"
"In post","2021","Attorney General's Departments","North West (England)","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","North West (England)","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Scotland","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Female","Heterosexual / straight","325","300","40090","33930"
"In post","2021","Attorney General's Departments","South East (England)","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","South East (England)","Female","Unknown","120","105","43990","40000"
"In post","2021","Attorney General's Departments","South East (England)","Male","Heterosexual / straight","150","145","45040","50520"
"In post","2021","Attorney General's Departments","South East (England)","Male","LGBO","10","10","[c]","[c]"
