"Status","Year","Function_of_post","Region_ITL1","Region_ITL3","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","East Derbyshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Leicester","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Leicestershire CC and Rutland","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Lincolnshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Lincolnshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","North Northamptonshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","North Nottinghamshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Nottingham","AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Nottingham","EO","10","10","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Nottingham","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Nottingham","HEO","10","10","32610","32590"
"In post","2021","Analysis","East Midlands (England)","Nottingham","SEO","15","15","42290","42580"
"In post","2021","Analysis","East Midlands (England)","South and West Derbyshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","South and West Derbyshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","South and West Derbyshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","South and West Derbyshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","South Nottinghamshire","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Bedford","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Cambridgeshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Cambridgeshire CC","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Cambridgeshire CC","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Norwich and East Norfolk","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Norwich and East Norfolk","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Norwich and East Norfolk","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Peterborough","G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Southend-on-Sea","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Southend-on-Sea","G6","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Southend-on-Sea","G7","5","5","[c]","[c]"
"In post","2021","Analysis","East of England","Southend-on-Sea","HEO","10","10","[c]","[c]"
"In post","2021","Analysis","East of England","Southend-on-Sea","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Southend-on-Sea","SEO","5","5","[c]","[c]"
"In post","2021","Analysis","East of England","Suffolk","AA","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Suffolk","AO","25","25","21210","21050"
"In post","2021","Analysis","East of England","Suffolk","EO","55","50","25050","24920"
"In post","2021","Analysis","East of England","Suffolk","G6","15","15","60770","57390"
"In post","2021","Analysis","East of England","Suffolk","G7","55","50","48700","48080"
"In post","2021","Analysis","East of England","Suffolk","HEO","110","105","29760","29270"
"In post","2021","Analysis","East of England","Suffolk","SEO","90","85","37160","36580"
"In post","2021","Analysis","London","Camden and City of London","AO","5","5","[c]","[c]"
"In post","2021","Analysis","London","Camden and City of London","EO","15","15","29940","28270"
"In post","2021","Analysis","London","Camden and City of London","G6","100","90","92250","89720"
"In post","2021","Analysis","London","Camden and City of London","G7","30","30","61460","59160"
"In post","2021","Analysis","London","Camden and City of London","HEO","40","40","36940","36160"
"In post","2021","Analysis","London","Camden and City of London","SCS level","5","5","[c]","[c]"
"In post","2021","Analysis","London","Camden and City of London","SEO","30","30","47130","47650"
"In post","2021","Analysis","London","Croydon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Croydon","G6","5","5","[c]","[c]"
"In post","2021","Analysis","London","Croydon","G7","5","5","[c]","[c]"
"In post","2021","Analysis","London","Croydon","HEO","10","10","35730","36160"
