"Status","Year","Profession_of_post","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Barnet","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Heterosexual / straight","895","860","39620","37400"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","LGBO","40","40","34570","32050"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Undeclared","135","125","42410","39580"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","95","90","38240","34800"
"In post","2021","Commercial","Bedford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Commercial","Berkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Heterosexual / straight","50","50","40340","38130"
"In post","2021","Commercial","Birmingham","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","Blackpool","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Heterosexual / straight","55","50","41270","39390"
"In post","2021","Commercial","Bristol, City of","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Unknown","20","20","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","Heterosexual / straight","45","45","36370","36800"
"In post","2021","Commercial","Buckinghamshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Buckinghamshire CC","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","Heterosexual / straight","40","40","35220","34610"
"In post","2021","Commercial","Cambridgeshire CC","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","Undeclared","15","15","[c]","[c]"
"In post","2021","Commercial","Cambridgeshire CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Camden and City of London","Heterosexual / straight","[c]","[c]","[c]","[c]"
