"Status","Year","Age","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Bedfordshire and Hertfordshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Bedfordshire and Hertfordshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","AO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Male","5","5","[c]","[c]"
"In post","2021","16-19","Cheshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cheshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cornwall and Isles of Scilly","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cumbria","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","AO","Female","20","20","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","AO","Male","5","5","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Derbyshire and Nottinghamshire","EO","Male","5","5","[c]","[c]"
"In post","2021","16-19","Devon","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","AA","Male","5","5","[c]","[c]"
"In post","2021","16-19","Devon","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Devon","Unknown","Male","5","5","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Dorset and Somerset","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","AO","Female","10","10","[c]","[c]"
"In post","2021","16-19","East Anglia","AO","Male","10","10","[c]","[c]"
"In post","2021","16-19","East Anglia","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Anglia","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","AA","Male","15","15","[c]","[c]"
"In post","2021","16-19","East Wales","AO","Female","20","20","[c]","[c]"
"In post","2021","16-19","East Wales","AO","Male","25","20","[c]","[c]"
"In post","2021","16-19","East Wales","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Wales","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","East Wales","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East Yorkshire and Northern Lincolnshire","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","AA","Female","20","20","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","AA","Male","20","20","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","AO","Female","30","30","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","AO","Male","20","20","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Eastern Scotland","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Essex","AO","Female","5","5","[c]","[c]"
"In post","2021","16-19","Essex","AO","Male","5","5","[c]","[c]"
