"Status","Year","Parent_department","Region_ITL1","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","AO","75","70","21320","21950"
"In post","2021","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","EO","60","55","26840","26220"
"In post","2021","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","G7","100","90","53720","54200"
"In post","2021","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","HEO","25","25","33050","32050"
"In post","2021","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Derbyshire and Nottinghamshire","SEO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AO","35","35","21450","21950"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","25","25","27560","28430"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G7","75","65","52630","51470"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","HEO","15","15","35960","36240"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Lincolnshire","AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Lincolnshire","G7","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East Midlands (England)","Lincolnshire","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","AO","35","30","23150","23520"
"In post","2021","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","EO","35","30","28870","29400"
"In post","2021","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","G7","75","65","58480","61200"
"In post","2021","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","HEO","20","20","37350","38120"
"In post","2021","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Bedfordshire and Hertfordshire","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","East Anglia","AO","40","35","21440","21950"
"In post","2021","Attorney General's Departments","East of England","East Anglia","EO","20","20","27630","28430"
"In post","2021","Attorney General's Departments","East of England","East Anglia","G6","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","East Anglia","G7","40","35","55230","55610"
"In post","2021","Attorney General's Departments","East of England","East Anglia","HEO","15","15","34310","34480"
"In post","2021","Attorney General's Departments","East of England","East Anglia","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Essex","AO","40","35","22800","23520"
"In post","2021","Attorney General's Departments","East of England","Essex","EO","50","45","28920","30110"
"In post","2021","Attorney General's Departments","East of England","Essex","G6","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","East of England","Essex","G7","65","55","57960","57290"
"In post","2021","Attorney General's Departments","East of England","Essex","HEO","25","25","37520","39540"
"In post","2021","Attorney General's Departments","East of England","Essex","SCS level","[c]","[c]","[c]","[c]"
