"Status","Year","Profession_of_post","Region_ITL1","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","AO","Female","15","10","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","EO","Female","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","EO","Male","10","10","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","G7","Female","15","15","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","G7","Male","15","15","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","HEO","Female","10","10","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","HEO","Male","5","5","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","SEO","Female","20","20","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","SEO","Male","25","25","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Midlands (England)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","AO","Female","5","5","[c]","[c]"
"In post","2021","Commercial","East of England","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","EO","Female","15","15","[c]","[c]"
"In post","2021","Commercial","East of England","EO","Male","10","10","[c]","[c]"
"In post","2021","Commercial","East of England","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","G6","Male","10","10","[c]","[c]"
"In post","2021","Commercial","East of England","G7","Female","15","15","[c]","[c]"
"In post","2021","Commercial","East of England","G7","Male","5","5","[c]","[c]"
"In post","2021","Commercial","East of England","HEO","Female","45","40","32080","32930"
"In post","2021","Commercial","East of England","HEO","Male","30","30","31260","30880"
"In post","2021","Commercial","East of England","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","SEO","Female","55","50","40510","40250"
"In post","2021","Commercial","East of England","SEO","Male","50","50","41630","40580"
"In post","2021","Commercial","East of England","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East of England","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","AO","Female","30","30","[c]","[c]"
"In post","2021","Commercial","London","AO","Male","20","20","[c]","[c]"
"In post","2021","Commercial","London","EO","Female","65","60","28970","29970"
"In post","2021","Commercial","London","EO","Male","40","40","29190","28870"
"In post","2021","Commercial","London","G6","Female","40","35","73690","71170"
"In post","2021","Commercial","London","G6","Male","50","50","71650","69800"
"In post","2021","Commercial","London","G7","Female","75","70","57070","55850"
"In post","2021","Commercial","London","G7","Male","75","75","59810","58920"
"In post","2021","Commercial","London","HEO","Female","80","80","34810","34710"
"In post","2021","Commercial","London","HEO","Male","55","55","35540","34710"
"In post","2021","Commercial","London","SCS level","Female","25","25","[c]","[c]"
"In post","2021","Commercial","London","SCS level","Male","25","25","[c]","[c]"
"In post","2021","Commercial","London","SEO","Female","145","140","43600","42550"
"In post","2021","Commercial","London","SEO","Male","145","145","45050","43840"
"In post","2021","Commercial","London","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Commercial","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","G6","Female","5","5","[c]","[c]"
"In post","2021","Commercial","North East (England)","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","G7","Female","5","5","[c]","[c]"
"In post","2021","Commercial","North East (England)","G7","Male","15","15","[c]","[c]"
"In post","2021","Commercial","North East (England)","HEO","Female","15","15","[c]","[c]"
"In post","2021","Commercial","North East (England)","HEO","Male","10","10","[c]","[c]"
"In post","2021","Commercial","North East (England)","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","North East (England)","SCS level","Male","[c]","[c]","[c]","[c]"
