"Status","Year","Parent_department","Profession_of_post","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","Derbyshire and Nottinghamshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Inner London - West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","North Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","North Yorkshire","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Northumberland and Tyne and Wear","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Shropshire and Staffordshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Bedfordshire and Hertfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Derbyshire and Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","East Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Hampshire and Isle of Wight","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Inner London - West","EO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Inner London - West","G6/G7","15","15","58820","54760"
"In post","2021","Attorney General's Departments","Communications","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Inner London - West","SEO/HEO","30","30","36570","38290"
"In post","2021","Attorney General's Departments","Communications","Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Leicestershire, Rutland and Northamptonshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Merseyside","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","North Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Northumberland and Tyne and Wear","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","South Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","West Midlands","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","West Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Inner London - West","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Inner London - West","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Inner London - West","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Inner London - West","EO","35","35","27270","26380"
"In post","2021","Attorney General's Departments","Counter Fraud","Inner London - West","G6/G7","80","80","64080","63000"
"In post","2021","Attorney General's Departments","Counter Fraud","Inner London - West","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Inner London - West","SEO/HEO","155","150","37560","40000"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Cumbria","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Derbyshire and Nottinghamshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Devon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","East Anglia","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","East Wales","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","East Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","East Yorkshire and Northern Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Essex","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Greater Manchester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Hampshire and Isle of Wight","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Hampshire and Isle of Wight","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Inner London - West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Inner London - West","EO","10","10","28630","28980"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Inner London - West","G6/G7","15","15","61540","58600"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Inner London - West","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Inner London - West","SEO/HEO","40","40","37950","38180"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Inner London - West","Unknown","10","10","39350","36360"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Merseyside","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Merseyside","SEO/HEO","[c]","[c]","[c]","[c]"
