"Status","Year","Age","Parent_department","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","London","AO","5","5","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Outside London","AO","20","20","21600","21950"
"In post","2021","16-19","Attorney General's Departments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","London","EO","10","10","27390","27680"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Outside London","AO","15","15","20390","20880"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Outside London","EO","10","10","25000","25000"
"In post","2021","16-19","Department for Education","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","London","EO","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Outside London","AO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Outside London","EO","10","10","23530","22430"
"In post","2021","16-19","Department for International Trade","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Outside London","AA","25","15","18200","18060"
"In post","2021","16-19","Department for Transport","Outside London","AO","15","15","21950","21590"
"In post","2021","16-19","Department for Transport","Outside London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Outside London","AO","160","155","21140","21010"
"In post","2021","16-19","Department for Work and Pensions","Outside London","EO","35","35","27720","27570"
"In post","2021","16-19","Department for Work and Pensions","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","London","AA","5","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","London","AO","5","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Outside London","AA","5","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Outside London","AO","10","5","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office","Outside London","Unknown","15","15","20920","21600"
"In post","2021","16-19","HM Land Registry","Outside London","AA","5","5","[c]","[c]"
"In post","2021","16-19","HM Land Registry","Outside London","AO","10","10","22350","22350"
"In post","2021","16-19","HM Revenue and Customs","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs","Outside London","AO","220","205","20170","20140"
"In post","2021","16-19","HM Revenue and Customs","Outside London","EO","20","20","25280","25560"
"In post","2021","16-19","HM Treasury","London","AO","5","5","[c]","[c]"
"In post","2021","16-19","HM Treasury","London","EO","20","20","24530","24300"
"In post","2021","16-19","Home Office","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Home Office","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Home Office","Outside London","AO","65","60","21430","21430"
"In post","2021","16-19","Home Office","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Outside London","AA","40","40","17160","16990"
"In post","2021","16-19","Ministry of Defence","Outside London","AO","35","35","20910","20920"
"In post","2021","16-19","Ministry of Defence","Outside London","EO","115","115","18530","17780"
"In post","2021","16-19","Ministry of Defence","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence","Outside London","Unknown","15","15","16840","16780"
"In post","2021","16-19","Ministry of Defence","Unknown","Unknown","35","35","18640","15940"
"In post","2021","16-19","Ministry of Justice","London","AA","10","10","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","London","AO","10","10","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","London","EO","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","London","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Outside London","AA","45","45","19760","20600"
"In post","2021","16-19","Ministry of Justice","Outside London","AO","70","70","22740","22850"
"In post","2021","16-19","Ministry of Justice","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Justice","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","National Crime Agency","Outside London","AO","[c]","[c]","[c]","[c]"
