"Status","Year","Disability","Region_ITL2","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","Heterosexual / straight","395","370","31420","29290"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","LGBO","40","35","29170","28030"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","Undeclared","45","40","30390","29170"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Outside London","Unknown","30","25","29410","27670"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Heterosexual / straight","770","730","31640","29290"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","LGBO","65","65","29340","28670"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Undeclared","105","100","33560","29530"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Unknown","55","55","32500","27850"
"In post","2021","Declared disabled","Cheshire","Outside London","Heterosexual / straight","320","290","28890","27570"
"In post","2021","Declared disabled","Cheshire","Outside London","LGBO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Cheshire","Outside London","Undeclared","35","35","30360","28840"
"In post","2021","Declared disabled","Cheshire","Outside London","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Outside London","Heterosexual / straight","155","140","26980","27570"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Outside London","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Outside London","Undeclared","20","15","[c]","[c]"
"In post","2021","Declared disabled","Cornwall and Isles of Scilly","Outside London","Unknown","20","15","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Outside London","Heterosexual / straight","160","140","28580","27280"
"In post","2021","Declared disabled","Cumbria","Outside London","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Cumbria","Outside London","Undeclared","30","30","28130","25450"
"In post","2021","Declared disabled","Cumbria","Outside London","Unknown","40","35","25180","21050"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Outside London","Heterosexual / straight","1145","1045","29710","27570"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Outside London","LGBO","105","105","30080","27570"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Outside London","Undeclared","195","175","29300","27570"
"In post","2021","Declared disabled","Derbyshire and Nottinghamshire","Outside London","Unknown","105","95","28020","27570"
"In post","2021","Declared disabled","Devon","Outside London","Heterosexual / straight","635","560","28150","27130"
"In post","2021","Declared disabled","Devon","Outside London","LGBO","65","65","27400","27570"
"In post","2021","Declared disabled","Devon","Outside London","Undeclared","100","85","27940","26930"
"In post","2021","Declared disabled","Devon","Outside London","Unknown","160","145","31770","31650"
"In post","2021","Declared disabled","Dorset and Somerset","Outside London","Heterosexual / straight","440","405","28860","27570"
"In post","2021","Declared disabled","Dorset and Somerset","Outside London","LGBO","40","40","28430","27150"
"In post","2021","Declared disabled","Dorset and Somerset","Outside London","Undeclared","75","70","28450","27130"
"In post","2021","Declared disabled","Dorset and Somerset","Outside London","Unknown","30","25","28440","27570"
"In post","2021","Declared disabled","East Anglia","Outside London","Heterosexual / straight","1060","970","29270","27570"
"In post","2021","Declared disabled","East Anglia","Outside London","LGBO","80","75","27400","27570"
"In post","2021","Declared disabled","East Anglia","Outside London","Undeclared","135","120","31130","27570"
"In post","2021","Declared disabled","East Anglia","Outside London","Unknown","85","75","28320","27570"
"In post","2021","Declared disabled","East Wales","Outside London","Heterosexual / straight","1305","1200","31520","27570"
