"Status","Year","Age","Organisation","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Tyneside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","East Riding of Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Mid Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Scottish Borders","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","West Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Milton Keynes","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Westminster","London","10","10","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Cardiff and Vale of Glamorgan","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","City of Edinburgh","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","East Ayrshire and North Ayrshire mainland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Inverclyde, East Renfrewshire and Renfrewshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","South Lanarkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Birmingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Brighton and Hove","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Leicester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Liverpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Manchester","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Nottingham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Portsmouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Swansea","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","York","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","Westminster","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Flintshire and Wrexham","Outside London","15","15","16570","16780"
"In post","2021","16-19","Defence Electronics and Components Agency","Staffordshire CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","95","95","18140","17780"
"In post","2021","16-19","Defence Equipment and Support","East Ayrshire and North Ayrshire mainland","Outside London","10","10","17080","16780"
"In post","2021","16-19","Defence Equipment and Support","Plymouth","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Equipment and Support","South Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Central Hampshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Science and Technology Laboratory","Wiltshire","Outside London","15","15","17150","16990"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Westminster","London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Bristol, City of","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Coventry","Outside London","[c]","[c]","[c]","[c]"
