"Status","Year","Disability","Function_of_post","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","London","Heterosexual / straight","170","160","46930","42020"
"In post","2021","Declared disabled","Analysis","London","LGBO","30","30","47120","50310"
"In post","2021","Declared disabled","Analysis","London","Undeclared","20","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","London","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Outside London","Heterosexual / straight","245","235","37590","37020"
"In post","2021","Declared disabled","Analysis","Outside London","LGBO","45","45","36060","33030"
"In post","2021","Declared disabled","Analysis","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Outside London","Unknown","35","30","34240","30080"
"In post","2021","Declared disabled","Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","Heterosexual / straight","90","85","46150","41420"
"In post","2021","Declared disabled","Commercial","London","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outside London","Heterosexual / straight","345","335","37650","35420"
"In post","2021","Declared disabled","Commercial","Outside London","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outside London","Undeclared","50","50","37790","34800"
"In post","2021","Declared disabled","Commercial","Outside London","Unknown","30","25","35090","32730"
"In post","2021","Declared disabled","Commercial","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","Heterosexual / straight","85","85","38950","36800"
"In post","2021","Declared disabled","Communications","London","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Outside London","Heterosexual / straight","330","310","30160","26790"
"In post","2021","Declared disabled","Communications","Outside London","LGBO","40","40","29060","28490"
"In post","2021","Declared disabled","Communications","Outside London","Undeclared","35","35","28120","26180"
"In post","2021","Declared disabled","Communications","Outside London","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","Heterosexual / straight","110","100","38540","36160"
"In post","2021","Declared disabled","Counter Fraud","London","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Outside London","Heterosexual / straight","470","430","32230","31810"
"In post","2021","Declared disabled","Counter Fraud","Outside London","LGBO","45","40","32190","31810"
"In post","2021","Declared disabled","Counter Fraud","Outside London","Undeclared","65","60","32230","28130"
"In post","2021","Declared disabled","Counter Fraud","Outside London","Unknown","80","70","29740","28130"
"In post","2021","Declared disabled","Counter Fraud","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","London","Heterosexual / straight","30","25","[c]","[c]"
"In post","2021","Declared disabled","Debt","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","London","Undeclared","10","5","[c]","[c]"
"In post","2021","Declared disabled","Debt","London","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Debt","Outside London","Heterosexual / straight","235","200","22480","21230"
"In post","2021","Declared disabled","Debt","Outside London","LGBO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Debt","Outside London","Undeclared","30","25","22470","21440"
"In post","2021","Declared disabled","Debt","Outside London","Unknown","40","35","22000","21440"
"In post","2021","Declared disabled","Digital, Data & Technology","London","Heterosexual / straight","200","195","46140","41610"
"In post","2021","Declared disabled","Digital, Data & Technology","London","LGBO","40","40","45090","44440"
"In post","2021","Declared disabled","Digital, Data & Technology","London","Undeclared","35","35","45990","53000"
"In post","2021","Declared disabled","Digital, Data & Technology","London","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Outside London","Heterosexual / straight","560","540","37520","33930"
"In post","2021","Declared disabled","Digital, Data & Technology","Outside London","LGBO","65","60","34180","31890"
