"Status","Year","Disability","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","AA/AO","15540","13625","21980","21010"
"In post","2021","Declared disabled","EO","15685","14225","27800","27570"
"In post","2021","Declared disabled","G6/G7","4625","4445","58350","56520"
"In post","2021","Declared disabled","SCS level","425","420","88840","81200"
"In post","2021","Declared disabled","SEO/HEO","11810","11235","36600","35520"
"In post","2021","Declared disabled","Unknown","2470","2300","31340","30210"
"In post","2021","Declared non-disabled","AA/AO","88535","79400","22410","21030"
"In post","2021","Declared non-disabled","EO","87425","80690","27620","27570"
"In post","2021","Declared non-disabled","G6/G7","43195","41610","58900","57400"
"In post","2021","Declared non-disabled","SCS level","5035","4865","90020","82500"
"In post","2021","Declared non-disabled","SEO/HEO","86195","82680","36890","36140"
"In post","2021","Declared non-disabled","Unknown","10515","9825","31970","30420"
"In post","2021","Undeclared","AA/AO","9585","8610","24380","21580"
"In post","2021","Undeclared","EO","7195","6755","28420","27570"
"In post","2021","Undeclared","G6/G7","3155","3060","58610","56730"
"In post","2021","Undeclared","SCS level","295","280","89170","82040"
"In post","2021","Undeclared","SEO/HEO","7800","7510","37390","36590"
"In post","2021","Undeclared","Unknown","710","675","33070","32580"
"In post","2021","Unknown","AA/AO","27000","24965","22240","21100"
"In post","2021","Unknown","EO","18585","17785","28060","27570"
"In post","2021","Unknown","G6/G7","11450","11065","58670","56120"
"In post","2021","Unknown","SCS level","1535","1495","92940","82760"
"In post","2021","Unknown","SEO/HEO","23235","22520","36320","35590"
"In post","2021","Unknown","Unknown","2880","2800","34690","32700"
"Leaver CS","2021","Declared disabled","AA/AO","1265","[c]","21120","21010"
"Leaver CS","2021","Declared disabled","EO","805","[c]","27670","27570"
"Leaver CS","2021","Declared disabled","G6/G7","185","[c]","61610","57680"
"Leaver CS","2021","Declared disabled","SCS level","25","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","540","[c]","36640","35370"
"Leaver CS","2021","Declared disabled","Unknown","150","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","AA/AO","6515","[c]","21270","21010"
"Leaver CS","2021","Declared non-disabled","EO","3500","[c]","27320","27570"
"Leaver CS","2021","Declared non-disabled","G6/G7","1525","[c]","60800","58930"
"Leaver CS","2021","Declared non-disabled","SCS level","285","[c]","99680","95000"
"Leaver CS","2021","Declared non-disabled","SEO/HEO","3225","[c]","37430","36500"
"Leaver CS","2021","Declared non-disabled","Unknown","465","[c]","38120","36490"
"Leaver CS","2021","Undeclared","AA/AO","805","[c]","21760","21010"
"Leaver CS","2021","Undeclared","EO","340","[c]","27760","27570"
"Leaver CS","2021","Undeclared","G6/G7","140","[c]","58870","56950"
"Leaver CS","2021","Undeclared","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SEO/HEO","405","[c]","36910","35610"
"Leaver CS","2021","Undeclared","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","3320","[c]","21150","21010"
"Leaver CS","2021","Unknown","EO","1535","[c]","27350","27570"
"Leaver CS","2021","Unknown","G6/G7","650","[c]","60350","57680"
"Leaver CS","2021","Unknown","SCS level","135","[c]","96760","89480"
"Leaver CS","2021","Unknown","SEO/HEO","1365","[c]","36680","36470"
"Leaver CS","2021","Unknown","Unknown","615","[c]","34770","32400"
"Leaver Dept.","2021","Declared disabled","AA/AO","160","[c]","20850","21000"
