"Status","Year","Age","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","30","30","21060","20920"
"In post","2021","16-19","East Midlands (England)","Derbyshire and Nottinghamshire","EO","10","10","[c]","[c]"
"In post","2021","16-19","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","15","15","20280","20600"
"In post","2021","16-19","East Midlands (England)","Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Bedfordshire and Hertfordshire","AA/AO","10","10","22290","20910"
"In post","2021","16-19","East of England","Bedfordshire and Hertfordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","East Anglia","AA/AO","25","25","22250","21430"
"In post","2021","16-19","East of England","East Anglia","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","East of England","Essex","AA/AO","15","15","22070","21430"
"In post","2021","16-19","London","Inner London - East","AA/AO","15","15","22830","22680"
"In post","2021","16-19","London","Inner London - East","EO","10","5","[c]","[c]"
"In post","2021","16-19","London","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Inner London - West","AA/AO","30","30","23590","23500"
"In post","2021","16-19","London","Inner London - West","EO","65","65","25870","25170"
"In post","2021","16-19","London","Inner London - West","SEO/HEO","5","5","[c]","[c]"
"In post","2021","16-19","London","Outer London - East and North East","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","London","Outer London - East and North East","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Outer London - East and North East","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Outer London - South","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","London","Outer London - South","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Outer London - West and North West","AA/AO","10","10","20980","21980"
"In post","2021","16-19","London","Outer London - West and North West","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North East (England)","Northumberland and Tyne and Wear","AA/AO","70","70","20480","20140"
"In post","2021","16-19","North East (England)","Northumberland and Tyne and Wear","EO","10","10","[c]","[c]"
"In post","2021","16-19","North East (England)","Tees Valley and Durham","AA/AO","10","10","20870","21010"
"In post","2021","16-19","North East (England)","Tees Valley and Durham","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Cheshire","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","North West (England)","Cheshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Cumbria","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Greater Manchester","AA/AO","30","30","20290","20140"
"In post","2021","16-19","North West (England)","Greater Manchester","EO","15","15","24850","25000"
"In post","2021","16-19","North West (England)","Lancashire","AA/AO","40","35","20720","21010"
"In post","2021","16-19","North West (England)","Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","North West (England)","Merseyside","AA/AO","50","45","20540","20140"
"In post","2021","16-19","North West (England)","Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Northern Ireland","Northern Ireland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Eastern Scotland","AA/AO","90","90","20890","20850"
"In post","2021","16-19","Scotland","Eastern Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Highlands and Islands","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Scotland","North Eastern Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland","Southern Scotland","AA/AO","10","10","20910","20760"
"In post","2021","16-19","Scotland","Southern Scotland","EO","10","10","17080","16780"
"In post","2021","16-19","Scotland","West Central Scotland","AA/AO","50","45","20500","20140"
"In post","2021","16-19","Scotland","West Central Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","20","20","23170","21870"
"In post","2021","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","EO","5","5","[c]","[c]"
"In post","2021","16-19","South East (England)","Berkshire, Buckinghamshire and Oxfordshire","Unknown","15","15","20740","21370"
"In post","2021","16-19","South East (England)","Hampshire and Isle of Wight","AA/AO","20","20","19990","19720"
"In post","2021","16-19","South East (England)","Hampshire and Isle of Wight","EO","5","5","[c]","[c]"
"In post","2021","16-19","South East (England)","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South East (England)","Kent","AA/AO","40","40","21940","21430"
"In post","2021","16-19","South East (England)","Surrey, East and West Sussex","AA/AO","10","10","23560","23520"
"In post","2021","16-19","South East (England)","Surrey, East and West Sussex","EO","5","5","[c]","[c]"
"In post","2021","16-19","South East (England)","Surrey, East and West Sussex","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Cornwall and Isles of Scilly","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Devon","AA/AO","10","10","20060","20940"
"In post","2021","16-19","South West (England)","Devon","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Devon","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","South West (England)","Dorset and Somerset","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Dorset and Somerset","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","45","40","19180","19630"
"In post","2021","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","EO","100","100","18650","17780"
"In post","2021","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","35","35","18640","15940"
"In post","2021","16-19","Wales","East Wales","AA/AO","60","55","19330","20140"
"In post","2021","16-19","Wales","East Wales","EO","10","10","24280","23320"
"In post","2021","16-19","Wales","West Wales and The Valleys","AA/AO","60","50","19920","21010"
"In post","2021","16-19","Wales","West Wales and The Valleys","EO","5","5","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","Shropshire and Staffordshire","AA/AO","15","15","21030","21590"
"In post","2021","16-19","West Midlands (England)","Shropshire and Staffordshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","West Midlands","AA/AO","25","25","20320","20140"
"In post","2021","16-19","West Midlands (England)","West Midlands","EO","5","5","[c]","[c]"
"In post","2021","16-19","West Midlands (England)","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","East Yorkshire and Northern Lincolnshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","North Yorkshire","AA/AO","5","5","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","North Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","South Yorkshire","AA/AO","20","20","20770","21010"
"In post","2021","16-19","Yorkshire and The Humber","South Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","South Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Yorkshire and The Humber","West Yorkshire","AA/AO","55","55","20350","20140"
"In post","2021","16-19","Yorkshire and The Humber","West Yorkshire","EO","10","10","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","AA/AO","810","785","22100","21010"
"In post","2021","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","EO","575","570","25880","25560"
"In post","2021","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","G6/G7","45","45","52260","52580"
"In post","2021","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","SEO/HEO","340","340","32060","31810"
"In post","2021","20-29","East Midlands (England)","Derbyshire and Nottinghamshire","Unknown","90","90","24960","22920"
"In post","2021","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","AA/AO","565","550","21960","21010"
"In post","2021","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","EO","190","190","26650","27570"
"In post","2021","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","SEO/HEO","50","50","33120","31990"
"In post","2021","20-29","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Unknown","65","60","25350","22920"
"In post","2021","20-29","East Midlands (England)","Lincolnshire","AA/AO","150","145","22920","21360"
"In post","2021","20-29","East Midlands (England)","Lincolnshire","EO","80","80","27510","27570"
"In post","2021","20-29","East Midlands (England)","Lincolnshire","SEO/HEO","30","30","33480","33000"
"In post","2021","20-29","East Midlands (England)","Lincolnshire","Unknown","25","25","25660","22920"
"In post","2021","20-29","East of England","Bedfordshire and Hertfordshire","AA/AO","290","285","26030","27850"
"In post","2021","20-29","East of England","Bedfordshire and Hertfordshire","EO","220","215","28470","28000"
"In post","2021","20-29","East of England","Bedfordshire and Hertfordshire","G6/G7","5","5","[c]","[c]"
