"Status","Year","Profession_of_post","Region_ITL2","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","AA/AO","AO","15","15","22220","22440"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","EO","EO","25","25","26120","26350"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G6","5","5","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","G6/G7","G7","20","20","56990","56170"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","HEO","50","45","33700","33950"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","SEO","65","65","42690","42000"
"In post","2021","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Cheshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2021","Commercial","Cheshire","SEO/HEO","SEO","10","10","39480","36490"
"In post","2021","Commercial","Cornwall and Isles of Scilly","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cumbria","Unknown","Unknown","15","15","39570","38860"
