"Status","Year","Function_of_post","Organisation","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Advisory, Conciliation and Arbitration Service","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","London","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office (excl. agencies)","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Female","210","195","30970","29270"
"In post","2021","Analysis","Centre for Environment, Fisheries and Aquaculture Science","Outside London","Male","270","260","35910","30660"
"In post","2021","Analysis","Charity Commission","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Outside London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","London","Female","50","50","58250","56360"
"In post","2021","Analysis","Competition and Markets Authority","London","Male","80","75","62430","57880"
"In post","2021","Analysis","Competition and Markets Authority","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Crown Prosecution Service","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","London","Female","10","5","[c]","[c]"
"In post","2021","Analysis","Debt Management Office","London","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Electronics and Components Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Outside London","Female","140","130","37880","37320"
"In post","2021","Analysis","Defence Science and Technology Laboratory","Outside London","Male","320","310","41340","39420"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Female","105","100","42610","35640"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","Male","185","185","43730","37820"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy (excl. agencies)","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","Female","55","50","53780","59730"
"In post","2021","Analysis","Department for Digital, Culture, Media and Sport","London","Male","90","85","51690","43280"
"In post","2021","Analysis","Department for Education (excl. agencies)","London","Female","100","95","45880","45540"
"In post","2021","Analysis","Department for Education (excl. agencies)","London","Male","75","75","48120","45540"
"In post","2021","Analysis","Department for Education (excl. agencies)","Outside London","Female","120","110","42090","42220"
"In post","2021","Analysis","Department for Education (excl. agencies)","Outside London","Male","115","110","42930","42420"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Female","5","5","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","London","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Female","30","30","36400","31500"
"In post","2021","Analysis","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","London","Female","95","95","41530","36860"
"In post","2021","Analysis","Department for International Trade","London","Male","135","135","43600","38540"
"In post","2021","Analysis","Department for International Trade","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for International Trade","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","London","Female","165","155","47890","44030"
"In post","2021","Analysis","Department for Transport (excl. agencies)","London","Male","215","210","46230","43360"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Analysis","Department for Transport (excl. agencies)","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","London","Female","100","95","54730","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","London","Male","100","100","53150","53360"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","Female","45","40","46400","49530"
"In post","2021","Analysis","Department of Health and Social Care (excl. agencies)","Outside London","Male","45","45","49320","50070"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Licensing Agency","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Outside London","Female","25","25","[c]","[c]"
"In post","2021","Analysis","Driver and Vehicle Standards Agency","Outside London","Male","35","30","32600","32320"
"In post","2021","Analysis","Education and Skills Funding Agency","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Education and Skills Funding Agency","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","ESTYN","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","Female","20","15","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","London","Male","10","10","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Food Standards Agency","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","Female","25","20","[c]","[c]"
"In post","2021","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","London","Male","45","40","57040","55020"
