"Status","Year","Profession_of_post","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","London","15","15","44730","40470"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","Outside London","10","10","37890","31190"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","1160","1115","39660","37400"
"In post","2021","Commercial","Bedford","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","Outside London","20","20","35720","37070"
"In post","2021","Commercial","Bexley and Greenwich","London","10","10","[c]","[c]"
"In post","2021","Commercial","Birmingham","Outside London","65","65","39140","36740"
"In post","2021","Commercial","Blackpool","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bradford","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Breckland and South Norfolk","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Brighton and Hove","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Bristol, City of","Outside London","80","75","39830","39230"
"In post","2021","Commercial","Buckinghamshire CC","Outside London","55","50","36230","36800"
"In post","2021","Commercial","Cambridgeshire CC","Outside London","55","55","36180","34800"
"In post","2021","Commercial","Camden and City of London","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cardiff and Vale of Glamorgan","Outside London","30","30","43540","40080"
"In post","2021","Commercial","Central Bedfordshire","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Central Hampshire","Outside London","135","135","34720","34800"
"In post","2021","Commercial","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cheshire East","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Chorley and West Lancashire","Outside London","15","15","46320","44760"
"In post","2021","Commercial","City of Edinburgh","Outside London","55","50","36660","34190"
"In post","2021","Commercial","Clackmannanshire and Fife","Outside London","10","10","31150","27750"
"In post","2021","Commercial","Conwy and Denbighshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Coventry","Outside London","60","55","38450","37100"
"In post","2021","Commercial","Croydon","London","150","145","43970","43420"
"In post","2021","Commercial","Darlington","Outside London","50","50","40700","37100"
"In post","2021","Commercial","Derby","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Devon CC","Outside London","200","190","42960","40140"
"In post","2021","Commercial","Dorset CC","Outside London","10","10","[c]","[c]"
"In post","2021","Commercial","Dudley","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Durham CC","Outside London","25","25","44780","42630"
"In post","2021","Commercial","East Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","Outside London","10","10","34280","30930"
"In post","2021","Commercial","East Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Merseyside","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","East Riding of Yorkshire","Outside London","10","10","42650","40870"
"In post","2021","Commercial","East Surrey","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","East Sussex CC","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Enfield","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Essex Haven Gateway","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Falkirk","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Flintshire and Wrexham","Outside London","25","25","33920","30800"
"In post","2021","Commercial","Glasgow City","Outside London","90","90","35010","33300"
"In post","2021","Commercial","Gloucestershire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North East","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester North West","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South East","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Greater Manchester South West","Outside London","75","70","39740","38630"
"In post","2021","Commercial","Hackney and Newham","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Haringey and Islington","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Harrow and Hillingdon","London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Hartlepool and Stockton-on-Tees","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Heart of Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Herefordshire, County of","Outside London","5","5","[c]","[c]"
"In post","2021","Commercial","Hertfordshire","Outside London","10","10","46300","40890"
"In post","2021","Commercial","Hounslow and Richmond upon Thames","London","55","55","35920","28460"
"In post","2021","Commercial","Inverclyde, East Renfrewshire and Renfrewshire","Outside London","[c]","[c]","[c]","[c]"
