"Status","Year","Age","Function_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","East Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Hampshire and Isle of Wight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Hampshire and Isle of Wight","South Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Inner London - East","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Inner London - West","Westminster","15","15","26930","27680"
"In post","2021","16-19","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Merseyside","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Surrey, East and West Sussex","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - East","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - West","Westminster","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Northumberland and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Northern Ireland","Belfast","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Eastern Scotland","City of Edinburgh","15","15","20480","20140"
"In post","2021","16-19","Debt","Eastern Scotland","West Lothian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Merseyside","Liverpool","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Northumberland and Tyne and Wear","Tyneside","15","15","20140","20140"
"In post","2021","16-19","Debt","Southern Scotland","South Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Central Scotland","North Lanarkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Midlands","Birmingham","5","5","[c]","[c]"
"In post","2021","16-19","Debt","West Yorkshire","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Devon","Plymouth","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","East Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Hampshire and Isle of Wight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","West Midlands","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","West Wales and The Valleys","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Essex","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","20","20","19160","19040"
"In post","2021","16-19","Finance","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Inner London - West","Westminster","5","5","[c]","[c]"
"In post","2021","16-19","Finance","West Central Scotland","North Lanarkshire","10","5","20140","20140"
"In post","2021","16-19","Finance","West Wales and The Valleys","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Dorset and Somerset","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
