"Status","Year","Age","Profession_of_post","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Anglia","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Inner London - West","Westminster","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Merseyside","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Outer London - South","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - East","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - West","Westminster","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Devon","Plymouth","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","East Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Greater Manchester","Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Hampshire and Isle of Wight","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","West Midlands","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","West Wales and The Valleys","Swansea","[c]","[c]","[c]","[c]"
