"Status","Year","Disability","Function_of_post","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","Heterosexual / straight","50","45","45710","41250"
"In post","2021","Declared disabled","Analysis","Economics","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Heterosexual / straight","30","30","31400","30610"
"In post","2021","Declared disabled","Analysis","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","Heterosexual / straight","65","60","41310","37320"
"In post","2021","Declared disabled","Analysis","Operational Research","LGBO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Psychology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Psychology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Psychology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","Heterosexual / straight","60","55","41670","37950"
"In post","2021","Declared disabled","Analysis","Social Research","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Social Research","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Statistics","Heterosexual / straight","115","105","43600","39070"
"In post","2021","Declared disabled","Analysis","Statistics","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Statistics","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Statistics","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Commercial","Heterosexual / straight","295","285","40180","38970"
"In post","2021","Declared disabled","Commercial","Commercial","LGBO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Commercial","Undeclared","35","35","36250","34800"
"In post","2021","Declared disabled","Commercial","Commercial","Unknown","30","30","33490","31810"
"In post","2021","Declared disabled","Commercial","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Corporate Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Corporate Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","Heterosexual / straight","75","75","32360","29200"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","Undeclared","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Project Delivery","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tax","LGBO","[c]","[c]","[c]","[c]"
