"Status","Year","Profession_of_post","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","London","Female","Heterosexual / straight","315","305","45710","41010"
"In post","2021","Commercial","London","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","London","Female","Undeclared","30","30","49770","45110"
"In post","2021","Commercial","London","Female","Unknown","110","105","45820","41750"
"In post","2021","Commercial","London","Male","Heterosexual / straight","270","265","50610","47530"
"In post","2021","Commercial","London","Male","LGBO","25","25","[c]","[c]"
"In post","2021","Commercial","London","Male","Undeclared","35","35","46750","42470"
"In post","2021","Commercial","London","Male","Unknown","90","85","48180","40650"
"In post","2021","Commercial","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outside London","Female","Heterosexual / straight","1740","1645","37700","35130"
"In post","2021","Commercial","Outside London","Female","LGBO","50","50","33790","30280"
"In post","2021","Commercial","Outside London","Female","Undeclared","215","200","36900","34800"
"In post","2021","Commercial","Outside London","Female","Unknown","370","350","36600","34800"
"In post","2021","Commercial","Outside London","Male","Heterosexual / straight","1405","1390","41160","38240"
"In post","2021","Commercial","Outside London","Male","LGBO","80","80","35210","33000"
"In post","2021","Commercial","Outside London","Male","Undeclared","205","205","40660","38560"
"In post","2021","Commercial","Outside London","Male","Unknown","360","350","40270","38530"
"In post","2021","Commercial","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Commercial","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Female","Heterosexual / straight","795","765","46540","42890"
"In post","2021","Communications","London","Female","LGBO","40","40","44290","41770"
"In post","2021","Communications","London","Female","Undeclared","80","75","44250","41300"
"In post","2021","Communications","London","Female","Unknown","320","310","44460","40650"
"In post","2021","Communications","London","Male","Heterosexual / straight","485","480","47410","42470"
"In post","2021","Communications","London","Male","LGBO","90","90","45630","42900"
"In post","2021","Communications","London","Male","Undeclared","60","60","45080","42610"
"In post","2021","Communications","London","Male","Unknown","220","220","46970","42890"
"In post","2021","Communications","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Outside London","Female","Heterosexual / straight","780","730","36450","34000"
"In post","2021","Communications","Outside London","Female","LGBO","35","30","33560","31810"
"In post","2021","Communications","Outside London","Female","Undeclared","85","80","34180","32010"
"In post","2021","Communications","Outside London","Female","Unknown","185","175","38020","36520"
"In post","2021","Communications","Outside London","Male","Heterosexual / straight","510","505","36020","33350"
"In post","2021","Communications","Outside London","Male","LGBO","35","35","36740","36500"
"In post","2021","Communications","Outside London","Male","Undeclared","80","80","33550","33190"
"In post","2021","Communications","Outside London","Male","Unknown","150","145","37110","33430"
"In post","2021","Communications","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","Female","Heterosexual / straight","25","20","[c]","[c]"
"In post","2021","Corporate Finance","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Corporate Finance","London","Male","Heterosexual / straight","35","35","57070","54110"
"In post","2021","Corporate Finance","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Corporate Finance","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","Female","Heterosexual / straight","40","40","39580","37700"
"In post","2021","Corporate Finance","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","Female","Unknown","15","15","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","Female","Heterosexual / straight","105","100","39860","34740"
"In post","2021","Counter Fraud","London","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Counter Fraud","London","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Counter Fraud","London","Female","Unknown","35","35","44080","40000"
"In post","2021","Counter Fraud","London","Male","Heterosexual / straight","150","150","45880","40920"
"In post","2021","Counter Fraud","London","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Counter Fraud","London","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Counter Fraud","London","Male","Unknown","65","65","45450","41710"
"In post","2021","Counter Fraud","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","Female","Heterosexual / straight","170","155","30690","26530"
"In post","2021","Counter Fraud","Outside London","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","Female","Undeclared","15","15","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","Female","Unknown","55","50","35520","34790"
"In post","2021","Counter Fraud","Outside London","Male","Heterosexual / straight","170","165","35510","34050"
"In post","2021","Counter Fraud","Outside London","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","Male","Undeclared","20","20","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","Male","Unknown","50","50","37750","36060"
"In post","2021","Counter Fraud","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","Female","Heterosexual / straight","785","760","48370","44490"
"In post","2021","Digital, Data and Technology","London","Female","LGBO","65","60","46120","42320"
"In post","2021","Digital, Data and Technology","London","Female","Undeclared","110","110","48500","45550"
"In post","2021","Digital, Data and Technology","London","Female","Unknown","285","280","46530","42320"
"In post","2021","Digital, Data and Technology","London","Male","Heterosexual / straight","1295","1280","50700","46040"
"In post","2021","Digital, Data and Technology","London","Male","LGBO","95","90","52390","51730"
"In post","2021","Digital, Data and Technology","London","Male","Undeclared","190","185","50200","47410"
"In post","2021","Digital, Data and Technology","London","Male","Unknown","475","475","49790","46000"
