"Status","Year","Profession_of_post","Region_ITL3","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Aberdeen City and Aberdeenshire","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Antrim and Newtownabbey","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","EO","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Barnet","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Barnet","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnet","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","EO","EO","5","5","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Barnsley, Doncaster and Rotherham","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","EO","150","145","23370","23000"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G6","60","60","70340","69530"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","G7","150","145","53930","54270"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","SCS level","20","15","107290","103620"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","HEO","350","335","31480","32600"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","SEO","295","280","40780","40980"
"In post","2021","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","Unknown","130","130","38520","36040"
"In post","2021","Commercial","Bedford","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bedford","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Berkshire","SEO/HEO","SEO","10","10","39960","39760"
"In post","2021","Commercial","Berkshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bexley and Greenwich","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","EO","EO","15","15","26740","26350"
"In post","2021","Commercial","Birmingham","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Birmingham","G6/G7","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Birmingham","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2021","Commercial","Birmingham","SEO/HEO","SEO","25","25","41250","40980"
"In post","2021","Commercial","Birmingham","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","Blackpool","EO","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Blackpool","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Bournemouth and Poole","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
