"Status","Year","Ethnicity","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","White","EO","Male","37750","36235","27970","27570"
"In post","2021","White","EO","Unknown","10","10","[c]","[c]"
"In post","2021","White","G6/G7","Female","21990","20740","58350","56350"
"In post","2021","White","G6/G7","Male","23385","22895","59360","57530"
"In post","2021","White","G6/G7","Unknown","5","5","[c]","[c]"
"In post","2021","White","SCS level","Female","2470","2335","88000","80590"
"In post","2021","White","SCS level","Male","2850","2800","92610","83860"
"In post","2021","White","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","White","SEO/HEO","Female","47540","44625","36350","35310"
"In post","2021","White","SEO/HEO","Male","44215","43140","37500","36740"
"In post","2021","White","SEO/HEO","Unknown","15","15","[c]","[c]"
"In post","2021","White","Unknown","Female","7705","7060","30440","30210"
"In post","2021","White","Unknown","Male","3305","3225","35960","34320"
"In post","2021","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","AA/AO","Female","325","[c]","21690","21010"
"Leaver CS","2021","Asian","AA/AO","Male","210","[c]","21700","21010"
"Leaver CS","2021","Asian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","EO","Female","165","[c]","27770","27570"
"Leaver CS","2021","Asian","EO","Male","150","[c]","27800","27570"
"Leaver CS","2021","Asian","EO","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Asian","G6/G7","Female","45","[c]","60870","59990"
"Leaver CS","2021","Asian","G6/G7","Male","35","[c]","58690","55490"
"Leaver CS","2021","Asian","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Asian","SCS level","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Asian","SEO/HEO","Female","110","[c]","36740","36340"
"Leaver CS","2021","Asian","SEO/HEO","Male","100","[c]","37140","37210"
"Leaver CS","2021","Asian","SEO/HEO","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","AA/AO","Female","155","[c]","22630","22680"
"Leaver CS","2021","Black","AA/AO","Male","110","[c]","22680","22220"
"Leaver CS","2021","Black","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","EO","Female","80","[c]","28270","28050"
"Leaver CS","2021","Black","EO","Male","50","[c]","27470","27570"
"Leaver CS","2021","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","G6/G7","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Black","G6/G7","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Black","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","SEO/HEO","Female","65","[c]","37150","35750"
"Leaver CS","2021","Black","SEO/HEO","Male","50","[c]","36120","34940"
"Leaver CS","2021","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","AA/AO","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","AA/AO","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","EO","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","G6/G7","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","SEO/HEO","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","SEO/HEO","Male","5","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","AA/AO","Female","100","[c]","21310","21010"
"Leaver CS","2021","Mixed","AA/AO","Male","75","[c]","22720","21090"
"Leaver CS","2021","Mixed","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","EO","Female","45","[c]","27410","27570"
"Leaver CS","2021","Mixed","EO","Male","40","[c]","28210","27570"
"Leaver CS","2021","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","G6/G7","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","G6/G7","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","SEO/HEO","Female","40","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","SEO/HEO","Male","35","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","AA/AO","Female","25","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","AA/AO","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","EO","Female","15","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","EO","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","G6/G7","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","G6/G7","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SEO/HEO","Female","20","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SEO/HEO","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","AA/AO","Female","265","[c]","20620","20180"
"Leaver CS","2021","Undeclared","AA/AO","Male","220","[c]","21740","20180"
"Leaver CS","2021","Undeclared","EO","Female","150","[c]","27590","27150"
"Leaver CS","2021","Undeclared","EO","Male","170","[c]","28730","27570"
"Leaver CS","2021","Undeclared","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Female","35","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","G6/G7","Male","85","[c]","59610","57680"
"Leaver CS","2021","Undeclared","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SCS level","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","SEO/HEO","Female","125","[c]","36650","35610"
"Leaver CS","2021","Undeclared","SEO/HEO","Male","235","[c]","37450","36100"
"Leaver CS","2021","Undeclared","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","AA/AO","Female","1490","[c]","20960","21010"
"Leaver CS","2021","Unknown","AA/AO","Male","1375","[c]","21430","21010"
"Leaver CS","2021","Unknown","EO","Female","720","[c]","27020","27570"
"Leaver CS","2021","Unknown","EO","Male","660","[c]","27340","27570"
"Leaver CS","2021","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","G6/G7","Female","235","[c]","61360","58740"
"Leaver CS","2021","Unknown","G6/G7","Male","300","[c]","59990","57780"
"Leaver CS","2021","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","SCS level","Female","45","[c]","88540","81000"
"Leaver CS","2021","Unknown","SCS level","Male","55","[c]","110360","97080"
"Leaver CS","2021","Unknown","SEO/HEO","Female","470","[c]","35460","34550"
"Leaver CS","2021","Unknown","SEO/HEO","Male","555","[c]","36890","35900"
"Leaver CS","2021","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Female","335","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Male","305","[c]","35460","32400"
"Leaver CS","2021","White","AA/AO","Female","4255","[c]","20820","21010"
"Leaver CS","2021","White","AA/AO","Male","3255","[c]","21680","21010"
"Leaver CS","2021","White","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","White","EO","Female","2160","[c]","27020","27570"
"Leaver CS","2021","White","EO","Male","1730","[c]","27690","27570"
"Leaver CS","2021","White","EO","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","White","G6/G7","Female","730","[c]","60010","57380"
"Leaver CS","2021","White","G6/G7","Male","905","[c]","61500","59260"
"Leaver CS","2021","White","G6/G7","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2021","White","SCS level","Female","125","[c]","92860","87630"
"Leaver CS","2021","White","SCS level","Male","180","[c]","101270","96920"
"Leaver CS","2021","White","SCS level","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","White","SEO/HEO","Female","1770","[c]","36680","36030"
"Leaver CS","2021","White","SEO/HEO","Male","1880","[c]","37980","37100"
"Leaver CS","2021","White","SEO/HEO","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2021","White","Unknown","Female","360","[c]","[c]","[c]"
"Leaver CS","2021","White","Unknown","Male","160","[c]","38570","35530"
"Leaver CS","2021","White","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","AA/AO","Female","115","[c]","21390","20920"
"Leaver Dept.","2021","Asian","AA/AO","Male","110","[c]","21430","20970"
"Leaver Dept.","2021","Asian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","EO","Female","150","[c]","27410","27570"
"Leaver Dept.","2021","Asian","EO","Male","105","[c]","27770","27570"
"Leaver Dept.","2021","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","G6/G7","Female","65","[c]","58560","57440"
"Leaver Dept.","2021","Asian","G6/G7","Male","50","[c]","57350","54650"
"Leaver Dept.","2021","Asian","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS level","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Female","180","[c]","35860","34560"
"Leaver Dept.","2021","Asian","SEO/HEO","Male","155","[c]","36360","35570"
"Leaver Dept.","2021","Asian","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Female","65","[c]","22140","21320"
"Leaver Dept.","2021","Black","AA/AO","Male","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Female","90","[c]","27660","27570"
"Leaver Dept.","2021","Black","EO","Male","55","[c]","27270","27570"
"Leaver Dept.","2021","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Female","35","[c]","56350","54550"
"Leaver Dept.","2021","Black","G6/G7","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","SEO/HEO","Female","120","[c]","36470","35850"
"Leaver Dept.","2021","Black","SEO/HEO","Male","65","[c]","36160","34700"
"Leaver Dept.","2021","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","G6/G7","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","G6/G7","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","SEO/HEO","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","AA/AO","Female","20","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","AA/AO","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","EO","Female","40","[c]","28240","27570"
"Leaver Dept.","2021","Mixed","EO","Male","35","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","G6/G7","Female","40","[c]","58030","56340"
"Leaver Dept.","2021","Mixed","G6/G7","Male","40","[c]","56870","55170"
"Leaver Dept.","2021","Mixed","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","SEO/HEO","Female","70","[c]","35280","33640"
"Leaver Dept.","2021","Mixed","SEO/HEO","Male","60","[c]","34820","33810"
"Leaver Dept.","2021","Mixed","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","AA/AO","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","EO","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","EO","Male","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","G6/G7","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","G6/G7","Male","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other ethnicity","SEO/HEO","Female","15","[c]","[c]","[c]"
