"Status","Year","Parent_department","Region_ITL3","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Aberdeen City and Aberdeenshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Bath and North East Somerset, North Somerset and South Gloucestershire","Outside London","35","30","52750","50600"
"In post","2021","Attorney General's Departments","Berkshire","Outside London","135","125","43310","40000"
"In post","2021","Attorney General's Departments","Bexley and Greenwich","London","15","10","32030","24590"
"In post","2021","Attorney General's Departments","Birmingham","Outside London","485","455","39820","38000"
"In post","2021","Attorney General's Departments","Bridgend and Neath Port Talbot","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Brighton and Hove","Outside London","110","100","42660","36240"
"In post","2021","Attorney General's Departments","Bristol, City of","Outside London","155","145","41650","38180"
"In post","2021","Attorney General's Departments","Cambridgeshire CC","Outside London","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Camden and City of London","London","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Cardiff and Vale of Glamorgan","Outside London","215","200","41090","38760"
"In post","2021","Attorney General's Departments","Central Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Cornwall and Isles of Scilly","Outside London","25","25","36240","28430"
"In post","2021","Attorney General's Departments","Croydon","London","90","80","39280","31670"
"In post","2021","Attorney General's Departments","Derby","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Devon CC","Outside London","100","95","39950","36240"
"In post","2021","Attorney General's Departments","East Cumbria","Outside London","30","25","35030","28430"
"In post","2021","Attorney General's Departments","East Derbyshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","East Kent","Outside London","125","115","39460","30110"
"In post","2021","Attorney General's Departments","Flintshire and Wrexham","Outside London","75","65","41500","38000"
"In post","2021","Attorney General's Departments","Haringey and Islington","London","10","10","40050","24590"
"In post","2021","Attorney General's Departments","Harrow and Hillingdon","London","15","15","37100","28580"
"In post","2021","Attorney General's Departments","Heart of Essex","Outside London","185","170","41150","35020"
"In post","2021","Attorney General's Departments","Hertfordshire","Outside London","175","155","42490","40000"
"In post","2021","Attorney General's Departments","Hounslow and Richmond upon Thames","London","10","10","32250","24590"
"In post","2021","Attorney General's Departments","Kingston upon Hull, City of","Outside London","75","65","38580","28430"
"In post","2021","Attorney General's Departments","Leeds","Outside London","380","350","41940","38760"
