"Status","Year","Function_of_post","Region_london","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","AO","Female","25","25","[c]","[c]"
"In post","2021","Analysis","London","AO","Male","35","30","24560","24120"
"In post","2021","Analysis","London","EO","Female","120","115","28680","28330"
"In post","2021","Analysis","London","EO","Male","140","140","28900","28950"
"In post","2021","Analysis","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","G6","Female","175","160","72090","67140"
"In post","2021","Analysis","London","G6","Male","240","235","76840","72190"
"In post","2021","Analysis","London","G7","Female","440","410","57130","57250"
"In post","2021","Analysis","London","G7","Male","580","570","56950","56550"
"In post","2021","Analysis","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","HEO","Female","410","405","34630","33930"
"In post","2021","Analysis","London","HEO","Male","620","615","35240","34710"
"In post","2021","Analysis","London","HEO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","London","SCS level","Female","50","45","91060","81560"
"In post","2021","Analysis","London","SCS level","Male","65","65","92020","82530"
"In post","2021","Analysis","London","SEO","Female","260","245","42790","42470"
"In post","2021","Analysis","London","SEO","Male","270","265","44310","43360"
"In post","2021","Analysis","London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outside London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outside London","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outside London","AO","Female","75","70","20450","21050"
"In post","2021","Analysis","Outside London","AO","Male","60","60","20320","20920"
"In post","2021","Analysis","Outside London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outside London","EO","Female","245","220","25060","24920"
"In post","2021","Analysis","Outside London","EO","Male","220","215","25320","25010"
"In post","2021","Analysis","Outside London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outside London","G6","Female","60","55","62790","60890"
"In post","2021","Analysis","Outside London","G6","Male","95","95","64350","63450"
"In post","2021","Analysis","Outside London","G7","Female","340","310","50590","49770"
"In post","2021","Analysis","Outside London","G7","Male","480","470","50950","49860"
"In post","2021","Analysis","Outside London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Outside London","HEO","Female","530","500","30720","29580"
"In post","2021","Analysis","Outside London","HEO","Male","575","565","30730","29770"
"In post","2021","Analysis","Outside London","HEO","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Outside London","SCS level","Female","15","15","[c]","[c]"
"In post","2021","Analysis","Outside London","SCS level","Male","25","25","[c]","[c]"
"In post","2021","Analysis","Outside London","SEO","Female","500","465","38290","37320"
"In post","2021","Analysis","Outside London","SEO","Male","505","495","38380","37320"
"In post","2021","Analysis","Outside London","SEO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Overseas","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","AO","Female","50","50","24500","24440"
"In post","2021","Commercial","London","AO","Male","45","40","23860","23890"
"In post","2021","Commercial","London","EO","Female","95","90","28840","29000"
"In post","2021","Commercial","London","EO","Male","70","65","29270","29220"
"In post","2021","Commercial","London","G6","Female","115","115","76460","73720"
"In post","2021","Commercial","London","G6","Male","130","130","78810","75960"
"In post","2021","Commercial","London","G7","Female","185","180","56490","54700"
