"Status","Year","Ethnicity","Function_of_post","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","EO","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","G6/G7","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Digital, Data and Technology","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","AA/AO","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","EO","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","G6/G7","45","45","60270","59090"
"In post","2021","Asian","Analysis","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Economics","SEO/HEO","45","45","35010","33880"
"In post","2021","Asian","Analysis","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","G6/G7","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Intelligence Analysis","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","EO","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Delivery","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","G6/G7","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Operational Research","SEO/HEO","20","15","[c]","[c]"
"In post","2021","Asian","Analysis","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Other","EO","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Other","G6/G7","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Other","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","G6/G7","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","SEO/HEO","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Policy","Unknown","[c]","[c]","[c]","[c]"
